"Access denied.","Accès refusé."
"Can not find webservice adapter.","Impossible de trouver l'adapteur de web service."
"Client Session Timeout (sec.)","Timeout de session de client (sec.)"
"Default Response Charset","Charset de réponse par défaut"
"Email","Email"
"Enable WSDL Cache","Activer le cache WSDL"
"General Settings","Paramètres généraux"
"Invalid webservice adapter specified.","L'adapter spécifié pour le webservice est invalide."
"Invalid webservice handler specified.","Le handler spécifié pour le webservice est invalide"
"Magento Core API","API Core de Magento"
"Magento Core API Section","Section de l'API Core de Magento"
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Rôles"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Utilisateurs"
"Unable to login.","Impossible de se connecter."
"User Name","Nom d'utilisateur"
"WS-I Compliance","Compatibilité WS-I"
"Web Services","Services web"
"Your account has been deactivated.","Votre compte a été désactivé."
