"# of Use","מס' שימושים"
"%1$s incl tax.","%1$s כולל מע""מ."
"%s - %s","%s% - s"
"%s Item(s)","%s פריט(ים)"
"%s and above","%s  ומעלה"
"(%d)","(%d)"
"(Copy data from: %s)","(העתק נתונים מ: %s)"
"* Required Fields","* שדות חובה"
"-- Please Select --","-- בחר אפשרות --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">אזהרה!</strong> בחירת MAP כברירת מחדל תסתיר את כל המחירים באתר."
"A group with the same name already exists.","קבוצה עם אותו השם כבר קיימת."
"A name is required","שם הוא חובה"
"A product type is not defined for the indexer.","סוג המוצר אינו מוגדר עבור המאנדקס."
"ALL GROUPS","כל הקבוצות"
"AM","AM"
"Action","פעולה"
"Actual Price","מחיר אקטואלי"
"Add","הוסף"
"Add Attribute","הוסף תכונה"
"Add Design Change","הוסף שינוי עיצוב"
"Add Group","הוסף קבוצה"
"Add Group Price","הוסף קבוצת מחירים"
"Add New","הוסף חדש"
"Add New Attribute","הוסף תכונה חדשה"
"Add New Attribute Set","הוסף סט תכונות חדש"
"Add New Group","הוסף קבוצה חדשה"
"Add New Images","הוסף תמונות חדשות"
"Add New Option","הוסף אפשרות חדשה"
"Add New Row","הוסף טור חדש"
"Add New Search Term","הוסף מושג חיפוש חדש"
"Add New Set","הוסף סט חדש"
"Add Product","הוסף מוצר"
"Add Product To Websites","הוסף מוצר לאתרים"
"Add Root Category","הוסף קטגוריה ראשית"
"Add Subcategory","הוסף קטגוריה משנית"
"Add Tax","הוסף מע""מ"
"Add Tier","הוסף רמת מחיר"
"Add attribute into attribute set","הוסף תכונה לסט תכונות"
"Add group into attribute set","הוסף קבוצה לסט תכונות"
"Add new custom option into product","הוסף אופציה מותאמת אישית למוצר"
"Add new values into custom option","הוסף ערכים החדשים לאופציה מותאמת אישית"
"Add option","הוסף אופציה"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוסף  למשאלות"
"Additional Information","מידע נוסף"
"Alert Urls","כתובות URL של התראות"
"All","הכל"
"All Product Types","כל סוגי המוצרים"
"All Websites","כל האתרים"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","כל המוצרים בסט זה ימחקו! אתה בטוח שברצונך למחוק סט תכונות זה?"
"Allow All Products per Page","הצג כל המוצרים בדף"
"Allow Dynamic Media URLs in Products and Categories","אפשר כתובות URL דינאמיות לקבצי מדיה במוצרים וקטגוריות"
"Allow HTML Tags on Frontend","אפשר תגיות HTML באתר"
"Allowed File Extensions","סיומות קבצים מורשים"
"Allowed file extensions to upload","סיומות קבצים מורשים להעלאה"
"An error occurred while adding products to websites.","אירעה שגיאה בזמן הוספת המוצרים לאתר."
"An error occurred while clearing comparison list.","אירעה שגיאה בזמן ניקוי רשימת ההשוואה."
"An error occurred while deleting this review.","אירעה שגיאה בזמן מחיקת סקירה זו."
"An error occurred while removing products from websites.","אירעה שגיאה בזמן מחיקת המוצרים מהאתר."
"An error occurred while saving the URL rewrite","אירעה שגיאה בזמן שמירת שכתוב כתובת ה- URL."
"An error occurred while saving the attribute set.","אירעה שגיאה בזמן שמירת סט התכונות."
"An error occurred while saving the collection, aborting. Error message: %s","חלה שגיאה במהלך שמירת הקולקציה, בוטל. הודעת שגיאה: %s"
"An error occurred while saving the product. ","אירעה שגיאה בזמן שמירת המוצר. "
"An error occurred while saving the search query.","אירעה שגיאה בזמן שמירת שאילתת החיפוש."
"An error occurred while saving this group.","אירעה שגיאה בזמן שמירת הקבוצה."
"An error occurred while saving this review.","אירעה שגיאה בזמן שמירת הסקירה."
"An error occurred while trying to delete the category.","אירעה שגיאה בזמן מחיקת הקטגוריה."
"An error occurred while updating the product(s) attributes.","אירעה שגיאה בזמן עדכון תכונות המוצר\ים."
"An error occurred while updating the product(s) status.","אירעה שגיאה בזמן עדכון סטטוס המוצר\ים."
"An invalid group ID is specified, skipping the record.","An invalid group ID is specified, skipping the record."
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"An invalid store was specified.","נבחרה חנות לא מתאימה."
"Anchor Custom Text","טקסט מותאם אישית של העוגן"
"Anchor Custom Title","כותרת מותאמת אישית של העוגן"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","בר-יישום למוצרי קטלוג וקטגוריות בלבד. כל תוכן מדיה אחר ישובץ בעורך כ- URL סטאטי. הוא לא מתעדכן אם כתובת ה- URL של האתר בהגדרות המערכת משתנה."
"Apply MAP (Default Value)","החל MAP (ערך ברירת מחדל)"
"Apply To","החל ל"
"Approved","מאושר"
"Are you sure you want to delete this category?","האם אתה בטוח כי ברצונך למחוק קטגויה זאת?"
"Are you sure you would like to remove all products from your comparison?","האם אתה בטוח כי ברצונך להסיר את כל הפריטים מרשימת ההשוואה?"
"Are you sure you would like to remove this item from the compare products?","האם אתה בטוח כי ברצונך להסיר פריט זה מרשימת ההשוואה?"
"Are you sure?","האם אתה בטוח?"
"As low as:","החל מ:"
"Assign","הקצה"
"Assign product link","החל לינק מוצר"
"Assign product to category","שייך מוצר לקטגוריה"
"Assigned Products","מוצרים משויכים"
"Associated Products","מוצרים מקושרים"
"Attrib. Set Name","שם סט התכונות"
"Attribute ""%s"" is invalid.","התכונה ""%s"" שגויה."
"Attribute ""%s"" is required.","התכונה ""%s"" הינה חובה."
"Attribute Information","אודות התכונה"
"Attribute Model","מודל התכונה"
"Attribute Name:","שם התכונה:"
"Attribute Set","סט תכונות"
"Attribute Sets","סטים של תכונות"
"Attribute add","הוסף תכונה"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","קוד תכונה אינו תקף. השתמשו רק באותיות (א-ת), מספרים (0-9) או קו תחתון(_) בשדה זה, כאשר התו הראשון הוא אות."
"Attribute group with the \/name/\"" name already exists""","Attribute group with the \/name/\"" name already exists"""
"Attribute remove","מחיקת תכונה"
"Attribute with the same code already exists","תכונה עם קוד זהה קיימת כבר"
"Attributes","תכונות"
"Attrribute names can be specified per store.","שמות של תכונות ניתן להגדיר לכל חנות."
"Autogenerate","חולל אוטומטית"
"Availability:","זמינות:"
"Back","חזור"
"Backend Model","מודל של פאנל ניהול"
"Backend Table","טבלה של פאנל ניהול"
"Backend Table Title","כותרת של טבלה של פאנל ניהול"
"Backorders","הזמנות בחוסר מלאי"
"Based On","מבוסס על"
