"%s was added to your shopping cart.","פריט %s נוסף בהצלחה לסל הקניות שלך"
"%s was updated in your shopping cart.","%s עודכן בסל הקניות שלך"
"* Required Fields","* שדות חובה"
"Add New Address","הוסף כתובת חדשה"
"Add New Condition","הוסף תנאי חדש"
"Add coupon code for shopping cart","Add coupon code for shopping cart"
"Add gift messages to shopping cart","הוסף הודעות ברכה לסל הקניות"
"Add product to shopping cart","הוסף מוצר לסל הקניות"
"Add product(s) to shopping cart","Add product(s) to shopping cart"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוסף ל-wishlist שלי"
"Additional Product Info","מידע נוסף על מוצר"
"Address","כתובת"
"Address %s of %s","כתובת %s מתוך %s"
"After Adding a Product Redirect to Shopping Cart","After Adding a Product Redirect to Shopping Cart"
"Allow Guest Checkout","אפשר הזמנה ללא רישום כלקוח"
"Already registered?","הינך לקוח רשום?"
"An error occurred in the process of payment","שגיאה בתהליך התשלום"
"An error occurred while deleting this condition.","An error occurred while deleting this condition."
"An error occurred while saving this condition.","An error occurred while saving this condition."
"Apply Coupon","ממש קוד הנחה"
"Are you sure you would like to remove this item from the shopping cart?","האם אתה בטוח שברצונך להסיר מוצר זה מסל הקניות שלך?"
"Back","חזור"
"Back to Billing Information","חזור לפרטי החיוב"
"Back to Select Addresses","חזור לבחירת כתובות"
"Back to Shipping Information","חזור לפרטי המשלוח"
"Back to Shopping Cart","חזור לסל הקניות"
"Based on your selection, you may be interested in the following items:","Based on your selection, you may be interested in the following items:"
"Billing Address","כתובת לחיוב"
"Billing Information","פרטי החיוב"
"Billing Information - %s","פרטי החיוב - %s"
"Cancel Coupon","בטל קופון"
"Cannot add item to the shopping cart.","Cannot add item to the shopping cart."
"Cannot add the item to shopping cart","Cannot add the item to shopping cart"
"Cannot add the item to shopping cart.","לא ניתן להוסיף פריט לעגלת הקניות."
"Cannot apply the coupon code.","Cannot apply the coupon code."
"Cannot configure product.","Cannot configure product."
"Cannot open the overview page","Cannot open the overview page"
"Cannot process the item.","Cannot process the item."
"Cannot remove the item.","Cannot remove the item."
"Cannot update shopping cart.","Cannot update shopping cart."
"Cannot update the item.","Cannot update the item."
"Card Verification Number Visual Reference","דוגמא לקוד CVV של כרטיס אשראי"
"Cart Product API","Cart Product API"
"Cart Subtotal:","סיכום הביניים של הסל שלך"
"Change","שנה"
"Change Billing Address","שנה את הכתובת לחיוב"
"Checkbox Text","Checkbox Text"
"Checkout","קופה"
"Checkout Conditions","תנאי תשלום"
"Checkout Method","שיטת תשלום"
"Checkout Options","אפשרויות תשלום"
"Checkout Progress Wrapper","Checkout Progress Wrapper"
"Checkout Section","תשלום וקופה"
"Checkout Terms and Conditions","תנאי תשלום"
"Checkout as Guest","שלם כאורח"
"Checkout as a Guest or Register","שלם כאורח או הירשם"
"Checkout with Multiple Addresses","בצע תשלום עבור מספר כתובות"
"City","עיר"
"Clear Shopping Cart","Clear Shopping Cart"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","לחץ <a href=""%s"" onclick=""this.target=\'_blank\'"">כאן להדפסה</a> של העתק אישור הזמנתך."
"Click <a href=""%s"">here</a> to continue shopping.","לחץ <ahref=""%s"">כאן</a> להמשך הקניות."
"Close","סגור"
"Company","חברה"
"Condition Name","כותרת התנאי"
"Configurable Product Image","Configurable Product Image"
"Configure Cart Item","Configure Cart Item"
"Confirm Password","אימות סיסמא"
"Content","תוכן"
"Content Height","גובה של תוכן"
"Content Height (css)","גובה של תוכן (css)"
"Continue","המשך"
"Continue Shopping","המשך בקניות"
"Continue to Billing Information","המשך להזין פרטי תשלום"
"Continue to Review Your Order","המשך לעיין בהזמנת"
"Continue to Shipping Information","המשך לפרטי המשלוח"
"Country","ארץ"
"Coupon code ""%s"" is not valid.","הקוד ""%s"" אינו תקין או אינו בתוקף"
