"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' אינה כתובת דואר אלקטרוני תקינה"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' אינה כתובת דואר אלקטרוני תקינה"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' אינה כתובת דואר אלקטרוני תקינה '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' אינה כתובת דואר אלקטרוני תקינה"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' אינה כתובת דואר אלקטרוני תקינה"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' אינה כתובת דואר אלקטרוני תקינה"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' אינה כתובת דואר אלקטרוני תקינה"
"'%value%' does not appear to be a valid local network name","'%value%' אינה כתובת דואר אלקטרוני תקינה"
"* Required Fields","* שדות חובה"
"ALL GROUPS","ALL GROUPS"
"Account Dashboard","לוח בקרת החשבון"
"Account Information","פרטי החשבון"
"Account Sharing Options","אפשרויות שיתוף בחשבון"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.",""
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.",""
"Action","פעולה"
"Add New Address","הוסף כתובת חדשה"
"Add New Customer","הוסף לקוח חדש"
"Add New Customer Group","הוסף קבוצת לקוחות חדשה"
"Added From","Added From"
"Additional Address Entries","פרטי כתובת נוספים"
"Address","כתובת"
"Address Book","ספר הכתובות"
"Address Books","ספרי כתובות"
"Address Information","פרטי הכתובת"
"Address Templates","תבניות כתובת"
"Addresses","כתובות"
"Admin","מנהל"
"All","הכל"
"All Store Views","כל התצוגות"
"All countries","כל המדינות"
"Always optional.",""
"Amount","כמות"
"An error occurred while deleting the address.","אירעה שגיאה בזמן מחיקת הכתובת."
"An error occurred while retrieving the option value: %s.","אירעה שגיאה בזמן אחזור ערך האופציה: %s."
"An error occurred while saving the collection, aborting. Error: %s","אירעה שגיאה בעת שמירת האוסף, מבצע ביטול. שגיאה: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","ID שגוי נבחר לאופציה %s (%s), מבצע דילוג על הרשומה."
"Approved","מאושר"
"Are you sure that you want to remove this item?","אתה בטוח שברצונך להסיר פריט זה?"
"Are you sure you want to cancel adding of this address?","אתה בטוח שברצונך לבטל הוספת כתובת זו?"
"Are you sure you want to delete this address?","אתה בטוח שברצונך להסיר כתובת זו?"
