" Copy"," Copy"
"Action","פעולה"
"Add New Template","הוסף תבנית חדשה"
"Add to Queue","הוסף לתור"
"Allow Guest Subscription","Allow Guest Subscription"
"An error occurred while saving your subscription.","An error occurred while saving your subscription."
"Are you sure that you want to delete this template?","אתה בטוח שאתה רוצה למחוק את התבנית הזאת?"
"Are you sure that you want to strip all tags?","האם אתה בטוח שברצנך להסיר את כל התגים?"
"Back","חזור"
"Cancel","בטל"
"Cancelled","בוטל"
"Cannot mark as received subscriber.","Cannot mark as received subscriber."
"Confirmation Email Sender","אישור דואר אלקטרוני השולח"
"Confirmation Email Template","תבנית אישור דואר אלקטרוני"
"Confirmation request has been sent.","Confirmation request has been sent."
"Convert to Plain Text","הפוך לטקסט פשוט"
"Create Newsletter Template","צור תבנית לניוזלטר"
"Customer","לקוח"
"Customer First Name","Customer First Name"
"Customer Last Name","שם משפחה של הלקוח"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Date Added","נוסף בתאריך"
"Date Updated","עדכון אחרון"
"Delete","מחק"
"Delete Selected Problems","מחק בעיות נבחרות"
"Delete Template","מחק תבנית"
"Do you really want to cancel the queue?","האם ברצונך לבטל את התור?"
"Duplicate template code.","Duplicate template code."
"Edit Newsletter","ערוך ניוזלטר"
"Edit Newsletter Template","ערוך תבנית ניוזלטר"
"Edit Queue","ערוך תור"
"Edit Template","ערוך תבנית"
"Email","דואר אלקטרוני"
"Enter your email address","הכנס כתובת דואר אלקטרוני שלך"
"Error Code","קוד שגיאה"
"Error Text","טקסט שגיאה"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","אורח"
"ID","ID"
"Invalid queue selected.","Invalid queue selected."
"Invalid subscription ID.","Invalid subscription ID."
"Invalid subscription confirmation code.","Invalid subscription confirmation code."
"Message","הודעה"
"Need to Confirm","נדרש אישור"
"New Newsletter Template","תבנית ניוזלטר חדשה"
"New Template","תבנתי חדשה"
"Newsletter","ניוזלטר"
"Newsletter Message Preview","הודעת ניוזלטר - תצוגה מקדימה"
"Newsletter Problem Reports","ניוזלטר - דוחות תקולים"
"Newsletter Queue","ניוזלטר - תור"
"Newsletter Section","מדור ניוזלטר"
"Newsletter Sign-up:","עדכנו אותי:"
"Newsletter Styles","Newsletter Styles"
"Newsletter Subscribers","ניוזלטר - מנויים"
"Newsletter Subscription","ניוזלטר - רישום"
"Newsletter Subscription Form Before","Newsletter Subscription Form Before"
"Newsletter Subscriptions","עדכנו אותי"
"Newsletter Templates","תבניות לניוזלטר"
"Newsletter subscription confirmation","ניוזלטר - אישור הרשמה"
"Newsletter subscription success","ניוזלטר - הרישום הצליח"
"Newsletter unsubscription success","ניוזלטר - הסרת המנוי הצליחה"
"No Templates Found","לא נמצאה תבנית"
"No problems found.","No problems found."
"No subscribers selected.","No subscribers selected."
"Not Activated","Not Activated"
"Not Sent","לא נשלח"
"Pause","עצור"
"Paused","עצר/נעצר"
"Please enter a valid email address.","Please enter a valid email address."
"Please enter new template name","הקלד שם תבנית חדשה"
"Please refer to exeption.log","Please refer to exeption.log"
"Please select subscriber(s)","בחר מנוי(ים)"
"Preview","תצוגה מקדימה"
"Preview Template","תבנית - תצוגה מקדימה"
"Processed","מעובד"
"Queue Date Start","תאריך תחילת תור"
"Queue Finish","סיום תור"
"Queue Information","תור - מידע"
"Queue Newsletter...","Queue Newsletter..."
"Queue Start","תור - התחלה"
"Queue Subject","תור - נושא"
"Recipients","נמענים/מקבלים"
"Reset","התחל מחדש"
"Resume","המשך פעולה"
"Return HTML Version","Return HTML Version"
"Save As","שמירה בשם"
