"Add Recipient","הוסף נמען"
"Allow for Guests","אפשר לאורחים"
"An invalid email address for recipient was entered.","An invalid email address for recipient was entered."
"At least one recipient must be specified.","At least one recipient must be specified."
"Back","Back"
"Catalog Product Email to a Friend","שלח מוצר בקטלוג לחבר"
"Email Address","דואר אלקטרוני"
"Email Address:","דואר אלקטרוני:"
"Email Templates","Email Templates"
"Email to a Friend","שלח לחבר"
"Email:","דואר אלקטרוני:"
"Enabled","פעיל"
"Invalid Sender Information","Invalid Sender Information"
"Invalid sender email.","Invalid sender email."
"Limit Sending By","Limit Sending By"
"Max Products Sent in 1 Hour","מספר מוצרים מקסימלי שנשלח בשעה אחת"
"Max Recipients","מספר מירבי של נמענים"
"Maximum %d email addresses allowed.","מקסימום %d כתובות דואר אלקטרוני מורשות."
"Message:","הודעה:"
"Name","שם"
"Name:","שם:"
"No more than %d emails can be sent at a time.","No more than %d emails can be sent at a time."
"Please define a correct Cookie instance.","Please define a correct Cookie instance."
"Please define a correct Product instance.","Please define a correct Product instance."
"Please define the correct Sender information.","Please define the correct Sender information."
"Recipient:","הנמען:"
"Remove Email","הסר דואר אלקטרוני"
"Select Email Template","Select Email Template"
"Send Email","שלח מייל"
"Send product to a friend","שלח מוצר לחבר"
"Sender:","השולח:"
"Some emails were not sent.","Some emails were not sent."
"The link to a friend was sent.","The link to a friend was sent."
"The message cannot be empty.","The message cannot be empty."
"The messages cannot be sent more than %d times in an hour","The messages cannot be sent more than %d times in an hour"
"The sender name cannot be empty.","The sender name cannot be empty."
"There were some problems with the data.","There were some problems with the data."
"You have exceeded limit of %d sends in an hour","You have exceeded limit of %d sends in an hour"
