"Add","toevoegen"
"Add New Row","Nieuwe rij toevoegen"
"Add links and samples to downloadable product","Voeg links en voorbeelden toe aan het downloadbare product"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Het is aan te raden om alleen alfanumerieke tekens, - en _ te gebruiken voor bestandsnamen. Ongeldige teksten worden vervangen door \'_\'."
"An error occurred while getting the requested content.","An error occurred while getting the requested content."
"An error occurred while getting the requested content. Please contact the store owner.","An error occurred while getting the requested content. Please contact the store owner."
"An error occurred while saving the file(s).","Er is een fout opgetreden bij het opslaan."
"Availability:","Availability:"
"Back","Terug"
"Canceled","Geannuleerd"
"Cannot connect to remote host, error: %s.","Cannot connect to remote host, error: %s."
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Category API","Categorie API"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","Datum"
"Default Link Title","Standaard-linktitel"
"Default Maximum Number of Downloads","Standaard-maximum voor aantal downloads"
"Default Sample Title","Standaard-titel van demo"
"Delete","Verwijderen"
"Disable Guest Checkout if Cart Contains Downloadable Items","Niet-ingelogd afrekenen uitschakelen als het winkelwagentje download-producten bevat."""
"Downloadable Information","Downloads"
"Downloadable Product","Download-product"
"Downloadable Product Options","Opties download-product"
"Downloadable Product Section","Downloadbaar product sectie"
"Edit","Bewerken"
"Edit item parameters","Parameters van artikel bewerken"
"Excl. Tax","Excl. BTW"
"File","Bestand"
"From:","Van:"
"Gift Message","Bericht bij kado"
"Go to <a href=""%s"">My Downloadable Products</a>","Ga naar  <a href=""%s"">Mijn Downloadbare Producten</a>"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
"In stock","Op voorraad"
"Incl. Tax","Incl. BTW"
"Invalid download URL host.","Ongeldige download URL host"
"Invalid download URL scheme.","Ongeldige download URL schema"
"Invalid download link type.","Ongeldige download link type"
"Invoiced","Gefactureerd"
"Links can be purchased separately","Links kunnen afzonderlijk worden gekocht"
"List","Lijst"
"Max. Downloads","Max. downloads"
"Message:","Bericht:"
"Move","Verplaats"
"My Downloadable Products","Mijn downloads"
"Open Links in New Window","Links openen in nieuw venster"
"Order #","Bestelnummer"
"Order Item Status to Enable Downloads","Artikelstatus om downloads in te schakelen"
"Order id cannot be null","Bestel id kan geen nul zijn"
"Order item id cannot be null","Bestel artikel kan geen nul zijn"
"Ordered","Besteld"
"Out of stock","Niet op voorraad"
"Pending","Wachtende"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Log in om je product te downloaden of te bestellen <a href=""%s"">%s</a>."
"Please log in to download your product.","Log in a.u.b. om uw product te downloaden."
"Please set resource file and link type.","Voer bestand en type in"
"Please specify product link(s).","Specificeer productlink(s) a.u.b."
"Price","Prijs"
"Product downloadable links","Product downloadable links"
"Qty","Aantal"
"Refunded","Terugbetaald"
"Remaining Downloads","Resterende downloads"
"Remove","Verwijderen"
"Remove Item","Artikel verwijderen"
"Remove links and samples from downloadable product","Verwijder links en voorbeelden van het downloadbare product"
"Requested link does not exist.","Gevraagde link is niet beschikbaar"
"Retrieve links and samples list from downloadable product","Haal links en voorbeelden van het downloadbare product op."
"Sample","sample"
"See price before order confirmation.","Zie prijs voor bevestiging van bestelling."
"Shareable","Deelbaar"
"Shipped","Verzonden"
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, er ging iets fout bij het ophalen van de opgevraagde inhoud. Neem contact op met de beheerder van de webshop."
"Sort Order","Sorteervolgorde"
"Start Download","Start het downloaden"
"Status","Status"
"The file does not exist.","Dit bestand bestaat niet"
"The link has expired.","Deze link is verlopen"
"The link is not available.","Deze link is niet beschikbaar"
"There are files that were selected but not uploaded yet. Please upload or remove them first","Er zijn bestanden geselecteerd die nog niet geüpload zijn. Upload of verwijder deze bestanden eerst"
"Title","Titel"
"To:","Tot:"
"U","U"
"Unlimited","Onbeperkt"
"Use Content-Disposition","Use Content-Disposition"
"Use Default Value","Standaardwaarde gebruiken"
"View Order","Bestelling bekijken"
"What's this?","Wat is dit?"
"You have not purchased any downloadable products yet.","U hebt nog geen downloads besteld."
"attachment","bijlage"
"download","download"
"inline","inline"
"sample","specimen"
