"(Make sure you keep it in a safe place.)","(Zorg ervoor dat u het goed bewaard.)"
"(Optional. Leave blank for no prefix)","(Optioneel. Laat het veld leeg voor geen voorvoegsel)"
"(ver. %s)","(versie %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Extra pad toegevoegd achter de Basis-URL om uw Admin Paneel te bereiken (bv. admin, backend, control etc.)"
"Admin Path","Admin pad"
"After successfull installation please click the button below.","Na een succesvolle installatie, a.u.b. op de onderstaande knop klikken."
"All packages were installed, click 'OK' to continue with installation.","Alle pakketten zijn geïnstalleerd, klik 'OK' om verder te gaan met de installatie."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Als alternatief kunt u de ""Handmatige Download en Upgrade"" methode proberen."
"Base URL","Basis-URL"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Noteer uw encryptiesleutel voordat u weer naar uw winkel gaat! (Magento gebruikt deze om wachtwoorden, creditcards etc. te versleutelen.)"
"Check out our","Bekijk onze"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Alleen aanvinken als het niet mogelijk is de Secure-URL automatisch te valideren, bijvoorbeeld als HTTP-authenticatie verplicht is."
"Check this box only if it is not possible to automatically validate the Base URL.","Selecteer deze optie alleen wanneer de Basis-URL niet automatisch gedetecteerd wordt."
"Choose this if you would like to test frontend and backend functionality.","Kies dit als u de functionaliteit van het front-end en back-end wilt testen."
"Configuration","Configuratie"
"Confirm Password","Bevestig het wachtwoord"
"Connection","Verbinding"
"Continue","Ga verder"
"Continue After Manual Download","Ga verder na handmatige download"
"Continue Full Download / SVN Installation","Volledige Download / SVN Installatie vervolgen"
"Create Admin Account","Admin-account aanmaken"
"Currently this is the most stable state available for Magento packages.","Dit is momenteel de meest stabiele versie die beschikbaar is voor Magento pakketten."
"Database","Database"
"Database Connection","Database-verbinding"
"Database Name","Database-naam"
"Database Name cannot be empty.","Database naam mag niet leeg zijn."
"Database Type","Type database"
"Database connection error.","Kan geen verbinding maken met de database."
"Database host","Database host"
"Database server does not support the InnoDB storage engine.","De databaseserver ondersteund niet de InnoDB storage engine."
"Database user name","Database gebruikersnaam"
"Database user password","Database gebruikerswachtwoord"
"Default Currency","Standaard-valuta"
"Download","Download"
"Download Magento Core Modules and Updates","Download Magento Core modules en updates"
"Downloading and installing Magento, please wait...","Bezig Magento te downloaden en te installeren. Even wachten a.u.b."
"Email","E-mail"
"Email Address","E-mailadres"
"Enable Charts","Grafieken inschakelen"
"Enable this option if you want the charts to be displayed on Dashboard.","Activeer deze optie indien u grafieken wilt inschakelen in het Dashboard."
