"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Winkelwagen Prijs Regels gebaseerd op ""%s"" attribuut zijn uitgeschakeld."
"%s Coupon(s) have been generated","%s Coupon(s) zijn gegenereerd"
"Actions","Acties"
"Active","Actief"
"Add New Rule","Nieuwe regel toevoegen"
"Alphabetical","Alfabetisch"
"Alphanumeric","Alfanumeriek"
"An error occurred while generating coupons. Please review the log and try again.","Er is een fout opgetreden bij het genereren van coupons. Lees de log en probeer het opnieuw."
"Apply","Toepassen"
"Apply To","Toepassen op"
"Apply the rule only if the following conditions are met (leave blank for all products)","Pas de regel alleen toe als aan de volgende voorwaarden wordt voldaan (laat leeg voor alle producten)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Pas de regel alleen toe op artikelen uit winkelwagen die voldoen aan de volgende criteria (laat leeg voor alle artikelen)"
"Apply the rule to cart items matching the following conditions","Pas regel toe op artikelen uit winkelwagen die aan de volgende voorwaarden voldoen"
"Apply to Shipping Amount","Pas toe op Verzendkosten"
"Are you sure you want to delete the selected coupon(s)?","Weet u zeker dat u de geselecteerde coupon(s) wilt verwijderen?"
"Auto","Automatisch"
"Auto Generated Specific Coupon Codes","Automatisch gegenereerde Specifieke Coupon Codes"
"Buy X get Y free (discount amount is Y)","Koop X en krijg Y gratis (kortingsbedrag is Y)"
"By Fixed value","Met vast bedrag"
"By Percentage","Met percentage"
"Can\'t acquire coupon.","Kan coupon niet verkrijgen."
"Cart Attribute","Winkelwagen-attribuut"
"Catalog","Catalogus"
"Code Format","Code Formaat"
"Code Length","Code lengte"
"Code Prefix","Code voorvoegsel"
"Code Suffix","Code achtervoegsel"
"Conditions","Voorwaarden"
"Conditions combination","Combinatie van voorwaarden"
"Coupon","Kortingscode"
"Coupon Code","Kortingscode"
"Coupon Qty","Coupon aantal"
"Coupon with the same code","Coupon met dezelfde code"
"Coupons Information","Coupons Informatie"
"Created On","gemaakt op"
"Customer Groups","Klantengroepen"
"Dash Every X Characters","zet een streepje na X karakters"
"Date Expire","Verloopdatum"
"Date Start","Begindatum"
"Default Label","Standaard Label"
"Default Rule Label for All Store Views","Standaard label voor alle winkelzichten"
"Description","Beschrijving"
"Discount Amount","Kortingsbedrag"
"Discount Qty Step (Buy X)","Kortingstaffel, aantal (koop X)"
"Edit Rule","Regel bewerken"
"Edit Rule '%s'","Regel ‘%s’ bewerken"
"Excluding prefix, suffix and separators.","Exclusief voorvoegsel, achtervoegsel en scheidingen."
"FOUND","GEVONDEN"
"Fixed amount discount","Vast kortingsbedrag"
"Fixed amount discount for whole cart","Vaste kortingbedrag voor hele winkelwagen"
"For matching items only","Alleen voor betreffende artikelen"
"For shipment with matching items","Voor een zending met betreffende artikelen"
"Free Shipping","Gratis verzending"
"From Date","Vanaf datum"
"General Information","Algemene Informatie"
"Generate","Genereer"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Als %s %s %s voor een subselectie van de items in uw winkelwagen overeenkomen met %s van deze voorwaarden:"
"If an item is %s in the cart with %s of these conditions true:","Als er een item %s in het wagentje met %s van deze voorwaarden geldt:"
"If empty no separation.","Indien leeg geen scheiding."
"If you select and save the rule you will be able to generate multiple coupon codes.","Als u selecteert en de regel opslaat kunt u meerdere coupon codes genereren. "
"Inactive","Inactief"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Labels"
"Manage Coupon Codes","Beheer Coupon Codes"
"Maximum Qty Discount is Applied To","Maximale kwantumkorting wordt toegepast op"
"NOT FOUND","NIET GEVONDEN"
"NOT LOGGED IN","NIET INGELOGD"
"New Rule","Nieuwe regel"
"No","Nee"
"No Coupon","Geen kortingscode"
"Not valid data provided","Geen geldige gegevens"
"Number of Uses","Aantal keer te gebruiken"
"Numeric","Numeriek"
"Payment Method","Betaalmethode"
"Percent of product price discount","Korting (percentage van productprijs)"
"Period","Periode"
"Price in cart","Prijs in winkelwagen"
"Priority","Prioriteit"
"Product attribute combination","Combinatie van productattributen"
"Products subselection","Subselectie producten"
"Promotions","Promoties"
"Public In RSS Feed","Publiceren in RSS-feed"
"Quantity in cart","Aantal in winkelwagen"
"Row total in cart","Rij-totaal in winkelwagen"
"Rule Information","Regelgegevens"
"Rule Name","Regelnaam"
"Rule is not defined","Regel is niet gedefinieerd"
"Sales Discount Amount","Bereken verkoopkorting"
"Sales Subtotal Amount","Totale verkoop waarde"
"Sales Total Amount","Totale waarde verkoop"
"Save and Continue Edit","Opslaan en afronden"
"Shipping Country","Land afleveradres"
"Shipping Method","Verzendmethode"
"Shipping Postcode","Postcode afleveradres"
"Shipping Region","Regio afleveradres"
"Shipping State/Province","Provincie afleveradres"
"Shopping Cart Price Rule","Prijsregel winkelwagen"
"Shopping Cart Price Rules","Winkelwagen prijsregels"
"Special Price","Speciale prijs"
"Specific Coupon","Specifieke kortingscode"
"Status","Status"
"Stop Further Rules Processing","Stop met verder uitvoeren van regels"
"Store View Specific Labels","Naamstelling van kortingsregel per winkel"
"Subtotal","Subtotaal"
"Subtotal Amount","Subtotale Waarde"
"The rule has been deleted.","De regel is verwijderd."
"The rule has been saved.","De regel is opgeslagen."
"This rule no longer exists.","Deze regel bestaat niet langer."
