"Action","Actie"
"Add Sitemap","Sitemap toevoegen"
"Always","Altijd"
"CMS Pages Options","Opties CMS-pagina’s"
"Categories Options","Opties categorie&euml;n"
"Daily","Dagelijks"
"Edit Sitemap","Sitemap bewerken"
"Enabled","Ingeschakeld"
"Error Email Recipient","Fout e-mail ontvanger"
"Error Email Sender","Fout e-mail afzender"
"Error Email Template","Fout e-mail template"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Bestand ""%s"" kan niet worden opgeslagen. Zorg ervoor dat de webserver schrijfrechten heeft op de map ""%s""."
"Filename","Bestandsnaam"
"Frequency","Frequentie"
"Generate","Genereren"
"Generation Settings","Instellingen voor genereren"
"Google Sitemap","Google sitemap"
"Hourly","Elk uur"
"ID","ID"
"Last Time Generated","Laatste keer gegenereerd"
"Link for Google","Link voor Google"
"Monthly","Maandelijks"
"Never","Nooit"
"New Sitemap","Nieuwe sitemap"
"Path","Pad:"
"Please create the specified folder ""%s"" before saving the sitemap.","Maak a.u.b. eerst de map ""%s"" aan voordat u de sitemap opslaat."
"Please define correct path","Definieer correct pad"
"Please make sure that ""%s"" is writable by web-server.","Controleer a.u.b. of de webserver schrijfrechten heeft op ""%s"""
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Gebruik alleen letters (a-z en A-Z), cijfers (0-9) of underscores (_) in de bestandsnaam. Spaties en andere tekens zijn niet toegestaan."
"Priority","Prioriteit"
"Products Options","Opties producten"
"Sitemap","Sitemap"
"Sitemap generate Warnings","Sitemap genereert waarschuwingen"
"Start Time","Starttijd"
"Store View","Winkelzicht"
"The priority must be between 0 and 1.","Prioriteit moet tussen 0 en 1 liggen."
"The sitemap ""%s"" has been generated.","De sitemap ""%s"" is gegenereerd."
"The sitemap has been deleted.","De sitemap is verwijderd."
"The sitemap has been saved.","De sitemap is opgeslagen."
"This sitemap no longer exists.","Deze sitemap bestaat niet meer."
"Unable to find a sitemap to delete.","Het verwijderen van de sitemap is mislukt."
"Unable to find a sitemap to generate.","Er kon geen sitemap gevonden worden."
"Unable to generate the sitemap.","Het genereren van de sitemap is mislukt."
"Valid values range: from 0.0 to 1.0.","Toegestane waarden: van 0.0 tot 1.0"
"Weekly","Wekelijks"
"Yearly","Jaarlijks"
