"Access denied.","Acces refuzat"
"Can not find webservice adapter.","Imposibil de gasit adaptorul webservice"
"Client Session Timeout (sec.)","Timeout sesiune  client (sec.)"
"Default Response Charset","Set caractere de raspuns implicit"
"Email","Email"
"Enable WSDL Cache","Activare cache WSDL"
"General Settings","Setari generale"
"Invalid webservice adapter specified.","Adaptorul specific pentru webservice este invalid"
"Invalid webservice handler specified.","Handler ul specific pentru webservice este invalid"
"Magento Core API","Magento Core API"
"Magento Core API Section","Sectiune Magento Core API "
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Roluri"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Utilizarori"
"Unable to login.","Imposibil de conectat"
"User Name","Nume utilizator"
"WS-I Compliance","Compatibil WS-I"
"Web Services","Web Services"
"Your account has been deactivated.","Contul dvs a fost dezactivat"
