"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Sarcinile programate ) -tot timpul este in minute"
"Daily","Zilnic"
"Failure History Lifetime","Lifetime istoric esecuri"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Pentru ca  adrese URL  orect generate  atunci când rulează cron, asigurati-vă Web > Secure and Unsecure Base URL sunt corect inregistrate"
"Generate Schedules Every","Generare  cron la fiecare"
"History Cleanup Every","Stergere istoric la fiecare "
"Invalid callback: %s::%s does not exist","Reapelare nevalida : %s::%s nu exista"
"Invalid model/method definition, expecting ""model/class::method"".","Definire  model/metoda nevalida, ""model/class::method"" asteptat."
"Missed if Not Run Within","Lipsa daca neexecutat in "
"Monthly","Lunar"
"No callbacks found","Niciun reapel gasit"
"Schedule Ahead for","Programeaza inainte de"
"Success History Lifetime","Lifetime istoric de succese"
"Too late for the schedule.","Prea tarziu pentru programare"
"Unable to save the cron expression.","Imposibil de inregistrat expresia cron"
"Unknown error.","Eroare necunoscuta"
"Weekly","Saptamanal"
