"Actions"," செயல்கள்"
"An error occurred while marking notification as read.","படித்தாகக் குறிக்கும் போது பிழை ஏற்பட்டுள்ளது"
"An error occurred while marking the messages as read.","செய்தியைப் படித்தாகக் குறிக்கும் போது பிழை ஏற்பட்டுள்ளது"
"An error occurred while removing messages.","செய்திகளை நீக்கும் போது பிழை ஏற்பட்டுள்ளது."
"An error occurred while removing the message.","செய்திகளை நீக்கும் போது பிழை ஏற்பட்டுள்ளது."
"Are you sure?","உறுதி  தானே ?"
"Date Added","சேர்க்கப்பட்ட தேதி"
"Last Update","கடைசி திருத்தம் "
"Mark as Read","படித்ததாக மாற்று "
"Mark as read","படித்ததாக மாற்று "
"Message","செய்தி "
"Messages Inbox","செய்தி உள்பெட்டி."
"Notifications","அறிவிப்புகள்"
"Please select messages.","தயைகூர்ந்து செய்திகளை தேர்ந்தெடுக்கவும்."
"Read Details","விபரங்களை படிக்கவும்"
"Remove","நீக்குக"
"Severity","தீவிரம்"
"Show List","பட்டியலை காண்பி "
"Show Toolbar","கருவிப்பட்டையை காண்பி"
"The message has been marked as read.","செய்தி படித்ததாகக் குறியிடப்பட்டது. "
"The message has been removed.","செய்தி நீக்கப்பட்டது. "
"Total of %d record(s) have been marked as read.","மொத்தம் %d பதிவு(கள்) படித்ததாகக் குறிக்கப்பட்டது."
"Total of %d record(s) have been removed.","மொத்தம் %d பதிவு(கள்) நீக்கப்பட்டது."
"Unable to proceed. Please, try again.","மேற்கொண்டு செயல்படுத்த இயலவில்லை. மீண்டும் முயற்சிக்கவும்."
"Update Frequency","சீரான இடைவெளியை புதுப்பிக்க"
"Use HTTPS to Get Feed","ஓடையை பெறுவதற்கு பாதுகாப்பான இணைய பலுக்கலை(HTTPS) பயன்படுத்தவும்"
"Wrong message type","தவறான செய்தி வகை "
"critical","உய்யம்"
"major","பெரிய"
"minor","சிறிய"
"notice","அறிவிப்பு "
