"%s","%s"
"ACL Attribute Rules","ACL பண்பு விதிகள்"
"ACL Attributes Information","ACL பண்பு தகவல்கள் "
"Add","சேர்க்க"
"Add Admin Role","நிர்வாக பாத்திரத்தை சேர்"
"Add New Role","புதிய பாத்திரத்தை சேர்"
"Address Type","முகவரி வகை"
"Admin","நிர்வாகி"
"Allow","அனுமதி "
"An error occurred while deleting the role.","பாத்திரத்தை நீக்குவதில் பிழை ஏற்பட்டுள்ளது."
"An error occurred while saving attribute rules.","பண்பு விதிகளை சேமிக்கும் பொழுது பிழை ஏற்பட்டுள்ளது "
"An error occurred while saving role.","பாத்திரத்தை சேமிக்கும் பொழுது பிழை ஏற்பட்டுள்ளது "
"Api Rules Information","API விதிகள் பற்றிய தகவல்கள் "
"Assigned","ஒதுக்கப்பட்டுள்ளது "
"Associate to Website","இந்த இணைய தளத்துடன் தொடர்புபடுத்துக "
"Attribute Rules Information","பண்பு விதிகள் பற்றிய தகவல்கள்"
"Attribute Set","பண்புக்கூறு தொகுதி"
"Attributes","பண்புக்கூறுகள் "
"Automatically Return Credit Memo Item to Stock","கிரெடிட் மெமோவில் வந்த பொருளை ஸ்டாக்கில் தானியங்கி முறையில்  சேர்க்கவும் "
"Back","பின்செல்"
"Backorders","பின் தேதியிட்ட ஆர்டர்கள் "
"Base Currency","மூல நாணயம்"
"Base Customer Balance","மூல வாடிக்கையாளரின் மீதத்தொகை"
"Base Discount","மூல தள்ளுபடி"
"Base Discount Amount","மூல தள்ளுபடித் தொகை"
"Base Item Subtotal","மூல பொருளின் உட்தொகை"
"Base Item Subtotal Including Tax","மூல பொருளின் உட்தொகை வரி உள்பட"
"Base Original Price","மூல அசல் விலை"
"Base Price","மூல விலை"
"Base Price Including Tax","மூல விலை வரி உள்பட"
"Base Shipping","மூல ஏற்றுமதித் தொகை"
"Base Shipping Discount","மூல ஏற்றுமதித் தொகை தள்ளுபடி"
"Base Shipping Tax","மூல ஏற்றுமதி வரி"
"Base Subtotal","மூல உட்தொகை"
"Base Subtotal Including Tax","மூல உட்தொகை வரி உள்பட"
"Base Tax Amount","மூல வரித்தொகை"
"Base Total Due","மூல மொத்த பாக்கி தொகை"
"Base Total Paid","மூல மொத்த தொகை கொடுத்தது"
"Base Total Refunded","மூல மொத்த தொகை திருப்பியளிக்கபட்டது "
"Buy Now URL","இப்போதே  வாங்குவதற்க்கான url "
"Can Be Divided into Multiple Boxes for Shipping","அனுப்புவதற்காக மேலும் பல பெட்டிகளாக பிரிக்கலாம் "
"Canceled Qty","ரத்து செய்யப்பட்ட அளவு"
"Catalog","பட்டியல் "
"Catalog Product","பட்டியலிடப்பட்ட பொருள் "
"CatalogInventory","அட்டவணை பட்டியல்"
"Category ID","வகை குறியீடு "
"City","நகரம் "
"Company","நிறுவனம்"
"Country","நாடு "
"Coupon Code","கூப்பன் குறியீடு"
"Create","உருவாக்கு"
