"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Link</a>"
"Actions XML is not valid.","மதிப்பிட முடியாத எக்ஸ்எம்எல் செயல்கள் "
"An error occurred while opening file: ""%s"".","“%s"" கோப்பை திறக்கும் போது தவறு நேர்ந்துள்ளது."
"Could not load file: ""%s"".","Could not load file: ""%s""."
"Could not save file: %s.","“%s"" கோப்பை சேமிக்க முடியவில்லை."
"Declared adapter %s was not found.","Declared adapter %s was not found."
"Destination folder ""%s"" is not a directory.","Destination folder ""%s"" is not a directory."
"Destination folder ""%s"" is not writable.","இலக்கு கோப்புறையை ""% s"" எழுத முடியாது."
"Done","செய்யப்படுகிறது"
"Dry run set, stopping execution.","Dry run set, stopping execution."
"ETA: %s","ETA: %s"
"Error in field mapping: field list for mapping is not defined.","Error in field mapping: field list for mapping is not defined."
"File ""%s"" does not exist.","File ""%s"" does not exist."
"Found %d rows.","%d வரிசைகள் காணப்படுகிறது."
"Less than a minute","Less than a minute"
"Loaded successfully: ""%s"".","வெற்றிகரமாக ஏற்றப்படும்: ""% s""."
"Memory Used: %s","நினைவகம் பயன்படுத்தப்படுகிறது:%s"
"Method ""%s"" not defined in adapter %s.","Method ""%s"" not defined in adapter %s."
"Method ""%s"" was not defined in adapter %s.","Method ""%s"" was not defined in adapter %s."
"Please declare ""adapter"" and ""method"" nodes first.","Please declare ""adapter"" and ""method"" nodes first."
"Processed records: %s","செயல்படுத்தப்பட்ட ரெக்கார்ட்ஸ்:%s"
"Profile with the same name already exists.","Profile with the same name already exists."
"Saved successfully: ""%s"" [%d byte(s)].","Saved successfully: ""%s"" [%d byte(s)]."
"Sheet 1","Sheet 1"
"Skip undefined row.","Skip undefined row."
"Starting %s :: %s","Starting %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","The destination folder ""%s"" does not exist or there is no access to create it."
"Total records: %s","Total records: %s"
"hour","hour"
"hours","hours"
"minute","minute"
"minutes","minutes"
