"%s %s cycle.","%s %s cycle."
"--Please Select--","தேர்வு செய்யுங்கள்"
"3D Secure Card Validation","3D பாதுகாப்பு அட்டை சரிபார்ப்பு"
"3D Secure Credit Card Validation","3D பாதுகாப்பு கடன் அட்டை சரிபார்ப்பு"
"<label>Make Check payable to:</label> %s","<label>Make Check payable to:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","A value is required for live mode. Refer to your CardinalCommerce agreement."
"Allow Initial Fee Failure","Allow Initial Fee Failure"
"An internal reference ID is required to save the payment profile.","An internal reference ID is required to save the payment profile."
"Authorize action is not available.","Authorize action is not available."
"Auto Bill on Next Cycle","Auto Bill on Next Cycle"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments)."
"Bank Transfer Payment","Bank Transfer Payment"
"Billing Agreement status is not set.","Billing Agreement status is not set."
"Billing Amount","Billing Amount"
"Billing Frequency","Billing Frequency"
"Billing Period","Billing Period"
"Billing Period Unit","Billing Period Unit"
"Billing period unit is not defined or wrong.","Billing period unit is not defined or wrong."
"Cannot retrieve the payment info model object.","Cannot retrieve the payment info model object."
"Cannot retrieve the payment information object instance.","Cannot retrieve the payment information object instance."
"Cannot retrieve the payment method code.","Cannot retrieve the payment method code."
"Cannot retrieve the payment method model object.","Cannot retrieve the payment method model object."
"Capture action is not available.","Capture action is not available."
"Card Verification Number","அட்டை சரிபார்ப்பு எண்"
"Cash On Delivery Payment","Cash On Delivery Payment"
"Centinel API URL","Centinel API URL"
"Check / Money Order","Check / Money Order"
"Credit Card Number","கடன் அட்டை எண்"
"Credit Card Type","கடன் அட்டை வகை"
"Credit Card Types","கடன் அட்டை வகைகள் "
"Credit card number mismatch with credit card type.","Credit card number mismatch with credit card type."
"Credit card type is not allowed for this payment method.","Credit card type is not allowed for this payment method."
"Currency","நாணயம்"
"Currency code is undefined.","Currency code is undefined."
"Customer ID is not set.","Customer ID is not set."
"Day","Day"
"Debug Mode","Debug Mode"
"Enabled","இயலுமைப்படுத்து "
"Expiration Date","காலாவதி தேதி"
"Full name of the person receiving the product or service paid for by the recurring payment.","Full name of the person receiving the product or service paid for by the recurring payment."
"Incorrect credit card expiration date.","Incorrect credit card expiration date."
"Initial Fee","Initial Fee"
"Initial non-recurring payment amount due immediately upon profile creation.","Initial non-recurring payment amount due immediately upon profile creation."
"Instructions","Instructions"
"Internal Reference ID","Internal Reference ID"
"Invalid Credit Card Number","Invalid Credit Card Number"
"Issue Number","Issue Number"
"Make Check Payable to","Make Check Payable to"
"Make Check payable to:","Make Check payable to:"
"Make Check payable to: %s","Make Check payable to: %s"
"Maximum Billing Cycles","Maximum Billing Cycles"
"Maximum Order Total","மிக அதிகப்படியான மொத்த தொகை "
"Maximum Payment Failures","Maximum Payment Failures"
"Maximum Trial Billing Cycles","Maximum Trial Billing Cycles"
"Merchant ID","Merchant ID"
"Minimum Order Total","மிக குறைவான மொத்த தொகை "
"Month","Month"
"N/A","N/A"
"Name on Card","Name on Card"
"Name on the Card","Name on the Card"
"New Order Status","புதிய ஆர்டரின் நிலை "
"Number of billing periods that make up one billing cycle.","Number of billing periods that make up one billing cycle."
"Order action is not available.","Order action is not available."
"Overrides API URL that may be specified by a payment method.","Overrides API URL that may be specified by a payment method."
"Password","Password"
"Payment Method","கட்டண முறை"
"Payment Methods","Payment Methods"
"Payment Methods Section","Payment Methods Section"
"Payment Reference ID","Payment Reference ID"
"Payment Services","Payment Services"
"Payment from Applicable Countries","குறிப்பிட்ட நாடுகளில் இருந்து பணம் பெருவதற்க்கு "
"Payment from Specific Countries","குறிப்பிட்ட நாடுகளில் இருந்து பணம் பெருவதற்க்கு "
"Payment method code is not set.","Payment method code is not set."
"Payment method code is undefined.","Payment method code is undefined."
"Payment profile is invalid:\n%s","Payment profile is invalid:\n%s"
"Period frequency is wrong.","Period frequency is wrong."
"Please enter a valid credit card verification number.","Please enter a valid credit card verification number."
"Processor ID","Processor ID"
"Purchase Order","Purchase Order"
"Purchase Order Number","Purchase Order Number"
"Purchase Order Number:","Purchase Order Number:"
"Purchase Order Number: %s","Purchase Order Number: %s"
"Recurring Profile Start Date","Recurring Profile Start Date"
"Recurring profile start date has invalid format.","Recurring profile start date has invalid format."
"Reference ID is not set.","Reference ID is not set."
"Refund action is not available.","Refund action is not available."
"Repeats %s time(s).","Repeats %s time(s)."
"Repeats until suspended or canceled.","Repeats until suspended or canceled."
"Request Card Security Code","Request Card Security Code"
"Saved CC","Saved CC"
"Schedule Description","Schedule Description"
"Schedule description must be not empty.","Schedule description must be not empty."
"Selected payment type is not allowed for billing country.","Selected payment type is not allowed for billing country."
"Send Check to","Send Check to"
"Send Check to:","Send Check to:"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe validation removes chargeback liability on merchant.","Severe validation removes chargeback liability on merchant."
"Shipping Amount","ஷிப்பிங் தொகை "
"Short description of the recurring payment. By default equals to the product name.","Short description of the recurring payment. By default equals to the product name."
"Sort Order","வரிசை முறை "
