"# of Uses","#ன் பயன்கள் "
"%s tag(s) have been accepted for moderation.","% s டேக் (கள்) மதிப்பாய்வுக்காக ஏற்றுக்கொள்ளப்பட்டுள்ளது."
"<strong>Tag Name:</strong> %s","<strong> டேக் பெயர்: </strong>%s"
"Action","செயல்"
"Add","சேர்க்க"
"Add New Tag","புதிய குறிச்சொல் சேர்க்க"
"Add Tags","குறிச்சொற்கள் சேர்க்க"
"Add Your Tags:","பொருட்களுக்கு  குறிச்சொற்கள்  சேர்க்க"
"Add tag(s) to product","பொருள் குறி (s) சேர்க்க"
"Add to Cart","ஷாப்பிங் வண்டியில் சேர்க்கவும்"
"Add to Wishlist","விருப்பப்பட்டியலில் சேர்க்கவும்"
"All Tags","அனைத்து குறிச்சொற்கள்"
"Approved","அங்கீகரிக்கப்பட்டதாகும்"
"Are you sure you want to delete this tag?","நீங்கள் இந்த குறிச்சொல்லை நீக்க வேண்டுமா?"
"Are you sure you want to do this?","நீங்கள் இதை செய்ய வேண்டுமா?"
"Are you sure?","உறுதி  தானே ?"
"Back","பின்செல்"
"Back to Tags List","குறிச்சொற்கள் பட்டியலுக்கு செல்"
"Base Popularity","அடிப்படை செல்வாக்கு"
"Block Information","தொகுதி பற்றிய தகவல்கள் "
"CSV","CSV"
"Catalog Product View","பட்டியல் பொருள் பார்வை"
"Change status","நிலையை மாற்றவும்"
"Click on a tag to view your corresponding products.","உங்களுடைய ஒத்திசைவான பொருட்கள் பார்வையை குறியை கிளிக் செய்யவும்."
"Country","நாடு "
"Customer My Account My Tags List","வாடிக்கையாளர் எனது கணக்கு என் குறிச்சொற்கள் பட்டியல்"
"Customer My Account Tag View","வாடிக்கையாளர் எனது கணக்கு குறிச்சொல் பார்வை"
"Customer Since","இந்த  நாளில் இருந்து வடிக்கையாளராக:"
"Customers","வாடிக்கையாளர்கள்"
"Customers Submitted this Tag","இந்த குறிச்சொல் சமர்பித்த வாடிக்கையாளர்கள் "
"Customers Tagged '%s'","வாடிக்கையாளர்கள் குறியிடப்பட்ட '% s'"
"Delete","நீக்கு"
"Delete Tag","குறியை நீக்குக"
"Disabled","முடக்கப்பட்டுள்ளது"
"Edit Tag '%s'","திருத்து குறிச்சொல் '% s'"
"Email","மின்னஞ்சல்"
"First Name","முதல் பெயர்"
"General Information","பொது தகவல்"
"Grid","கிரிட்"
"ID","குறியீடு "
"Info","தகவல்"
"Last Name","கடைசி பெயர் "
"List","பட்டியலை காண்பி "
"Manage Tags","குறிச்சொற்களை நிர்வகி"
"My Recent Tags","என் சமீபத்திய குறிச்சொற்கள்"
"My Tags","என் குறிச்சொற்கள்"
"Name","பெயர்"
"New Tag","புதிய குறிச்சொல்"
"No matches found.","பொருத்தங்கள் எதுவும் இல்லை."
"Other people marked this product with these tags:","மற்ற மக்கள் இந்த குறிச்சொற்களை இந்த பொருட்களுக்கு  குறித்தது:"
"Pending","நிலுவையில்"
"Pending Tags","நிலுவையிலுள்ள குறிச்சொற்கள்"
"Popular","பிரபலமான"
"Popular Tags","பிரபலமான குறிச்சொற்கள்"
"Price","விலை"
"Product Name","பொருள் பெயர்"
"Product SKU","பொருள் SKU"
"Product Tag API","பொருள் குறிச்சொல் ஏபிஐ"
"Product Tags","பொருள் குறிச்சொற்கள்"
"Products","பொருட்கள்"
"Products Tagged by Administrators","நிர்வாகிகள் மூலம் குறியிடப்பட்ட பொருட்கள்"
"Products Tagged by Customers","வாடிக்கையாளர்கள் குறித்துள்ள பொருட்கள்"
"Products Tagged with '%s'","பொருட்கள் '% s' உடன் குறியிடப்பட்ட"
"Products tagged with '%s'","பொருட்கள் '% s' உடன் குறியிடப்பட்ட"
"Rebuild Tag aggregation data","குறிச்சொல் தரவை மீண்டும் ஒருங்கிணைத்தல் "
"Remove","நீக்குக"
"Remove product tag","பொருள் குறிச்சொல்லை நீக்க"
"Retrieve list of tags by product","Retrieve list of tags by product"
"Retrieve product tag info","Retrieve product tag info"
"SKU","ஸ்கு "
"Save Tag","Save Tag"
"Save and Continue Edit","Save and Continue Edit"
"Status","நிலை "
"Store View","கடை பார்வை முறை "
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","Tag ""%s"" has already been added to the product."
"Tag ""%s"" has been added to the product.","Tag ""%s"" has been added to the product."
"Tag ""%s"" has been rejected by administrator.","Tag ""%s"" has been rejected by administrator."
"Tag Aggregation Data","Tag Aggregation Data"
"Tag Name","Tag Name"
"Tagged Products List","Tagged Products List"
"Tags","Tags"
"Tags List (All Available)","Tags List (All Available)"
"Tags List Before","Tags List Before"
"Tags:","Tags:"
"Telephone","தொலைபேசி "
"The tag has been deleted.","The tag has been deleted."
"There are no tags available.","There are no tags available."
"Unable to find any products tagged with '%s' in the current store","Unable to find any products tagged with '%s' in the current store"
"Unable to remove tag. Please, try again later.","Unable to remove tag. Please, try again later."
"Unable to save tag(s).","Unable to save tag(s)."
"Update","இற்றைப்படுத்து"
"Update product tag","Update product tag"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use spaces to separate tags. Use single quotes (') for phrases."
"View All Tags","View All Tags"
"View Customers","View Customers"
"View Products","View Products"
"XML","XML"
"You have not tagged any products yet.","You have not tagged any products yet."
"ZIP/Post Code","ZIP/Post Code"
"[STORE VIEW]","[STORE VIEW]"
