"Actions","İşlemler"
"An error occurred while marking notification as read.","Bildirim okunmuş olarak işaretlenirken bir hata oluştu."
"An error occurred while marking the messages as read.","İletiler okunmuş olarak işaretlenirken bir hata oluştu."
"An error occurred while removing messages.","Bildirim silinirken bir hata oluştu."
"An error occurred while removing the message.","İleti silinirken bir hata oluştu."
"Are you sure?","Emin misiniz?"
"Date Added","Eklenme Tarihi"
"Last Update","Son Güncelleme"
"Mark as Read","Okunmuş Olarak İşaretleyin"
"Mark as read","Okunmuş olarak işaretleyin"
"Message","İleti"
"Messages Inbox","İleti Gelen Kutusu"
"Notifications","Bildirimler"
"Please select messages.","Lütfen iletileri seçin."
"Read Details","Ayrıntıları Okuyun"
"Remove","Silin"
"Severity","Önem"
"Show List","Liste Görüntülensin"
"Show Toolbar","Araç Çubuğu Görüntülensin"
"The message has been marked as read.","İleti okunmuş olarak işaretlendi."
"The message has been removed.","İleti silindi."
"Total of %d record(s) have been marked as read.","%d adet kayıt okunmuş olarak işaretlendi."
"Total of %d record(s) have been removed.","%d adet kayıt silindi."
"Unable to proceed. Please, try again.","İşlem yapılamadı. Lütfen daha sonra yeniden deneyin."
"Update Frequency","Güncelleme Sıklığı"
"Use HTTPS to Get Feed","Veri akışı HTTPS üzerinden alınsın"
"Wrong message type","Hatalı ileti tipi"
"critical","kritik"
"major","büyük"
"minor","küçük"
"notice","bildirim"
