"Action","İşlem"
"An error occurred while creating the backup.","Yedek oluşturulurken bir sorun çıktı."
"An error occurred while writing to the backup file ""%s"".","Yedek dosyası kaydedilirken bir sorun çıktı : ""%s""."
"Are you sure you want to delete the selected backup(s)?","Seçili yedekleri silmek istediğinize emin misiniz ?"
"Backup Type","Yedek Tipi"
"Backup file ""%s"" cannot be read from or written to."," ""%s"" yedek dosyası okunamıyor ya da yazılamıyor."
"Backup file ""%s"" does not exist."," ""%s"" yedek dosyası bulunamadı."
"Backup file does not exist.","Yedek dosyası yok."
"Backup file handler was unspecified.","Yedek dosyası işleyici belirtilmemiş."
"Backup file not found","Yedek dosyası bulunamadı"
"Backup file path was not specified.","Yedek dosyasının yolu belirtilmemiş."
"Backups","Yedekler"
"Cannot read backup file.","Yedek dosyası okunamıyor."
"Create Backup","Yedek Oluşturun"
"Database Backup","Veritabanı Yedeği"
"Database and Media Backup","Veritabanı ve Ortam Yedeği"
"Database was successfuly backed up.","Veritabanı yedeklendi."
"Download","İndirin"
"Enable Scheduled Backup","Zamanlanmış Yedeklemeyi Açın"
"Failed to connect to FTP","FTP bağlantısı kurulamadı"
"Failed to delete one or several backups.","Bir ya da bir kaç yedek silinemedi."
"Failed to rollback","Yedek geri yüklenemedi"
"Failed to validate FTP","FTP doğrulanamadı"
"Frequency","Sıklık"
"Invalid Password.","Geçersiz Parola."
"Maintenance Mode","Bakım Kipi"
"Name","Ad"
"Not enough free space to create backup.","Yedek için yeterli boş yer yok."
"Not enough permissions to create backup.","Yedek için yeterli yetki yok."
"Not enough permissions to perform rollback","Yedeği geri yüklemek için yeterli yetki yok"
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the backup.""","""Bakım Kipi"" seçeneğini devre dışı bırakın, ya da yetkilerinizi yedekleme sırasında bakım kipine alabilecek şekilde güncelleyin."""
"Please either unselect the ""Put store on the maintenance mode"" checkbox or update your permissions to proceed with the rollback.""","""Bakım Kipi"" seçeneğini devre dışı bırakın, ya da yetkilerinizi geri yükleme sırasında bakım kipine alabilecek şekilde güncelleyin."""
"Put store on the maintenance mode while backup's creation","Yedekleme mağaza bakım kipine alınsın"
"Rollback","Geri Yükleme"
"Scheduled Backup Settings","Zamanlanmış Yedekleme Ayarları"
"Size, Bytes","Boyut, Bayt"
"Start Time","Başlangıç Saati"
"System Backup","Sistem Yedekleme"
"System couldn't put store on the maintenance mode","Sistem, mağazayı bakım kipine geçiremedi"
"The database and media backup has been created.","Veritabanı ve ortam yedeği oluşturuldu."
"The database backup has been created.","Veritabanı yedeği oluşturuldu."
"The file was compressed with Zlib, but this extension is not installed on server.","Dosya Zlib ile sıkıştırılmış, ancak sunucuda bu PHP eklentisi yüklü değil."
"The selected backup(s) has been deleted.","Seçilmiş yedekler silindi."
"The system (excluding Media) backup has been created.","Genel (Media klasörü hariç) yedek oluşturuldu."
"The system backup has been created.","Sistem yedeği oluşturuldu."
"Time","Saat"
"Type","Tip"
"Unable to create backup. Please, try again later.","Yedek oluşturulamadı. Lütfen daha sonra yeniden deneyin."
"Unable to save the cron expression.","Cron ifadesi kaydedilemedi."
"Wrong order of creation for new backup.","Yeni yedek oluşturmak için sıralama yanlış."
"You do not have sufficient permissions to enable Maintenance Mode during this operation.","Bu işlem sırasında siteyi Bakım Kipine almaya yeterli yetkiniz yok."
