"Collected Files Count","Toparlanan Dosya Sayısı"
"Compilation","Derleme"
"Compilation State","Derleme Durumu"
"Compilation error","Derleme hatası"
"Compiled","Derlendi"
"Compiled Scopes Count","Derlenen Havuz Sayısı"
"Compiler Status","Derleyici Durumu"
"Compiler include path is disabled.","Derleme klasörü devre dışı."
"Compiler include path is enabled.","Derleme klasörü devrede."
"Directory ""%s"" must be writeable","""%s"" klasörü yazdırılabilir olmalıdır"
"Disable","İptal Et"
"Disabled","İptal Edildi"
"Enable","Çalıştır"
"Enabled","Çalışıyor"
"File ""%s"" must be writeable","""%s"" dosyası yazdırılabilir olmalıdır"
"Not Compiled","Derlenmedi"
"Run Compilation Process","Derleme İşlemini Başlat"
"Scopes Compilation Settings","Havuz Derleme Ayarları"
"System","Sistem"
"The compilation has completed.","Derleme işlemi tamamlandı."
"Tools","Araçlar"
