"1.5.0.0 & later","1.5.0.0 ve sonrası"
"Action","İşlem"
"Add Author","Yazar Ekle"
"Add Contents Path","İçerik Dizini Ekle"
"Add PHP Extension dependency","PHP Eklenti Bağımlılığı Ekle"
"Add Package dependency","Paket Bağımlılığı Ekle"
"Add files","Dosyaları Ekle"
"Authors","Yazarlar"
"Channel","Kanal"
"Contents","İçerik"
"Create Extension Package","Eklenti Paketi Oluştur"
"Dependencies","Bağımlılıklar"
"Description","Açıklama"
"Edit Extension","Eklentiyi Düzelt"
"Email","Email"
"Extension","Eklenti"
"Extensions","Eklentiler"
"Failed to create the package.","Paket oluşturulamadı."
"Failed to load the package data.","Paket verisi okunamadı."
"Failed to save the package.","Paket kaydedilemedi."
"Files","Dosyalar"
"Folder","Dizin"
"Ignore","Gözardı Et"
"Include","Dahil Et"
"License","Lisans"
"License URI","Lisans Adresi"
"Load Local Package","Yerel Paket Yükle"
"Load local Package","Yerel Paket Yükle"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Yöneticisi"
"Max","EnFaz."
"Maximum","En Fazla"
"Min","En Az"
"Minimum","En Az"
"Name","Adı"
"New Extension","Yeni Eklenti"
"PHP Version","PHP Versiyonu"
"Package","Paket"
"Package Extensions","Paket Eklentileri"
"Package File Name","Paket Dosyası Adı"
"Package Info","Paket Bilgisi"
"Packages","Paketler"
"Path","Dosya Yoly"
"Pre-1.5.0.0","1.5.0.0 öncesi"
"Release Info","Versiyon Bilgisi"
"Remove","Kaldır"
"Save As...","Farklı Adla Kaydet"
"Save Data and Create Package","Veriyi Kaydet ve Paketi Oluştur"
"Save package with custom package file name","Paketi farklı paket dosyası adıyla kaydet"
"Summary","Özel"
"Supported releases","Desteklenen sürümler"
"System","Sistem"
"Target","Hedef"
"The package %s data has been loaded.","%s paket verisi yüklendi."
"The package data has been saved.","Paket verisi kaydedildi."
"There was a problem saving package data","Paket verisi kaydedilirken hata oluştu"
"Type","Tip"
"User","Kullanıcı"
