"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' bir DNS sunucu adı gibi gözüküyor ancak domain adı kısmı ayıklanamadı"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' bir DNS sunucu adı gibi gözüküyor ancak domain adı bilinen domain tipleri arasında bulunamadı"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' bir DNS sunucu adı gibi gözüküyor ancak bu uzantı tipi için geçerli şekle uymuyor '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' bir DNS sunucu adı gibi gözüküyor ancak kabul edilemez bir yerde - karakteri var."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' bir DNS sunucu adı gibi gözüküyor ancak domain adındaki punycode alanı ayıklanamadı"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' bir Yerel Ağ adı gibi gözüküyor ancak yerel ağ adları kullanılamaz"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' IP adresi gibi gözüküyor, ancak IP adresleri sistem tarafından kabul edilmiyor"
"'%value%' does not appear to be a valid local network name","'%value%' geçerli bir yerel ağ adı değil"
"* Required Fields","* Doldurulması Zorunlu Alanlar"
"ALL GROUPS","TÜM GRUPLAR"
"Account Dashboard","Hesap Kontrol Paneli"
"Account Information","Hesap Bilgisi"
"Account Sharing Options","Hesap Paylaşma Seçenekleri"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Hesap doğrulama yapılması gerekiyor. Lütfen e-mail adresinize gelen doğrulama mesajını kontrol ediniz ve içindeki onaylama bağlantısına tıklayınız. Eğer doğrulama mesajı mail adresinize ulaşmadıysa tekrar göndermek için <a href=""%s"">buraya tıklayınız</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Hesap doğrulama yapılması gerekiyor. Lütfen e-mail adresinize gelen doğrulama mesajını kontrol ediniz ve içindeki onaylama bağlantısına tıklayınız. Eğer doğrulama mesajı mail adresinize ulaşmadıysa tekrar göndermek için  <a href=""%s"">buraya tıklayınız</a>."
"Action","İşlem"
"Add New Address","Adres Ekle"
"Add New Customer","Müşteri Ekle"
"Add New Customer Group","Müşteri Grubu Ekle"
"Added From","Eklendiği Yer"
"Additional Address Entries","Ek Adresler"
"Address","Adres"
"Address Book","Adres Defteri"
"Address Books","Adres Defteri"
"Address Information","Adres Bilgisi"
"Address Templates","Adres Şablonları"
"Addresses","Adresler"
"Admin","Yönetici"
"All","Hepsi"
"All Store Views","Tüm Mağaza Görünümleri"
"All countries","Tüm ülkeler"
"Always optional.","Her zaman isteğe bağlı."
"Amount","Miktar"
"An error occurred while deleting the address.","Adres silinirken hata oluştu."
"An error occurred while retrieving the option value: %s.","Seçenek verisi okunurken bir hata oluştu : %s."
"An error occurred while saving the collection, aborting. Error: %s","Koleksiyon kaydedilirken bir hata oluştu, işlem sonlandırılıyor. Hata: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","%s (%s) için hatalı bir seçenek numarası seçildi, kayıt atlanıyor."
"Approved","Onaylandı"
"Are you sure that you want to remove this item?","Bunu silmek istediğinizden emin misiniz ?"
"Are you sure you want to cancel adding of this address?","Bu adres(ler)in eklenmesini iptal etmek istediğinizden  istediğinizden emin misiniz ?"
"Are you sure you want to delete this address?","Bu adresleri silmek istediğinizden emin misiniz ?"
"Are you sure?","Emin misiniz ?"
"Array of Entity collections is expected.","Varlık veri dizisi koleksiyonu bekleniyor."
"Assign a Customer Group","Müşteri Grubu İlişkilendir"
"Average Sale","Satış Ortalaması"
"Back","Geri"
"Back - link to the previously viewed page","Geri - Bir önceki gördüğünüz sayfaya bağlantı"
"Back to Login","Giriş Sayfasına Dön"
"Bad request.","Hatalı istek."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Vergi numarasına göre bu müşteri %s grubuna bağlı olacaktır."
"Bill to Name","Fatura İsmi"
"Bought From","Satın Alındığı Yer"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","
Sitemizde hesap açarak, daha hızlı alışveriş yapabilir, siparişinizi birden fazla adrese gönderebilir, hesabınızdan bütün geçmiş bilgilerinize erişebilir ve daha bir çok özellikten faydalanabilirsiniz..."
"CSV","CSV"
"Cancel","İptal"
"Cannot save a new password.","Yeni şifre kaydedilemedi."
"Cannot save address.","Adres kaydedilemedi."
"Cannot save the customer.","Müşteri kaydedilemedi."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Müşteri hesabı sistemin tamamında paylaşılamıyor. Web sitelerinde aynı e-mail adresiyle kaydedilmiş müşteriler var. Bu yüzden müşteri kayıtları birleştirilemez."
"Change Account Password","Hesap Şifresini Değiştir"
"Change Billing Address","Fatura Adresini Değiştir"
"Change Password","Şifre Değiştir"
"Change Shipping Address","Teslimat Adresini Değiştir"
"City","İlçe"
"Company","Firma"
"Config","Ayar"
"Configure","Ayarla"
"Confirm New Password","Yeni Şifre (Tekrar)"
"Confirm Password","Şifre (Tekrar)"
"Confirmation Link Email","Doğrulama Bağlantısı E-Maili"
"Confirmed","Doğrulandı"
"Contact Information","İletişim Bilgisi"
"Continue Shopping","Alışverişe Devam"
"Country","Ülke"
"Create","Oluştur"
"Create New Account Options","Yeni Hesap Seçenekleri Ekle"
"Create New Customer Account","Yeni Müşteri Hesabı"
"Create Order","Sipariş Oluştur"
"Create an Account","Üye Ol"
"Create customer","Müşteri Oluştur"
"Create customer address","Müşteri Adresi Ekle"
"Current Password","Eski Şifre"
"Customer","Müşteri"
"Customer API","Müşteri APIsi"
"Customer Account Edit Form","Müşteri Bilgileri Düzenleme Formu"
"Customer Account Login Form","Müşteri Hesabı Giriş Formu"
"Customer Account Logout Success","Müşteri Başarıyla Çıkış Yaptı"
"Customer Account Registration Form","Müşteri Hesap Oluşturma Formu"
