"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' çok uzun. %min% karakter uzunlukta olmalıdır."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' çok kısa. %min% karakter uzunlukta olmalıdır."
"* Required Fields","* Zorunlu Alanlar"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> hesabınıza erişmeye çalışıyor"
"Admin","Yönetici"
"After authorization application will have access to you account.","Onay vermenizden sonra uygulama hesap bilgilerinize erişecek."
"An error occurred on confirm authorize.","Onaylama işlemi sırasında bir hata oluştu."
"An error occurred on delete action.","Silme işlemi sırasında bir hata oluştu."
"An error occurred on delete application.","Uygulama silme işlemi sırasında bir hata oluştu."
"An error occurred on reject authorize.","Onay işlemi sırasında bir hata oluştu."
"An error occurred on saving consumer data.","Tüketici bilgileri kaydedilirken bir hata oluştu."
"An error occurred on update revoke status.","İptal durumu güncellenirken bir hata oluştu."
"An error occurred while deleting the consumer.","Tüketici silinirken bir hata oluştu"
"An error occurred.","Bir hata oluştu."
"An error occurred. Your authorization request is invalid.","Bir hata oluştu. Kimlik onayı işleminiz hatalı."
"App Name","Uyg.Adı"
"Application ""%s"" has been deleted.","""%s"" adlı uygulama silindi."
"Application ""%s"" has been enabled.","%s"""" adlı uygulama aktifleştirildi."""
"Application ""%s"" has been revoked.","%s"""" adlı uygulama iptal edildi."""
"Application Name","Uygulama Adı"
"Application not found.","Uygulama bulunamadı."
"Are you sure you want to delete this application?","Bu uygulamayı silmek istediğinizden emin misiniz ?"
"Are you sure you want to disable this application?","Bu uygulamayı devre dışı bırakmak istediğinizden emin misiniz ?"
"Are you sure you want to enable this application?","Bu uygulamayı devreye almak istediğinizden istediğinizden emin misiniz ?"
"Authorization confirmed","Kimlik onayı tamamlandı"
"Authorization confirmed.","Kimlik onayı tamamlandı."
"Authorize","Onayla"
"Authorize application","Uygulamayı onayla"
"Authorized Tokens","Yetki İşareti"
"Callback URL","Geri Dönüş Adresi"
"Cleanup Probability","Temizlik İhtimali"
"Cleanup Settings","Temizlik Ayarları"
"Close","Kapat"
"Confirm OAuth token authorization","OAuth işaretçi kimlik doğrulamasını onayla"
"Confirm token authorization Pop Up for admin","Yönetim için kimlik doğrulama penceresini onayla"
"Confirm token authorization for admin","Yönetim için kimlik doğrulamayı onayla"
"Confirmation Of Authorization","Kimlik Doğrulama Onayı"
"Consumer Information","Tüketici Bilgisi"
"Consumer Name","Tüketici Adı"
"Consumers","Tüketiciler"
"Created At","Oluşturuldu"
"Customer","Müşteri"
"Customer My Account My OAuth Applications","Müşteri Hesabım OAuth Uygulamalarım"
"Delete","Sil"
"Disable","İptal"
"Disabled","İptal Edildi"
"Edit","Düzelt"
"Edit Consumer","Tüketiciyi Düzelt"
"Email","Email"
"Email Address","Email Adresi"
"Enable","Etkinleştir"
"Enabled","Etkin"
"Entry with ID #%s not found.","#%s ID'li kayıt bulunamadı."
"Expiration Period","Bitiş Periyodu"
"Give the verifier code to application administrator","Uygulama yöneticisine onaylama kodu ver"
"ID","No"
"Invalid Callback URL","Hatalı Dönüş Adresi"
"Invalid ID parameter.","Hatalı No parametresi."
"Invalid Rejected Callback URL","Reddedilmiş İşlem için Hatalı Dönüş Adresi"
"Invalid entry ID.","Hatalı kayıt numarası."
"Invalid revoke status.","Geçersiz iptal durumu."
"Key","Anahtar"
"Log In","Giriş"
"Log in as a customer","Bir Müşteri olarak giriş yap"
"Log in as admin","Yönetici olarak giriş yap"
"Log in as customer","Müşteri olarak giriş yap"
"Log in to use <strong>%s</strong>","<strong>%s</strong> kullanmak için giriş yapınız"
"Login","Giriş"
"My Applications","Uygulamalarım"
"Name","Adı"
"New Consumer","Yeni Tüketici"
"OAuth","OAuth"
"OAuth Admin My Apps","OAuth Yönetici Uygulamalarım"
"OAuth Authorized Tokens","OAuth Onaylanmış İşaretçiler"
"OAuth Consumers","OAuth Tüketicileri"
"OAuth authorization Pop Up for customer","Müşteri için OAuth kimlik onay penceresi"
"OAuth authorization for admin","Yönetici için OAuth kimlik onayı"
"OAuth authorization for customer","Müşteri için OAuth kimlik onayı"
"OAuth authorization simple for admin","Yönetici için Basit OAuth kimlik onayı"
"Password","Şifre"
"Permissions","Yetkiler"
"Please login to proceed authorization.","Kimlik onayını tamamlamak için giriş yapınız."
"Please select needed row(s).","Lütfen gerekli satır(lar)ı seçiniz."
"Please select revoke status.","Lütfen iptal durumunu seçiniz."
"REST - My Apps","REST - Uygulamalarım"
"REST - OAuth Authorized Tokens","REST - OAuth Onaylanmış"
"REST - OAuth Consumers","REST - OAuth Tüketiciler"
"Reject","Reddet"
"Reject OAuth token authorization","OAuth kimlik onayını reddet"
"Reject authorization","Kimlik onayını reddet"
"Reject token authorization Pop Up for admin","Yönetici için kimlik doğrulama penceresini reddet"
"Reject token authorization for admin","Yönetici için kimlik onayı"
"Rejected Callback URL","Reddedilen işlem için dönüş adresi"
"Rejection Of Authorization","Kimlik Onayının Reddi"
"Revoked","İptal Edildi"
"Role Name","Rol Adı"
"Save","Kaydet"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Secret","Gizli Kelime"
"Selected entries enabled.","Seçili kayıtlar etkinleştirildi."
"Selected entries has been deleted.","Seçili kayıtlar silindi."
"Selected entries revoked.","Seçil kayıtlar iptal edildi."
"Status","Durum"
"System","Sistem"
"The application access request is rejected.","Uygulama erişim istediği reddedildi."
"The consumer has been deleted.","Tüketici silindi."
"The consumer has been saved.","Tüketici kaydedildi."
"Token Status Change","İşaretçi Durum Değişikliği"
"Token Status Change Email Template","İşaretçi Durum Değişikliği Şablonu"
"Unable to find a consumer.","Tüketici bulunamadı."
"User ID","Kullanıcı No"
"User Name","Kullanıcı Adı"
"User Type","Kullanıcı Tipi"
"Verifier code: %s","Onay Kodu : %s"
"You have no applications.","Size ait bir uygulama bulunamadı."
"deleted","silindi"
"enabled","etkinleştirildi"
"revoked","iptal edildi"
