"An error occurred while clearing the external full page cache.","Dış tam sayfa önbelleği temizlenirken bir sorun oldu."
"Cookie Lifetime (seconds)","Çerez Ömrü (saniye)"
"Enable External Cache","Dış Önbellek Kullanılsın"
"External Cache Control","Dış Önbellek Denetimi"
"External Full Page Cache Settings","Dış Tam Sayfa Önbellek Ayarları"
"External full page cache.","Dış tam sayfa önbelleği."
"Failed to load external cache control","Dış tam sayfa önbelleği yüklenemedi"
"Flush External Page Cache","Dış Tam Sayfa Önbelleğini Boşaltın"
"If empty, default value will be used.","Boş bırakılırsa, varsayılan değer kullanılır."
"The external full page cache has been cleaned.","Dış tam sayfa önbelleği temizlendi."
"Zend Full Page Cache","Zend Tam Sayfa Önbelleği"
