"Actions","操作"
"An error occurred while marking notification as read.","標記通知為已讀時發生錯誤。"
"An error occurred while marking the messages as read.","標記資訊為已讀時發生錯誤。"
"An error occurred while removing messages.","刪除資訊時發生錯誤。"
"An error occurred while removing the message.","刪除該資訊時發生錯誤。"
"Are you sure?","您是否確認？"
"Date Added","新增日期"
"Last Update","最後更新"
"Mark as Read","標記為已讀"
"Mark as read","標記為已讀"
"Message","資訊"
"Messages Inbox","收件箱"
"Notifications","通知"
"Please select messages.","請選擇一條資訊。"
"Read Details","閱讀詳情"
"Remove","刪除"
"Severity","嚴重程度"
"Show List","顯示列表"
"Show Toolbar","顯示工具欄"
"The message has been marked as read.","該資訊已標記為已讀。"
"The message has been removed.","該資訊已被刪除。"
"Total of %d record(s) have been marked as read.","共 %d 條資訊標記為已讀。"
"Total of %d record(s) have been removed.","共 %d 條資訊被刪除。"
"Unable to proceed. Please, try again.","無法處理。請重試。"
"Update Frequency","更新頻率"
"Use HTTPS to Get Feed","使用HTTPS獲取源"
"Wrong message type","錯誤訊息類型"
"critical","重要"
"major","主要"
"minor","次要"
"notice","注意"
