"Access denied.","訪問被拒絕"
"Can not find webservice adapter.","無法找到Web服務適配器。"
"Client Session Timeout (sec.)","客戶端會話超時（秒。）"
"Default Response Charset","預設響應字符集"
"Email","電子郵件"
"Enable WSDL Cache","啟用的WSDL緩存"
"General Settings","常規設置"
"Invalid webservice adapter specified.","指定的Web服務適配器無效。"
"Invalid webservice handler specified.","指定的Web服務處理程式無效。"
"Magento Core API","Magento核心API"
"Magento Core API Section","Magento核心API 部分"
"SOAP/XML-RPC - Roles","SOAP / XML-RPC - 角色"
"SOAP/XML-RPC - Users","SOAP / XML-RPC - 用戶"
"Unable to login.","無法登錄。"
"User Name","用戶名"
"WS-I Compliance","WS-I 兼容"
"Web Services","Web服務"
"Your account has been deactivated.","您的帳戶已被撤銷。"
