"# of Use","# 使用"
"%1$s incl tax.","%1$s 含稅。"
"%s - %s","%s - %s"
"%s Item(s)","%s 個項目"
"%s and above","%s及以上"
"(%d)","(%d)"
"(Copy data from: %s)","（複製數據自：%s）"
"* Required Fields","*必要欄位"
"-- Please Select --","-- 請選擇 --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","如果沒有設置，則預設值為 86400。要立即重新整理，請清空塊狀 HTML 輸出緩存。"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style="" color:red""="">Warning!</strong> Applying MAP by default will hide all product prices on the frontend."
"A group with the same name already exists.","以同樣名稱命名的群組已存在。"
"A name is required","需要設置名稱"
"A product type is not defined for the indexer.","索引器中產品類型未定義。"
"ALL GROUPS","所有群組"
"AM","AM"
"Action","操作"
"Actual Price","實際價格"
"Add","Add"
"Add Attribute","新增屬性"
"Add Design Change","新增設計變更"
"Add Group","新增群組"
"Add Group Price","添加組價格"
"Add New","新增內容"
"Add New Attribute","新增屬性"
"Add New Attribute Set","新增屬性集"
"Add New Group","新增群組"
"Add New Images","新增圖像"
"Add New Option","新增選項"
"Add New Row","新增行"
"Add New Search Term","新增的搜索條件"
"Add New Set","新增集"
"Add Product","新增產品"
"Add Product To Websites","新增產品到網站"
"Add Root Category","新增根分類"
"Add Subcategory","新增子分類"
"Add Tax","新增稅金"
"Add Tier","新增級別"
"Add attribute into attribute set","新增屬性到屬性集"
"Add group into attribute set","新增群組到屬性集"
"Add new custom option into product","新增自定選項到產品"
"Add new values into custom option","新增數值到自定選項"
"Add option","新選項"
"Add to Cart","新增到購物車"
"Add to Compare","新增並比較"
"Add to Wishlist","新增到收藏"
"Additional Information","額外資訊"
"Alert Urls","警報URL"
"All","全部"
"All Product Types","所有產品類型"
"All Websites","所有網站"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","該集合的所有產品都將被刪除！您是否確認要刪除該屬性集？"
"Allow All Products per Page","每頁面允許顯示的所有產品"
"Allow Dynamic Media URLs in Products and Categories","在產品和分類中允許使用動態媒體URL"
"Allow HTML Tags on Frontend","允許在前端使用HTML標籤"
"Allowed File Extensions","允許的文件擴展"
"Allowed file extensions to upload","允許上傳的文件擴展"
"An error occurred while adding products to websites.","新增產品到網站時發生錯誤。"
"An error occurred while clearing comparison list.","清除對照表時發生錯誤。"
"An error occurred while deleting this review.","刪去這個評論時發生錯誤。"
"An error occurred while removing products from websites.","從網站移除產品時發生錯誤。"
"An error occurred while saving the URL rewrite","保存重寫的URL時發生錯誤。"
"An error occurred while saving the attribute set.","保存屬性集時發生錯誤。"
"An error occurred while saving the collection, aborting. Error message: %s","發生錯誤，同時節省了收集，中止。錯誤消息：%S"
"An error occurred while saving the product. ","保存產品時發生錯誤。"
"An error occurred while saving the search query.","保存搜索查詢時發生錯誤。"
"An error occurred while saving this group.","保存這個分組時發生錯誤。"
"An error occurred while saving this review.","保存這個評論時發生錯誤。"
"An error occurred while trying to delete the category.","刪除該類別時發生錯誤。"
"An error occurred while updating the product(s) attributes.","更新產品屬性時發生錯誤。"
"An error occurred while updating the product(s) status.","更新產品狀態時發生錯誤。"
"An invalid group ID is specified, skipping the record.","指定的組ID無效，跳過記錄。"
"An invalid option ID is specified for %s (%s), skipping the record.","%s (%s)為無效的選項ID，跳過此記錄。"
"An invalid store was specified.","指定了一個無效的存儲。"
"Anchor Custom Text","自定文本錨點"
"Anchor Custom Title","自定標題錨點"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","只適用於產品目錄和類別。任何媒體內容將被插入到一個靜態的URL編輯器。如果系統配置基礎的URL更改了，它也不會隨之更新。"
"Apply MAP (Default Value)","套用MAP（預設值）"
"Apply To","套用給"
"Approved","已批准"
"Are you sure you want to delete this category?","你確定要刪除此類別？"
"Are you sure you would like to remove all products from your comparison?","你確定要是刪除所有對比的產品？"
"Are you sure you would like to remove this item from the compare products?","你確定要從對比產品中刪除這個項目？"
"Are you sure?","您是否確認？"
"As low as:","低至："
"Assign","分配"
"Assign product link","分配的產品連結"
"Assign product to category","分配產品到分類"
"Assigned Products","分配的產品"
"Associated Products","相關的產品"
"Attrib. Set Name","屬性。 設置名稱"
"Attribute ""%s"" is invalid.","Attribute ""%s"" is invalid."
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","屬性資訊"
"Attribute Model","屬性模型"
"Attribute Name:","屬性名："
"Attribute Set","屬性集"
"Attribute Sets","屬性集"
"Attribute add","屬性新增"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","屬性代碼是無效的。在這方面，請使用只有字母（az），數字（0-9）或下劃線（_），第一個字符必須是字母。"
"Attribute group with the \/name/\"" name already exists""","屬性組名稱\/name/\""已經存在"""
"Attribute remove","屬性移除"
"Attribute with the same code already exists","使用相同代碼的屬性已存在"
"Attributes","屬性"
"Attrribute names can be specified per store.","屬性名可是每店舖專用的。"
"Autogenerate","自動生成"
"Availability:","可用性："
"Back","返回"
"Backend Model","後端模式"
"Backend Table","後端表格"
"Backend Table Title","後端表格標題"
"Backorders","缺貨"
"Based On","基於"
"Before Order Confirmation","在訂單確認之前"
"Best Value","最佳值"
"Block after Info Column","資訊欄之後阻止"
"Bottom Block Options Wrapper","底部阻止選項包裝"
"Bottom/Left","底部/左側"
"Bottom/Right","底部/右側"
"Browse By","瀏覽者："
"Bundle Items","捆綁項"
"Buy %1$s","購買 %1$s"
"Buy %1$s for","購買 %1$s："
"Buy %1$s for %2$s","為 %2$s 購買 %1$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","為每 %2$s（%3$s 含稅）購買 %1$s"
"Buy %1$s for %2$s each","為每 %2$s 購買 %1$s"
"Cache Lifetime (Seconds)","緩存生存時間（秒）"
"Cache refresh needed.","需要重新整理緩存。"
"Can be Divided into Multiple Boxes for Shipping","可分為多箱航運"
"Can be used only with catalog input type Dropdown","僅可用于類別輸入類型 下拉"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","僅可用于類別輸入類型　下拉、多選和價格"
"Can\'t create image.","無法建立圖片。"
"Cancel","取消"
"Cannot create image.","無法建立圖片。"
"Cannot create writeable directory '%s'.","無法建立可寫的目錄 '%s'。"
"Cart Item Attribute","購物車項目屬性"
"Catalog","分類"
"Catalog Category (Anchor)","分類類別（固定）"
"Catalog Category (Non-Anchor)","分類類別（不固定）"
"Catalog Category (Without Subcategories)","分類類別  (沒有子類別)"
"Catalog Category Link","分類類別連結"
"Catalog New Products List","分類新產品列表"
"Catalog Price Scope","分類價格範圍"
"Catalog Product Compare List","分類產品比較列表"
"Catalog Product Email to a Friend","將分類產品用郵件發送給朋友"
"Catalog Product Image Gallery Popup","分類產品圖像庫彈出窗口"
"Catalog Product Link","分類產品連結"
"Catalog Product View (Any)","分類產品視圖（任意）"
"Catalog Product View (Configurable)","分類產品視圖（可配置）"
"Catalog Product View (Grouped)","分類產品視圖（分組）"
"Catalog Product View (Simple)","分類產品視圖（簡單）"
"Catalog Product View (Virtual)","分類產品視圖（虛擬）"
"Catalog Section","分類選擇"
"Catalog Seo Sitemap (Category List)","分類SEO網站地圖（分類列表）"
"Catalog Seo Sitemap (Category Tree)","分類SEO網站地圖（分類樹）"
"Catalog Seo Sitemap (Common)","分類SEO網站地圖（常用）"
"Catalog Seo Sitemap (Product List)","分類SEO網站地圖（產品列表）"
"Catalog URL Rewrites","分類URL重寫"
"Catalog product custom option values API","目錄產品的自定選項值的 API"
"Catalog product custom options API","目錄產品的自定選項的 API"
"Catalog, Search","分類，搜索"
"Categories","分類"
"Categories Sitemap","分類網站地圖"
"Category","分類"
"Category API","分類API"
"Category Data","分類數據"
"Category Flat Data","分類平面數據"
"Category Link Block Template","分類連結塊範本"
"Category Link Inline Template","分類連結內聯摸板"
"Category Products","分類產品"
"Category Top Navigation","分類頂部導航"
