"%s and greater","%s 並且更多"
"<strong>%d item(s)</strong> were found using the following search criteria","使用下列搜索條件找到了<strong>%d 個商品</strong>"
"Advanced Search","進階搜索"
"Advanced Search Form","進階搜索表單"
"Advanced Search Result","進階搜索結果"
"All","全部"
"Applies for ""Like"" search type only.","只應用""喜歡""的搜索類型。"
"Apply Layered Navigation if Search Results are Less Than","如果搜索結果少於該數量，套用層次式導航"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","與搜索索引有關的屬性設置有改動。請運行<a href="" %s""="">重建搜索索引</a> 操作。"
"Autogenerated Site Map","自動生成的網站地圖"
"Catalog Advanced Search","分類進階搜索"
"Catalog Search","分類搜索"
"Catalog Search Index","分類搜索索引"
"Don't see what you're looking for?","沒看到您要找的東西？"
"Enter ""0"" to enable layered navigation for any number of results.","輸入""0""即可為任何數量的結果啟用層次式導航。"
"Go","Go"
"Go to Home Page","前往主頁"
"Grid","網格"
"Home","主頁"
"List","列表"
"Maximum Query Length","最大查詢長度"
"Maximum Query Words Count","最大查詢詞語數量"
"Maximum Search query length is %s. Your query was cut.","最大的搜索查詢的長度是%s。您的查詢被切斷。"
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","數量最多的話是%1 $ S。在您的搜索查詢被切下一部分：%2 $ S。"
"Minimal Query Length","最小查詢長度"
"Minimum Search query length is %s","最小搜索查詢長度為 %s"
"Modify your search","修改您的搜索"
"No","否"
"No items were found using the following search criteria.","沒有找到使用下列搜索條件的項目。"
"Please specify at least one search term.","請至少指定一個搜索詞。"
"Popular Search Terms","熱門搜索詞"
"Quick Search Form","快速搜索表單"
"Rebuild Catalog product fulltext search index","重建目錄產品全文搜索索引"
"Relevance","關聯"
"Results","結果"
"Search","搜索"
"Search Settings","搜索設置"
"Search Terms","搜索條件"
"Search Type","搜索類型"
"Search entire store here...","在這裡搜索整個商店..."
"Search results for '%s'","""%s""的搜索結果"
"Search results for: '%s'","搜索結果：""%s"""
"Search:","搜索："
"Specified date is invalid.","指定的日期是無效的。"
"Subscribe to Feed","訂閱到源訂閱"
"There are no search terms available.","沒有可用的搜索詞"
"Yes","是"
"Your search returns no results.","您的搜索未找到結果。"
"up to %s","至多 %s"
