"* Required Fields","*必要欄位"
"Comment","評論"
"Contact Form","聯繫表單"
"Contact Information","聯繫資訊"
"Contact Us","聯繫我們"
"Contact Us Form","我們的聯繫方式"
"Contacts","聯繫人"
"Contacts Section","聯繫人區域"
"Email","電子郵件"
"Email Options","電子郵件選項"
"Email Sender","電子郵件發送人"
"Email Template","電子郵件範本"
"Enable Contact Us","啟用聯繫功能"
"Name","名稱"
"Send Emails To","發送郵件到"
"Submit","提交"
"Telephone","電話"
"Unable to submit your request. Please, try again later","無法提交您的請求。請稍候重試"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","您的諮詢已提交，我們將儘快回應。感謝您的聯繫。"
