"Active","活動"
"Add Attribute Mapping","新增屬性對應"
"Add New Attribute","新增屬性"
"Add to Google Base","新增到Google Base"
"Are you sure?","您是否確認？"
"Attribute","屬性"
"Attribute Set","屬性集"
"Attribute Set and Item Type","屬性集與項目類型"
"Attributes","屬性"
"Attributes Mapping","屬性對應"
"Attributes Set","屬性集"
"AuthSub","AuthSub"
"Available Products","可用產品"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","應在系統配置中將基本貨幣設置為 %s 的 %s，否則商品價格在Google Base中將不準確。"
"Cannot update Google Base Item for Store '%s'","無法更新Google Base項目給商店  '%s'"
"Captcha confirmation error: %s","驗證碼有誤：%s"
"Captcha has been confirmed.","驗證碼已確認。"
"Catalog","分類"
"Clicks","點擊"
"ClientLogin","客戶端登錄"
"Confirm","確認"
"Current Mapping will be reloaded. Continue?","當前對應會重新載入，是否繼續？"
"Custom attribute, no mapping","自定屬性，無對應"
"Delete","刪除"
"Delete Mapping","刪除對應"
"Edit Item Type","編輯項目類型"
"Edit Item Type ""%s""","編輯項目類型""%s"""
"Error: %s","錯誤：%s"
"Expires","過期"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Google 基本屬性"
"Google Base ID","Google 基本 ID"
"Google Base Item Type","Google 基本項目類型"
"Google Base Item type","Google 基本項目類型"
"Google Base Items","Google Base項目"
"Google base","Google 基本"
"Hide","隱藏"
"Hosted","已託管"
"Hosted or Google","託管或 Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Google Base 項目中無效的產品型號"
"Item Type was deleted","項目類型已刪除"
"Item Types","項目類型"
"Item model is not specified to delete Google Base entry.","未指定要刪除 Google Base 條目的項目型號。"
"Items","項目"
"Manage Attribute Mapping","管理屬性對應"
"Manage Attributes","管理屬性"
"Manage Items","管理項目"
"New Item Type","新項目類型"
"New ItemType","新的項目類型"
"No","否"
"No items were deleted from Google Base","沒有從Google Base中刪除內容"
"No items were published","沒有發布內容"
"No items were saved as inactive items","沒有將內容保存為不活躍內容"
"No products were added to Google Base","沒有將產品加入Google Base"
"Object model is not specified to save Google Base entry.","對象模型未指定保存到Google Base項。"
"Please, select Attribute Set and Google Item Type to load attributes","請選擇屬性集與Google項目類型以載入屬性"
"Product Name","產品名"
"Publish","發布"
"Published","已發布"
"Remove","刪除"
"Save Mapping","保存對應"
"Session expired during export. Please revise exported products and repeat the process if necessary.","滙出過程中會話過期。請修訂滙出的產品，並在有必要時重複該操作。"
"Synchronize","同步"
"Target Country","目標國家"
"The item type has been saved.","該項目類型已保存。"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","該操作將更新項目狀態，並刪除Google Base中不可用的內容，是否繼續？"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","總共 %d 個內容被刪除，共 %d 個內容被更新。"
"Total of %d items(s) have been published.","共 %d 個內容被發布。"
"Total of %d items(s) have been removed from Google Base.","共 %d 個內容被從Google Base刪除。"
"Total of %d items(s) have been saved as inactive items.","共 %d 個內容被保存為不活躍內容。"
"Total of %d product(s) have been added to Google Base.","共 %d 個產品被加入Google Base。"
"Unable to connect to Google Base. Please, check Account settings in configuration.","無法連接到Google Base，請檢查配置中的帳戶設置。"
"Unable to select a Store View.","無法選擇店舖視圖。"
"View Available Products","查看可用產品。"
"View Item in Google Base","在Google Base中查看項目"
"Yes","是"
