"* Select shipping method","* 選擇運送方式"
"2Day","2DAY"
"2nd Day Air","第2天空郵"
"2nd Day Air AM","第2天空郵上午"
"3 Day Select","3天選擇"
"<br />Warning: <strong>%s</strong><br />","<br>警告：<strong>%s</strong><br>"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style="" color:red""="">警告！</strong> 該選項將禁用商家計算的運送費用。使用該選項，Google API 將忽略任何影響運送費用的情況。"
"A virtual item to reflect the discount total","一件虛擬項目反應總折扣"
"A virtual item to reflect the tax total","一件虛擬項目反映總稅費"
"AVS Status: %s","AVS 狀態：%s"
"Add Shipping Method","新增運送方式"
"Allowed Methods","允許的方式"
"Amount: %s","數量：%s"
"Auto-generated from GoogleCheckout Charge","從 GoogleCheckout 支付自動生成"
"Buyer Account Age: %s days","買家賬戶年齡：%s 天"
"CC Partial: xxxx-%s","CC 部分：xxxx-%s"
"CID Status: %s","CID 狀態：%s"
"Carrier Calculated Methods","承運商計算的方式"
"Cart Discount","購物車折扣"
"Checkout Image Style","結賬圖片風格"
"Commercial","商業"
"Continue Shopping URL","繼續購物 URL"
"Credit memo has been created automatically","信用備忘錄已自動建立"
"Debug","偵錯"
"Default Package Height (in)","預設包裹高度 (in)"
"Default Package Length (in)","預設包裹長度 (in)"
"Default Package Width (in)","預設包裹寬度 (in)"
"Default Price for Methods","預設價格"
"Default price:","預設價格："
"Delivery Address Category","送貨地址分類"
"Delivery Schedule","發貨計劃"
"Description-based delivery","基於描述的交付"
"Disable Default Tax Tables","禁止預設稅率表"
"Discount Tax","折扣率"
"Eligible for Protection: %s","符合資格的保護：%s"
"Email delivery","電子郵件傳送"
"Enable","啟用"
"Enable Carrier Calculated","啟用承運人計算"
"Enable Digital Delivery","啟用數字交付"
"Enable Flat Rate","啟用平面費率"
"Enable Merchant Calculated","啟用分行計算"
"Enable this if your checkout request is too big and being cut off.","如果您的結賬請求太大被截斷，請啟用這個。"
"Expiration: %s","到期：%s"
"Express Mail","特快專遞"
"Express Saver","快遞節電器"
"FedEx","聯邦快遞"
"Financial: %s -> %s","財務： %s -> %s"
"First Overnight","第一次通宵"
"Free Shipping","免運費"
"Fulfillment: %s -> %s","滿足： %s -> %s"
"Google API","Google API"
"Google Authorization:","Google身份驗證："
"Google Buyer ID: %s","Google買家ID： %s"
"Google Charge:","Google Charger："
"Google Chargeback:","Google Chargeback："
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Google Checkout 送貨 - 承運人計算"
"Google Checkout Shipping - Digital Delivery","Google Checkout 送貨 - 數字交付"
"Google Checkout Shipping - Flat Rate","Google Checkout 送貨 - 平面費率"
"Google Checkout Shipping - Merchant Calculated","Google Checkout 送貨 - 分行計算"
"Google Checkout: %s","Google Checkout：%s"
"Google Order Number: %s","Google 訂單號碼：%s"
"Google Order Status Change:","Google 訂單狀態更改："
"Google Refund:","Google 退款："
"Google Risk Information:","Google 風險資訊："
"Ground","地面"
"Hide Cart Contents","隱藏購物車內容"
"Home Delivery","送貨上門"
"IP Address: %s","IP 地址：%s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","如果啟用，購物車內容會在單擊購物車中的 Google Checkout 按鈕後被隱藏，並在""編輯購物車""連結激活後恢復顯示。"
"Inches","英寸"
"Invoice Auto-Created: %s","發票已自動建立：%s"
"Is Buyer Willing to Receive Marketing Emails: %s","買家是否願意接收市場營銷電子郵件：%s"
"Key/URL delivery","鍵/ URL傳遞"
"Large - %s","大 - %s"
"Latest Charge: %s","最近付款：%s"
"Latest Chargeback: %s","最近退款：%s"
"Latest Refund: %s","最近退款：%s"
"Location","位置"
"Media Mail","媒體郵件"
"Medium - %s","中 - %s"
"Merchant ID","分行ID"
"Merchant Key","分行密鑰"
"Method","方式"
"New Order Status","新訂單狀態"
"Next Day Air","第二天空氣"
"Next Day Air Early AM","第二天空氣早期上午"
"Next Day Air Saver","第二天空調節電器"
"No","否"
"No Comment","沒有評論"
"No Reason","沒有理由"
"Optimistic","樂觀的"
"Optional, leave empty for home page.","可選，主頁留空。"
