"-- Please Select --","-- 請選擇 --"
"Account Registration","帳號註冊"
"All fields of script types have to be filled.","All fields of script types have to be filled."
"Attributes","屬性"
"Category View Optimization","Category View Optimization"
"Control Script","Control Script"
"Conversion Page","Conversion Page"
"Conversion Page URL","Conversion Page URL"
"Conversion Script","Conversion Script"
"Enable","啟用"
"Google Optimizer Scripts","Google Optimizer Scripts"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Install Scripts"
"Multi Address Checkout","Multi Address Checkout"
"One Page Checkout","單頁面結賬"
"Order Success (Multi Address Checkout)","Order Success (Multi Address Checkout)"
"Order Success (One Page Checkout)","Order Success (One Page Checkout)"
"Original Page","原始頁面"
"Other","其他"
"Page Type","頁面類型"
"Page View Optimization","頁面瀏覽優化"
"Please copy and paste this value to experiment edit form","Please copy and paste this value to experiment edit form"
"Please copy and paste this value to experiment edit form.","Please copy and paste this value to experiment edit form."
"Please select store view to see the URL","Please select store view to see the URL"
"Please select store view to see the URL.","Please select store view to see the URL."
"Product View Optimization","Product View Optimization"
"Scripts Install URL","Scripts Install URL"
"Shopping Cart","購物車"
"The limit is 8 attributes only.","The limit is 8 attributes only."
"Tracking Script","Tracking Script"
"Use Default","使用預設值"
"Use Default Values","Use Default Values"
"Variant Page","Variant Page"
