"Action","操作"
"Add Sitemap","新增網站地圖"
"Always","總是"
"CMS Pages Options","CMS包選項"
"Categories Options","分類選項"
"Daily","每天"
"Edit Sitemap","編輯網站地圖"
"Enabled","已啟用"
"Error Email Recipient","郵件接收有誤"
"Error Email Sender","郵件發送有誤"
"Error Email Template","郵件範本有誤"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","文件 ""%s"" 無法保存。請確保目錄 ""%s"" 可被Web伺服器寫入。"
"Filename","文件名"
"Frequency","頻率"
"Generate","生成"
"Generation Settings","常規設置"
"Google Sitemap","Google Sitemap"
"Hourly","每小時"
"ID","ID"
"Last Time Generated","上一次生成時間"
"Link for Google","Google的連結"
"Monthly","每月"
"Never","永不"
"New Sitemap","新網站地圖"
"Path","路徑"
"Please create the specified folder ""%s"" before saving the sitemap.","保存網站地圖之前，請建立指定的文件夾 ""%s""。"
"Please define correct path","請定義正確的路徑"
"Please make sure that ""%s"" is writable by web-server.","請確保Web伺服器可寫入 ""%s""。"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","在文件名中請只使用字母（a-z或A-Z）、數字（0-9），或下劃線（_）。不允許使用空格或其他字符。"
"Priority","優先級"
"Products Options","產品選項"
"Sitemap","網站地圖"
"Sitemap generate Warnings","網站地圖生成警報"
"Start Time","開始時間"
"Store View","店舖視圖"
"The priority must be between 0 and 1.","優先級必須介於0和1之間。"
"The sitemap ""%s"" has been generated.","網站地圖 ""%s""已生成。"
"The sitemap has been deleted.","網站地圖已被刪除。"
"The sitemap has been saved.","網站地圖已保存。"
"This sitemap no longer exists.","網站地圖不存在。"
"Unable to find a sitemap to delete.","無法找到要刪除的網站地圖。"
"Unable to find a sitemap to generate.","無法找到生成的網站地圖。"
"Unable to generate the sitemap.","無法生成網站地圖。"
"Valid values range: from 0.0 to 1.0.","有效的值範圍：從0.0到1.0。"
"Weekly","每週"
"Yearly","每年"
