" But cart has some errors.","但購物車中有一些錯誤。"
"""Description"" is more than %d characters long","""描述""多於 %d 個字符長度"
"""Title"" is more than %d characters long","""標題""多於 %d 個字符長度"
"""id"" attribute is required for a ""%s"" field.","""%s""的欄位需要""id""的屬性。"
"""line_count"" attribute is required for ""multiline"" element.","""multiline"" 元件需要""line_count""的屬性。"
"""message"" attribute is required for ""%s"" validator rule.","""%s""的驗證規則需要 ""message""的屬性。"
"%1$s has been added to your wishlist.","%1$s 已新增到您的願望清單。"
"%1$s incl tax.","%1$s 含稅。"
"%s API Key required.","%s 需要 API 密鑰。"
"%s Application ID required.","%s 需要應用程式 ID。"
"%s Secret Key required.","需要 %s 密鑰。"
"%s attribute is required.","%s 屬性是必需的。"
"%s has been added to your cart.","%s 已新增到您的購物車。"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","（包含列表中不包括的國家。作為應用的所有者，您需要負責遵守在特定國家，包括您自己的祖國分發或銷售您的應用程式時，該國的相關法律。）"
"*Subject to change","*如有變更"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">登入</a> Urabn Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","僅在目錄中的App程式將不支持部分功能，例如新增到購物車、新增到願望清單，或登錄。"
"A new password has been sent.","新密碼已發送。"
"Account","帳戶"
"Account confirmation is required. Please check your email for the confirmation link.","需要進行賬戶確認。請檢查您的電子郵件並找到確認連結。"
"Account information has been saved.","賬戶資訊已保存。"
"Action","操作"
"Activate","激活"
"Activate PayPal Checkout","激活 PayPal 結賬"
"Activate PayPal MECL","激活 PayPal MECL"
"Activation Key","激活密鑰"
"Add App","新增App程式"
"Add New Template","新增範本"
"Add Page","新增頁面"
"Add to Cart","新增到購物車"
"Add to Wishlist","新增到收藏"
"Additional Address","其他地址"
"Address","地址"
"Address 2","地址2"
"Address data not specified.","地址數據未指定。"
"Address does not belong to this customer.","地址不屬於該客戶。"
"Address has been deleted.","地址已被刪除。"
"Address has been saved.","地址已被保存。"
"Administrative contact for this app and for app submission issues.","管理有關該應用的聯繫以及該應用提交的問題。"
"Advanced Settings","進階設置"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","提交應用到Magento後，請聯繫 <a href=""mailto:%1$s"">%1$s</a>，以獲得應用的關鍵，應用的秘密和App主密鑰。"
"AirMail Message Queue","航空郵件消息隊列"
"AirMail Messages Queue","航空郵件消息隊列"
"AirMail Template Preview","航空郵件範本預覽"
"AirMail message","航空郵件消息"
"AirMail templates","航空郵件範本"
"All Allowed Countries","所有允許國家"
"All locations","所有位置"
"An account with this email address already exists.","使用該郵件地址的帳戶已存在。"
"An error occurred while adding item to wishlist.","當新增項目到願望清單時發生錯誤。"
"An error occurred while deleting the address.","刪除該地址時發生錯誤。"
"An error occurred while loading categories.","載入類別時發生錯誤。"
"An error occurred while loading category filters.","載入分類篩選器時出錯。"
"An error occurred while loading wishlist.","載入願望清單時發生錯誤。"
"An error occurred while processing your order. Please contact us or try again later.","處理您的訂單時出錯。請聯繫我們或稍後再試。"
"An error occurred while processing your request.","處理您的請求時出錯。"
"An error occurred while removing item from wishlist.","從您的願望清單中刪除該商品時出錯。"
"An error occurred while removing items from wishlist.","從願望清單刪除內容時出現了錯誤。"
"Analytics","分析"
"Android","Android"
"Android doesn\'t support AirMail message type.","Android 不能支援 AirMail 訊息類型。"
"App Background","App背景"
"App Background (landscape mode).","App背景（橫向模式）。"
"App Background (portrait mode).","App背景（縱向模式）。"
"App Background <br />(landscape mode)","App背景<br />（橫向模式）"
"App Background <br />(portrait mode)","App背景<br />（縱向模式）"
"App Background image missing.","App背景圖像丟失"
"App Code","App代碼"
"App Information","App資訊"
"App Name","App名稱"
"App Stores","App店舖"
"App Submission History","App提交歷史"
"App Title","App標題"
"App code required.","需要App代碼。"
"App does not exist.","App不存在。"
"App has been deleted.","App已被刪除。"
"App has been saved.","App已被保存。"
"App has been submitted.","App已被提交。"
"App model not loaded.","App模塊未載入。"
"App with specified code does not exist.","使用特定代碼的App已存在。"
"Appears in the info section of your app (example: Copyright 2010 – Your Company, Inc.)","顯示在您應用的資訊介面中（例如：Copyright 2010 – Your Company, Inc.）"
"Application","應用程式"
"Application Key","應用程式密鑰"
"Application Master Secret","應用程式主密鑰"
"Application Name","應用程式名稱"
"Application Secret","應用程式密碼"
"Are you sure you want to delete this theme? This change will affect all applications.","你確定要刪除這個主題嗎？這種變化會影響所有應用程序。"
"Are you sure you want to do this?","你確定你要執行此操作嗎？"
"Are you sure you whant to cancel a message?","您是否確定要取消該資訊？"
"Are you sure you whant to delete a message?","您是否確定要刪除該資訊？"
"Are you sure you what to cancel selected records?","您是否確定要取消所選記錄？"
"Are you sure you what to delete selected records?","您是否確定要刪除所選記錄？"
"As a Magento customer, Urban Airship is offering you unlimited Push Notifications and Rich Push for $100/year* along with a 60 day free trial.","作為Magento客戶，Urban Airship為您提供無限Push Notifications and Rich Push價值$100/年*，免費試用60天。"
"At last one application has to be created.","在最後一個應用程序被建立。"
"Authentication complete.","身份驗證完成。"
"Back","返回"
"Back to App Edit","返回App編輯"
"Background Color","背景色"
"Balance","Balance"
"Balance Change","Balance Change"
"Balance History","Balance History"
"Banner on Home Screen","主介面的横額"
"Banner on Home Screen (landscape mode) image missing.","主介面的横額 (横向模式) 圖像遺失了。"
"Banner on Home Screen (portrait mode) image missing.","主介面的横額 (直立模式)圖像遺失了。"
"Banner on Home Screen <br />(landscape mode)","主介面的横額 <br />(横向模式)"
"Banner on Home Screen <br />(portrait mode)","主介面的横額 <br/>（直立模式）"
"Banner on Home Screen image missing.","主介面的横額圖片遺失了。"
"Billing Address","賬單地址"
"Billing address has been set.","賬單地址已設置/"
"Buy %1$s for %2$s","為＄%2 購買 ＄%1"
"Buy %1$s for %2$s (%3$s incl. tax) each","為每 ＄%2（＄%3 含稅）購買 ＄%1"
"Buy %1$s for %2$s each","為每 ＄%2 購買 ＄%1"
"Buy %1$s with %2$s discount each","每買 ＄%1 有 ＄%2 折扣"
"Buyer country is not allowed by store.","店舖不允許買家的國家。"
"Cache Lifetime (seconds)","緩存壽命（秒）"
"Cache Management","緩存管理"
"Can\'t add item to shopping cart.","無法新增項目到購物車。"
"Can\'t apply the coupon code.","無法套用代金券代碼。"
"Can\'t copy file ""%s"" to ""%s"".","無法複製文件""%s"" 到 ""%s""。"
"Can\'t create wishlist.","無法建立願望清單。"
"Can\'t delete ""%s"" theme.","不能刪除 ""%s"" 主題。"
"Can\'t load XML.","無法載入XML。"
"Can\'t load application with id ""%s""","Can\'t load application with id ""%s"""
"Can\'t load cart info.","不能載入購物車資料。"
"Can\'t load cart.","不能載入購物車。"
"Can\'t load customer form.","不能載入顧客表格。"
"Can\'t load default themes.","不能載入預設主題。"
"Can\'t load selected theme. Please check your media folder permissions.","無法載入選定的主題。請檢查您的媒體文件夾權限。"
"Can\'t open submission form.","無法打開提交表單。"
"Can\'t read file ""%s"".","無法讀取文件""%s""。"
"Can\'t remove the item.","無法刪除該項目。"
"Can\'t reset theme.","無法重設主題。"
"Can\'t save address.","無法保存地址。"
"Can\'t save the customer.","無法保存客戶。"
"Can\'t save theme.","無法保存主題。"
"Can\'t show configuration.","無法顯示配置。"
"Can\'t specify product.","無法指定產品。"
"Can\'t submit application.","無法提交應用程式。"
"Can\'t update cart.","無法更新購物車。"
"Can\'t write to file ""%s"".","無法寫入到文件 ""%s""。"
"Cancel","取消"
"Canceled","已取消"
"Cancelled","已取消"
"Cannot apply gift card.","不適用於禮品卡。"
"Cannot load theme ""%s"".","無法載入主題 ""%s""。"
"Cannot redeem Gift Card.","不能兌換禮品卡。"
"Cannot remove gift card.","不能刪除的禮品卡。"
"Cannot save theme ""%s"". Incorrect data received","無法保存主題 ""%s""。收到的數據有誤"
"Card Verification Number","卡片驗證號碼"
"Card verification number is wrong","卡驗證號碼有誤"
"Carrier","運營商"
"Cart","購物車"
"Cart has been updated.","購物車無法更新。"
"Cart has some errors.","購物車存在一些錯誤。"
"Cart is empty.","購物車為空。"
"Catalog Only App?","只對App分類？"
"Category Button Color","分類按鈕也暗色"
"Category Item Background Color","分類項目背景色"
"Chairs","鏈"
"Change Orientation","更改方向"
"Change Password","更改密碼"
"Changes have been saved to theme.","變動已保存到主題中。"
"Checkout has been initialized.","結賬已被初始化。"
"City","城市"
"Color Themes","色彩主題"
"Colors","色彩"
"Company","公司"
"Completed","已完成"
"Confirm New Password","確認新密碼"
"Confirm Password","確認密碼"
"Contact Email","聯繫郵件"
"Contact Information","聯繫資訊"
"Container is not defined.","容器沒有被定義。"
"Content","內容"
"Copyright","版權所有"
"Copyright Page Logo","版權頁面徽標"
"Copyright Page Logo <br />(iPhone 4 retina)","版權頁面徽標<br />（iPhone 4 retina螢幕）"
"Countries Payment Applicable From","國家付款請求於"
"Country","國家"
"Country options don\'t recognized for ""%s"".","國家選項不能識別 ""%s""。"
"Coupon code %s is not valid.","代金券代碼 ""%s"" 無效。"
"Coupon code %s was applied.","代金券代碼 %s 已被使用。"
"Coupon code is empty.","代金券代碼為空。"
"Coupon code was canceled.","優惠代碼已被取消。"
"Creating a Template is allowed only for applications which have device type iPhone.","只有設備類型為iPhone的應用程式才能建立範本。"
"Credit Card","信用卡"
"Credit Card %s","信用卡 %s"
"Credit Card Number","信用卡號碼"
"Credit Card Type","信用卡類型"
