"Actions","Действия"
"An error occurred while marking notification as read.","Възникна грешка при отбелязването на известията като прочетени."
"An error occurred while marking the messages as read.","Възникна грешка при отбелязването на съобщенията като прочетени."
"An error occurred while removing messages.","Възникна грешка при премахването на съобщенията."
"An error occurred while removing the message.","Възникна грешка при премахване на съобщението."
"Are you sure?","Are you sure?"
"Date Added","Дата на добавяне"
"Last Update","Последно обновяване"
"Mark as Read","Mark as Read"
"Mark as read","Mark as read"
"Message","Съобщение"
"Messages Inbox","Messages Inbox"
"Notifications","Известия"
"Please select messages.","Please select messages."
"Read Details","Read Details"
"Remove","Премахване"
"Severity","Severity"
"Show List","Show List"
"Show Toolbar","Show Toolbar"
"The message has been marked as read.","Съобщението беше отбелязано като прочетено."
"The message has been removed.","Съобщението беше премахнато."
"Total of %d record(s) have been marked as read.","Total of %d record(s) have been marked as read."
"Total of %d record(s) have been removed.","Total of %d record(s) have been removed."
"Unable to proceed. Please, try again.","Unable to proceed. Please, try again."
"Update Frequency","Update Frequency"
"Use HTTPS to Get Feed","Use HTTPS to Get Feed"
"Wrong message type","Wrong message type"
"critical","critical"
"major","major"
"minor","minor"
"notice","notice"
