"10 minutes","10 minutes"
"15 minutes","15 minutes"
"20 minutes","20 minutes"
"30 minutes","30 minutes"
"5 minutes","5 minutes"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Geplante Ausführung) - Alle Angaben in Minuten"
"Daily","täglich"
"Failure History Lifetime","Fehlerprotokoll Zeitraum"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Für das Erzeugen korrekter URLs während der zeitgesteuerten Ausführung stellen Sie bitte sicher, dass Web > Sichere und Unsichere Base URLs einen expliziten Wert enthalten."
"Generate Schedules Every","Erzeuge Terminplan jede(n)"
"History Cleanup Every","Bereinigen des Log-Verlaufs jede(n)"
"Hourly","Hourly"
"Invalid callback: %s::%s does not exist","Ungültiges Callback: %s::%s existiert nicht"
"Invalid model/method definition, expecting ""model/class::method"".","Ungültige Modell-/Methoden-Definition, erwarte ""model/class::method""."
"Minute Intervals","Minute Intervals"
"Missed if Not Run Within","Verfällt, wenn nicht ausgeführt binnen"
"Monthly","Monatlich"
"No callbacks found","Keine Callbacks gefunden"
"Schedule Ahead for","Vormerken für"
"Success History Lifetime","Erfolgsverlaufsprotokoll Zeitraum"
"Too late for the schedule.","Zu spät zum Vormerken."
"Unable to delete the cron task.","Unable to delete the cron task."
"Unable to save the cron expression.","Cron-Werte konnten nicht gespeichert werden."
"Weekly","wöchentlich"
