"%s file does not exists or is not readable","%s file does not exists or is not readable"
"-- Please Select --","-- Bitte wählen --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","Adapter muss eine Instanz von Mage_ImportExport_Model_Import_Adapter_Abstract sein"
"Adapter object must be an instance of %s","Adapter object must be an instance of %s"
"Adapter type must be a non empty string","Adapter Art darf keine leere Zeichenfolge"
"Append Complex Data","Append Complex Data"
"Attribute Code","Attribute Code"
"Attribute Label","Attribute Label"
"Attribute does not has options, so filtering is impossible","Attribute does not has options, so filtering is impossible"
"Begin data validation","Begin data validation"
"Begin export of %s","Begin export of %s"
"Begin import of ""%s"" with ""%s"" behavior","Begin import of ""%s"" with ""%s"" behavior"
"CSV","CSV"
"Can not determine attribute filter type","Attribut-Filtertyp konnte nicht bestimmt werden."
"Can not find required columns: %s","Can not find required columns: %s"
"Cannot get autoincrement value","Cannot get autoincrement value"
"Check Data","Daten überprüfen"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d"
"Column names have duplicates","Spaltennamen beinhalten Dubletten"
"Column names is empty or is not an array","Spaltennamen sind leer oder kein Array"
"Column names: ""%s"" are invalid","Spaltennamen: ""%s"" sind ungültig"
"Customers","Customers"
"Data is invalid or file is not uploaded","Daten sind ungültig oder Datei wurde nicht korrekt hochgeladen"
"Delete Entities","Delete Entities"
"Destination directory is not writable","Zielverzeichnis ist nicht beschreibbar"
"Destination file is not writable","Zieldatei ist nicht beschreibbar"
"Destination file path must be a string","Pfad der Zieldatei muss ein String sein"
"Done import data validation","Done import data validation"
"Duplicate Unique Attribute for '%s'","Duplicate Unique Attribute for '%s'"
"Entity Type","Entity Type"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","Entity Adapter Objekt muss eine Instanz von Mage_ImportExport_Model_Import_Entity_Abstract sein"
"Entity is unknown","Entity ist unbekannt"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","Entity Typ Model muss eine Instanz von Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract sein"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","Entity Typ Model muss eine Instnaz von Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract sein"
"Error in data structure: behaviors are mixed","Fehler in der Datenstruktur: Verhalten sind nicht einheitlich"
"Error in data structure: entity codes are mixed","Fehler in der Datenstruktur: Entity Codes sind nicht einheitlich"
"Errors limit (%d) reached. Please fix errors and re-upload file","Errors limit (%d) reached. Please fix errors and re-upload file"
"Export","Export"
"Export File Format","Export File Format"
"Export Settings","Export Settings"
"Export has been done.","Export has been done."
"Exported %s rows.","Exported %s rows."
"File does not contain data.","File does not contain data."
"File does not contain data. Please upload another one","Datei enthält keine Daten. Bitte laden Sie eine andere Datei hoch"
"File format is unknown","Dateiformat ist unbekannt"
"File is partially valid, but import is not possible","Datei ist teilweise gültig, aber ein Import ist nicht möglich"
"File is totally invalid. Please fix errors and re-upload file","Datei ist komplett ungültig. Bitte beheben Sie die Fehler und laden die Datei noch einmal hoch"
"File is valid! To start import process press ""Import"" button","Datei ist gültig! Um den Import zu starten, klicken Sie auf ""Import"""
"File is valid, but import is not possible","Datei ist gültig, aber ein Import nicht möglich"
"File was not uploaded","File was not uploaded"
"Filter","Filter"
"From","From"
"Header column names already set","Spaltenüberschriften wurden bereits angegeben"
"Import","Import"
"Import Behavior","Import Behavior"
"Import Settings","Import Settings"
"Import has been done successfuly.","Import has been done successfuly."
"Import successfully done.","Import erfolgreich abgeschlossen."
"Import/Export","Import/Export"
"Input entity code is not equal to entity adapter code","Eingabe Entity Code entspricht nicht Entity Adapter Code"
"Invalid entity","Ungültige Entity"
"Invalid entity model","Invalid entity model"
"Invalid file format","Ungültiges Dateiformat"
"Invalid parameters","Ungültige Parameter"
"Invalid seek position","Ungültige Leseposition"
"Invalid value for '%s'","Ungültiger Wert für '%s'"
"Invalid value for '%s' column","Invalid value for '%s' column"
"No filter data provided","Keine Filterdaten geliefert"
"No source specified","Keine Quelle definiert"
"No valid data sent","Keine gültigen Daten gesendet"
"No writer specified","Kein Speicher-Adapter definiert"
"Node does not has model token tag","Knoten hat kein Model Token Tag"
"Not implemented yet","Noch nicht implementiert"
"Please fix errors and re-upload file","Bitte Fehler beheben und Datei erneut hochladen"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Bitte beheben Sie die aufgeführten Fehler oder klicken Sie auf ""Import"", um den Import ohne die fehlerhaften Datensätze durchzuführen"
"Products","Products"
"Replace Existing Complex Data","Replace Existing Complex Data"
"Select File to Import","Select File to Import"
"Skip","Skip"
"Source file moving failed","Quelldatei konnte nicht verschoben werden"
"Source file path must be a string","Quelldatei-Pfad muss eine Zeichenfolge sein"
"Source is not set","Quelle noch nicht gesetzt"
"Status","Status"
"There are no product types available for export","Für den Export stehen keine Artikelarten zur Verfügung"
"There is no data for export","There is no data for export"
"To","To"
"Total size of uploadable files must not exceed %s","Die Gesamtgröße der hochzuladenden Datei darf %s nicht überschreiten"
"Unknown attribute filter type","Unknown attribute filter type"
"Uploaded file has no extension","Hochgeladene Datei hat keine Dateierweiterung"
"Validation finished successfully","Validation finished successfully"
"in rows","in rows"
"in rows:","in rows:"
