"Actions","Aktionen"
"Add Answer","Neue Antwort"
"Add New Answer","Neue Antwort"
"Add New Poll","Neue Umfrage"
"Answer Title","Antworttitel"
"Answer Title:","Antworttitel:"
"Answer was successfully saved","Answer was successfully saved"
"Answer with the same title in this poll","Gleichlautende Antwort in dieser Umfrage"
"Are you sure you want to delete it?","Wollen Sie das wirklich löschen?"
"Assigned Answers","Zugewiesene Antworten"
"Closed","Geschlossen"
"Community Poll","Kundenumfrage"
"Date Closed","Geschlossen am"
"Date Posted","Veröffentlicht am"
"Delete","Löschen"
"Delete Answer","Antwort löschen"
"Delete Poll","Umfrage löschen"
"Disallow voting in a poll multiple times from same IP-address","Disallow voting in a poll multiple times from same IP-address"
"Edit Answer '%s'","Bearbeite Antwort '%s'"
"Edit Poll '%s'","Bearbeite Umfrage '%s'"
"Edit Poll Answer","Bearbeite Umfrageantwort"
"ID","ID"
"Invalid Answer","Invalid Answer"
"New Poll","Neue Umfrage"
"Number of Responses","Stimmenanzahl"
"Open","Offen"
"Poll Answers","Umfrageantworten"
"Poll Information","Umfrageinformation"
"Poll Manager","Umfrageverwaltung"
"Poll Question","Umfragethema"
"Poll information","Umfrageinformation"
"Poll not exists","Poll not exists"
"Poll with the same question","Umfrage mit der gleichen Frage"
"Save Answer","Antwort speichern"
"Save Poll","Umfrage speichern"
"Status","Status"
"Unable to find answer to delete.","Unable to find answer to delete."
"Visible In","Sichtbar in"
"Vote","Abstimmen"
"Votes Count","Stimmenanzahl"
"Votes Count:","Stimmenanzahl:"
