"All Websites","Alle Websites"
"Apply Discounts To FPT","Prozentuale Rabatte auf Verbrauchssteuern"
"Display Prices In Emails","Preise in E-Mails anzeigen"
"Display Prices In Product Lists","Preise in Kategorien anzeigen"
"Display Prices In Sales Modules","Preise in Verkaufsmodulen anzeigen"
"Display Prices On Product View Page","Preise auf Artikeldetailseiten anzeigen"
"Enable FPT","Verbrauchssteuern aktivieren"
"Excluding FPT","zzgl. Verbrauchssteuern"
"Excluding FPT, FPT description, final price","zzgl. Verbrauchssteuern, Verbrauchssteuern Beschreibung, Endpreis"
"FPT Tax Configuration","FPT Tax Configuration"
"Fixed Product Tax","Verbrauchssteuern"
"Fixed Product Taxes","Verbrauchssteuern"
"Include FPT In Subtotal","Verbrauchssteuern in Zwischensumme hineinrechnen"
"Including FPT and FPT description","inkl. Verbrauchssteuern und Verbrauchssteuern Beschreibung"
"Including FPT and FPT description [incl. FPT VAT]","inkl. Verbrauchssteuern und Verbrauchssteuern Beschreibung (inkl. Verbrauchssteuern-Umsatzsteuer)"
"Including FPT only","nur Inkl. Verbrauchssteuern"
"Loaded and Displayed with Tax","Loaded and Displayed with Tax"
"Not Taxed","Not Taxed"
"Taxed","Taxed"
"Total","Gesamt"
"Total Incl. Tax","Gesamt inkl. Steuern"
"Total excl. tax","Total excl. tax"
"Total incl. tax","Gesamt inkl. Steuern"
