"%d Review(s)","%d Opinión(es)"
"%s Review(s)","%s Opinión(es)"
"(Posted on %s)","(Publicado en %s)"
"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Añadir nueva opinión"
"Add Your Review","Añadir tu opinión"
"Administrator","Administrador"
"All Reviews","Todas las opiniones"
"All Reviews of Customer `%s`","Todas las opiniones de clientes `%s`"
"All Reviews of Product `%s`","Todas las opiniones del producto `%s`"
"Allow Guests to Write Reviews","Permitir a los invitados escribir opiniones"
"Approved","Aprobado"
"Are you sure you want to do this?","¿Estás seguro de querer hacer esto?"
"Are you sure?","¿Está seguro?"
"Average Customer Rating","Valoración media de clientes"
"Average Customer Rating:","Valoración media de clientes:"
"Back","Volver"
"Back to Main Product Info","Volver a información principal del producto"
"Back to My Reviews","Volver a mis opiniones"
"Back to Product Reviews","Volver a opiniones de producto"
"Be the first to review this product","Sea el primero en dejar una opinión sobre este producto"
"Catalog Product Review View","Vista de opiniones de producto del catálogo"
"Catalog Product Reviews List","Lista de opiniones de producto del catálogo"
"Created On","Creado en"
"Customer","Cliente"
"Customer My Account Product Reviews","Opiniones de producto de mi cuenta de cliente"
"Customer My Account Review Details","Detalles de opinión de mi cuenta de cliente"
"Customer Reviews","Opinión de los usuarios"
"Customers Reviews","Opinión de los usuarios"
"Delete","Eliminar"
"Delete Review","Borrar opinion"
"Detailed Rating","Valoración detallada"
"Edit Review '%s'","Editar opinión '%s'"
"Guest","Invitado"
"How do you rate this product?","¿Cómo valoras este producto?"
"ID","Identificación"
"Manage Ratings","Administrar puntuaciones"
"My Product Reviews","Mis opiniones sobre productos"
"My Recent Reviews","Mis opiniones recientes"
"Name","Nombre"
"Name in Store","Nombre en la tienda"
"New Review","Nueva opinión"
"Nickname","Apodo"
"Nickname can\'t be empty","El apodo no puede estar vacío"
"Not Approved","No aprobado"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Sólo usuarios registrados pueden escribir sus opiniones. <a href=""%s"">Conéctese</a> o <a href=""%s"">regístrese</a>"
"Pending","Pendiente"
"Pending Reviews","Opiniones pendientes"
"Pending Reviews of Customer `%s`","opiniones pendientes del cliente `%s`"
"Please select a product","Por favor, selecciona un producto"
"Please select one of each of the ratings above","Por favor, selecciona una de cada una de las puntuaciones que aparecen encima"
"Posted By","Publicado por"
"Price","Precio"
"Product","Producto"
"Product Name","Nombre de producto"
"Product Rating","Valoración de producto"
"Product Rating:","Valoración de producto:"
"Product Review (submitted on %s):","Opinión de producto (enviada en %s):"
"Product Reviews","Opiniones de producto"
"Product SKU","Unidad de mantenimiento de existencias de producto"
"Products Reviews","Opiniones de productos"
"Qty","Cantidad"
"Rating:","Valoración:"
"Review","Opinión"
"Review (submitted on %s):","Opinión (enviada en %s):"
"Review Details","Detalles de la opinión"
"Review Form Fields Before","Revisar campos del formulario antes"
"Review by <span>%s</span>","Opinión por <span>%s</span>"
"Review can\'t be empty","La opinión no puede estar vacía"
"Review summary can\'t be empty","El resumen de la opinión no puede estar vacío"
"Reviews and Ratings","Opiniones y valoraciones"
"SKU","Número de referencia"
"Save Review","Guardar opinión"
"Status","Estado"
"Submit Review","Enviar opinión"
"Summary Rating","Resumen de valoraciones"
"Summary of Review","Resumen de opiniones"
"Summary of Your Review","Resumen de tu opinión"
"Title","Título"
"Type","Tipo"
"Unable to post the review.","No ha sido posible publicar la opinión."
"Update Status","Actualizar estado"
"View All Reviews","Ver todas las opiniones"
"View Details","Ver detalles"
"Visible In","Visible en"
"Websites","Páginas web"
"Write Your Own Review","Escribir tu propia opinión"
"You have submitted no reviews.","No has enviado ninguna opinión."
"You're reviewing:","Estás opinando:"
"Your Rating:","Tu valoración:"
"Your Review (submitted on %s):","Tu opinión (enviada en %s):"
"Your review has been accepted for moderation.","Tu opinión se ha aceptado para ser moderada."
