"# of Uses","# de usos"
"%s tag(s) have been accepted for moderation.","%s etiqueta(s) se ha(n) aceptado para ser moderada(s)."
"<strong>Tag Name:</strong> %s","<strong>Nombre de la etiqueta:</strong> %s"
"Action","Acción"
"Add","Añadir"
"Add New Tag","Añadir nueva etiqueta"
"Add Tags","Añadir etiquetas"
"Add Your Tags:","Añadir tus etiquetas:"
"Add tag(s) to product","Añadir etiqueta(s) a producto"
"Add to Cart","Añadir a la cesta"
"Add to Wishlist","Añadir a deseados."
"All Tags","Todas la etiquetas"
"Approved","Aprobado"
"Are you sure you want to delete this tag?","¿Estás seguro de querer borrar esta etiqueta?"
"Are you sure you want to do this?","¿Estás seguro de querer hacer esto?"
"Are you sure?","¿Está seguro?"
"Back","Volver"
"Back to Tags List","Volver a la lista de etiquetas"
"Base Popularity","Popularidad base"
"Block Information","Información de bloque"
"CSV","CSV"
"Catalog Product View","Vista del catálogo de productos"
"Change status","Cambiar estado"
"Click on a tag to view your corresponding products.","Pincha en una etiqueta para ver tus productos correspondientes."
"Country","País"
"Customer My Account My Tags List","Lista de mis etiquetas de mi cuenta de cliente"
"Customer My Account Tag View","Vista de etiqueta de mi cuenta de cliente"
"Customer Since","Cliente desde"
"Customers","Clientes"
"Customers Submitted this Tag","Clientes que han enviado esta etiqueta"
"Customers Tagged '%s'","Clientes que han etiquetado '%s'"
"Delete","Eliminar"
"Delete Tag","Borrar etiqueta"
"Disabled","Deshabilitado"
"Edit Tag '%s'","Editar etiqueta '%s'"
"Email","Correo electrónico"
"First Name","Nombre"
"General Information","Información general"
"Grid","Parrilla"
"ID","ID"
"Info","Información"
"Last Name","Apellido"
"List","Lista"
"Manage Tags","Gestionar etiquetas"
"My Recent Tags","Mis etiquetas recientes"
"My Tags","Mis etiquetas"
"Name","Nombre"
"New Tag","Nueva Etiqueta"
"No matches found.","No se han encontrado coincidencias."
"Other people marked this product with these tags:","Otras personas han destacado este producto con estas etiquetas:"
"Pending","Pendiente"
"Pending Tags","Etiquetas pendientes"
"Popular","Popular"
"Popular Tags","Etiquetas populares"
"Price","Precio"
"Product Name","Nombre del producto"
"Product SKU","Unidad de mantenimiento de existencias de producto (SKU)"
"Product Tag API","API de las etiquetas del producto"
"Product Tags","Etiquetas del producto"
"Products","Productos"
"Products Tagged by Administrators","Productos etiquetados por los administradores"
"Products Tagged by Customers","Productos etiquetados por los clientes"
"Products Tagged with '%s'","Productos etiquetados con '%s'"
"Products tagged with '%s'","Productos etiquetados con '%s'"
"Rebuild Tag aggregation data","Reconstruir datos de agregación de las etiquetas"
"Remove","Borrar"
"Remove product tag","Quitar etiqueta de producto"
"Retrieve list of tags by product","Recuperar lista de etiquetas por producto"
"Retrieve product tag info","Recuperar información de la etiqueta de producto"
"SKU","SKU"
"Save Tag","Guardar etiqueta"
"Save and Continue Edit","Guardar y continuar editando"
"Status","Estado"
"Store View","Vista de tienda"
"Tag","Etiqueta"
"Tag ""%s"" has already been added to the product.","Ya se ha añadido la etiqueta ""%s"" al producto."
"Tag ""%s"" has been added to the product.","Se ha añadido la etiqueta ""%s"" al producto."
"Tag ""%s"" has been rejected by administrator.","La etiqueta ""%s"" ha sido rechazada por el administrador."
"Tag Aggregation Data","Datos de agregación de las etiquetas"
"Tag Name","Nombre de la etiqueta"
"Tagged Products List","Lista de productos etiquetados"
"Tags","Etiquetas"
"Tags List (All Available)","Lista de etiquetas (todas las disponibles)"
"Tags List Before","Lista de etiquetas antes de"
"Tags:","Etiquetas:"
"Telephone","Teléfono"
"The tag has been deleted.","Se ha borrado la etiqueta."
"There are no tags available.","No hay etiquetas disponibles."
"Unable to find any products tagged with '%s' in the current store","No ha sido posible encontrar ningún producto etiquetado con '%s' en la tienda actual"
"Unable to remove tag. Please, try again later.","No ha sido posible eliminar la etiqueta. Por favor, inténtalo más tarde."
"Unable to save tag(s).","No ha sido posible guardar la(s) etiqueta(s)."
"Update","Actualizar"
"Update product tag","Actualizar etiqueta de producto"
"Use spaces to separate tags. Use single quotes (') for phrases.","Utiliza espacios para separar las etiquetas. Usa comillas simples (') para expresiones."
"View All Tags","Ver Todas las etiquetas"
"View Customers","Ver clientes"
"View Products","Ver productos"
"XML","XML"
"You have not tagged any products yet.","Todavía no has etiquetado ningún producto."
"ZIP/Post Code","Código postal"
"[STORE VIEW]","[VISTA DE TIENDA]"
