"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' semble être un nom d'hôte de DNS, mais la partie TLD ne peut pas être extraite"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' semble être un nom d'hôte de DNS, mais la partie TLD ne fait pas partie de la liste des TLD connus."
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' semble être un nom d'hôte de DNS, mais il est impossibile de faire correspondre le schéma de nom d'hôte au TLD '%tld%'."
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' semble être un nom d'hôte de DNS, mais elle contient un tiret à une position incorrecte."
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' semble être un nom d'hôte de DNS, mais la notation punycode donnée ne peut pas être décodée."
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' semble être un nom d'hôte de DNS, mais les noms de réseau local ne sont pas autorisés."
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' semble être une adresse IP, mais celles-ci ne sont pas autorisées."
"'%value%' does not appear to be a valid local network name","'%value%' n'est pas un nom de réseau local valide."
"* Required Fields","* Champs obligatoires"
"ALL GROUPS","TOUS LES GROUPES"
"Account Dashboard","Tableau de bord du compte"
"Account Information","Informations du compte"
"Account Sharing Options","Options de partage de compte"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","Vous devez confirmer la création de compte. Pour ce faire, un email vous a été envoyé contenant le lien de confirmation. Si vous ne l'avez pas reçu, vérifiez votre filtre anti spam ou <a href=""%s"">cliquez ici</a> pour envoyer l'email à nouveau."
"Action","Action"
"Add New Address","Ajouter une nouvelle adresse"
"Add New Customer","Ajouter un nouveau client"
"Add New Customer Group","Ajouter un nouveau groupe de clients"
"Added From","Ajouté depuis"
"Additional Address Entries","Saisies d'adresses supplémentaires"
"Address","Adresse"
"Address Book","Carnet d'adresses"
"Address Books","Carnets d'adresses"
"Address Information","Informations d'adresse"
"Address Templates","Gabarit d'adresse"
"Addresses","Adresses"
"Admin","Administration"
"All","Tous"
"All Store Views","Toutes les vues magasin"
"All countries","Tous les pays"
"Always optional.","Toujours optionnel."
"Amount","Montant"
"An error occurred while deleting the address.","Erreur lors de la suppression de l'adresse."
"An error occurred while retrieving the option value: %s.","Erreur lors de la récupération de la valeur d'option : %s."
"An error occurred while saving the collection, aborting. Error: %s","Erreur lors de la sauvegarde de la collection. Erreur : %s."
"An invalid option ID is specified for %s (%s), skipping the record.","Identifiant d'option invalide pour %s (%s), ligne ignorée."
"Approved","Approuvé"
"Are you sure that you want to remove this item?","Êtes-vous sûr(e) de vouloir retirer cet article ?"
"Are you sure you want to cancel adding of this address?","Êtes-vous sûr(e) de vouloir annuler l'ajout de cette adresse ?"
"Are you sure you want to delete this address?","Êtes-vous sûr(e) de vouloir effacer cette adresse ?"
"Are you sure?","Êtes-vous sûr(e) ?"
"Array of Entity collections is expected.","Tableau de collections d'entités attendu."
"Assign a Customer Group","Assigner un groupe clients"
"Average Sale","Ventes moyennes"
"Back","Retour"
"Back - link to the previously viewed page","Retour - Lien vers la dernière page visitée"
"Back to Login","Retour à l'identification"
"Bad request.","Non trouvé."
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Selon le numéro de TVA, le client appartiendra au groupe clients %s."
"Bill to Name","Nom (Fact.)"
"Bought From","Acheté sur"
