"Actions","Actions"
"Add Answer","Ajouter une réponse"
"Add New Answer","Ajouter une nouvelle réponse"
"Add New Poll","Ajouter nouveau sondage"
"Answer Title","Titre de réponse"
"Answer Title:","Titre de la réponse :"
"Answer with the same title in this poll","Réponse avec le même titre dans ce sondage"
"Are you sure you want to delete it?","Êtes-vous sûr(e) de vouloir le supprimer ?"
"Assigned Answers","Réponses assignées"
"Closed","Fermée"
"Community Poll","Sondage"
"Date Closed","Date de fermeture"
"Date Posted","Posté le"
"Delete","Supprimer"
"Delete Answer","Supprimer la réponse"
"Delete Poll","Supprimer le sondage"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Disallow Voting in a Poll Multiple Times from Same IP-address"
"Edit Answer '%s'","Éditer la réponse '%s'"
"Edit Poll '%s'","Éditer le sondage '%s'"
"Edit Poll Answer","Modifier la réponse du sondage"
"ID","ID"
"Invalid Answer.","Invalid Answer."
"New Poll","Nouveau sondage"
"Number of Responses","Nombre de réponses"
"Open","Ouvert"
"Poll Answers","Réponses du sondage"
"Poll Information","Informations sondage"
"Poll Manager","Gestion des sondages"
"Poll Question","Question"
"Poll information","Informations sondage"
"Poll with the same question","Sondage avec la même question"
"Polls","Polls"
"Save Answer","Sauvegarder la réponse"
"Save Poll","Sauvegarder le sondage"
"Status","Statut"
"The answer has been saved.","The answer has been saved."
"The poll does not exist.","The poll does not exist."
"Unable to find an answer to delete.","Unable to find an answer to delete."
"Visible In","Visible dans"
"Vote","Voter"
"Votes Count","Compte votes"
"Votes Count:","Nombre de votes :"
