"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d règles de prix catalogue basées sur l'attribut ""%s"" ont été désactivées."
"%s Coupon(s) have been generated","%s bons de réduction ont été générés"
"Actions","Actions"
"Active","Actif"
"Add New Rule","Ajouter une nouvelle règle"
"Alphabetical","Alphabétique"
"Alphanumeric","Alphanumérique"
"An error occurred while generating coupons. Please review the log and try again.","Erreur lors de la génération des bons de réduction. Vérifiez les logs et réessayez."
"Apply","Appliquer"
"Apply To","S'applique à"
"Apply the rule only if the following conditions are met (leave blank for all products)","Appliquer la règle seulement si les conditions suivantes sont remplies (laisser vide pour appliquer à tous les produits)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Appliquer la règle seulement aux articles du panier qui remplissent les conditions suivantes (laisser vide pour appliquer à tous les produits du panier)"
"Apply the rule to cart items matching the following conditions","Appliquer la règle aux articles du panier qui remplissent les conditions suivantes"
"Apply to Shipping Amount","Appliquer au montant de la livraison"
"Are you sure you want to delete the selected coupon(s)?","Êtes-vous sûr(e) de vouloir effacer les bons de réduction sélectionnés ?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Codes de bons de réduction spécifiques générés automatiquement"
"Buy X get Y free (discount amount is Y)","X achetés, Y gratuits (la valeur de la remise est Y)"
"By Fixed value","remise d'une valeur de"
"By Percentage","remise en %%"
"Can\'t acquire coupon.","Impossible d'obtenir le bon de réduction."
"Cart Attribute","Attribut de panier"
"Catalog","Catalogue"
"Code Format","Format du code"
"Code Length","Longueur du code"
"Code Prefix","Préfixe de code"
"Code Suffix","Suffixe de code"
"Conditions","Conditions"
"Conditions combination","Combinaison de conditions"
"Coupon","Bon de réduction"
"Coupon Code","Code du bon de réduction"
"Coupon Qty","Qté de bons de réduction"
"Coupon with the same code","Coupon de réduction avec le même code"
"Coupons Information","Informations sur les bons de réduction"
"Created On","Créé le"
"Customer Groups","Groupes clients"
"Dash Every X Characters","Ajouter un trait tous les X caractères"
"Date Expire","Date d'expiration"
"Date Start","Date de démarrage"
"Default Label","Libellé par défaut"
"Default Rule Label for All Store Views","Libellé de règle par défaut pour toutes les vues magasin"
"Description","Description"
"Discount Amount","Remise"
"Discount Qty Step (Buy X)","Quantité pour obtenir la remise (Achetez-en X)"
"Edit Rule","Éditer la règle"
"Edit Rule '%s'","Éditer la règle '%s'"
"Excluding prefix, suffix and separators.","En excluant le préfixe, le suffixe et les séparateurs."
"FOUND","PRÉSENT DANS LE"
"Fixed amount discount","Remise d'une valeur fixe"
"Fixed amount discount for whole cart","Remise d'un montant fixe pour l'ensemble du panier"
"For matching items only","Pour les objets concordants seulement"
"For shipment with matching items","Pour les expéditions avec articles concordants"
"Free Shipping","Livraison gratuite"
"From Date","Date de début"
"General Information","Informations générales"
"Generate","Générer"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","Si %s %s %s pour une sous-sélection d'articles dans le panier répondant à %s ces conditions :"
"If an item is %s in the cart with %s of these conditions true:","Si un article est %s panier et qu'il répond à %s ces conditions :"
"If empty no separation.","Si vide, aucune séparation."
"If you select and save the rule you will be able to generate multiple coupon codes.","Si vous sélectionnez et enregistrez la règle, vous pourrez générer des codes de bons de réductions."
"Inactive","Inactif"
"Item totals are not set for rule.","Les totaux d'articles ne sont pas définis pour la règle."
"Labels","Libellés"
"Manage Coupon Codes","Gérer les codes de bons de réduction"
"Maximum Qty Discount is Applied To","Qté maxi à laquelle la remise est appliquée"
"NOT FOUND","ABSENT DU"
"NOT LOGGED IN","NON CONNECTÉ"
"New Rule","Nouvelle règle"
"No","Non"
"No Coupon","Pas de coupon de réduction"
"Not valid data provided","Données fournies non valides"
"Number of Uses","Nombre d'utilisations"
"Numeric","Numérique"
"Payment Method","Mode de paiement"
"Percent of product price discount","Remise en pourcentage du prix du produit"
"Period","Période"
"Price in cart","Prix dans le panier"
"Priority","Priorité"
"Product attribute combination","Combinaison d'attributs de produit"
"Products subselection","Sous-sélection de produits"
"Promotions","Promotions"
"Public In RSS Feed","Public dans le flux RSS"
"Quantity in cart","Quantité dans le panier"
"Row total in cart","Total de la ligne du panier"
"Rule Information","Informations règle"
"Rule Name","Nom de la règle"
"Rule is not defined","La règle n'est pas définie"
"Sales Discount Amount","Montant de la remise"
"Sales Subtotal Amount","Montant du sous-total"
"Sales Total Amount","Montant du total"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Shipping Country","Pays de livraison"
"Shipping Method","Mode de livraison"
"Shipping Postcode","Code postal de livraison"
"Shipping Region","Région de livraison"
"Shipping State/Province","État/région de livraison"
"Shopping Cart Price Rule","Règle de prix panier"
"Shopping Cart Price Rules","Règles de prix panier"
