" was not delivered nor scanned"," n'a été ni livré ni scanné"
"""Per Order"" allows single handling fee for entire order. ""Per Package"" allows individual  handling fee for each package.","""Par commande"" autorise un seul frais de port par commande. ""Par paquet"" autorise un frais port pour chaque paquet."
"1 Day Freight","Frêt 1 jour"
"2 Day","2 jours"
"2 Day AM","J+2 matin"
"2 Day Freight","Frêt 2 jours"
"2Day","2Day"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","Frêt 3 jours"
"3 Day Select","3 Day Select"
"Access ID","ID d'accès"
"Access License Number","Numéro de permis d'accès"
"Account ID","ID de compte"
"Account Number","Numéro de compte"
"Additional Protection Configuration Value","Valeur de configuration de protection supplémentaire"
"Additional Protection Enabled","Protection supplémentaire activée"
"Additional Protection Min Subtotal","Sous-total mini de protection supplémentaire"
"Additional Protection Value","Valeur de protection supplémentaire"
"Additional Protection Value Rounding Method","Méthode d'arrondi de valeur de protection supplémentaire"
"Adult","Adulte"
"Adult Signature Required","La signature d'un adulte est requise"
"Allowed Methods","Modes de livraison autorisés"
"Allows breaking total order weight into smaller pieces if it exeeds %s %s to ensure accurate calculation of shipping charges.","Autorise de diviser le poids d'une commande complète en plusieurs parties s'il excède %s %s pour s'assurer que le calcul des frais de port est exact."
"Allows breaking total order weight into smaller pieces if it exeeds 70 kg to ensure accurate calculation of shipping charges.","Autorise de diviser le poids d'une commande complète en plusieurs parties s'il excède 70 kg pour s'assurer que le calcul des frais de port est exact."
"Bound Printed Matter","Bound Printed Matter"
"Break bulk economy","Paquet divise éco"
"Break bulk express","Paquet divisé express"
"Business Service Center","Centre de service d'affaires"
"Calculate Handling Fee","Calculer les frais de dossier"
"Canada Standard","Canada standard"
"Cannot identify measure unit for %s","Impossible d'identifier l'unité de mesure pour %s"
"Cannot identify weight unit for %s","Impossible d'identifier l'unité de poids pour %s"
"Cannot retrieve shipping rates","Impossible de récupérer les taux de livraison"
"Centimeters","Centimètres"
"Commercial","Commercial"
"Configuration","Configuration"
"Container","Container"
"Content Type","Type de contenu"
"Customer Packaging","Paquet fait par le client"
"Customer Supplied Package","Emballage fourni par le client"
"Customer services","Services client"
"DHL","DHL"
"DHL (Deprecated)","DHL (déprécié)"
"DHL service is not available at %s date","DHL service is not available at %s date"
"Debug","Déboguage"
"Default Package Height","Hauteur par défaut du paquet"
"Default Package Length","Longueur par défaut du paquet"
"Default Package Width","Largeur par défaut du paquet"
"Delivered","Livré"
"Delivery Confirmation","Confirmation de livraison"
"Depth","Profondeur"
"Destination Type","Type de destination"
"Destination facility code is empty","Le code de facilité de destination est vide"
"Development","Développement"
"Direct","Directe"
"Displayed Error Message","Message d'erreur affiché"
"Divide Order Weight","Diviser le poids de la commande"
"Documents","Documents"
"Domestic Shipment Days","Domestic Shipment Days"
"Domestic economy select","Sélection éco domestique"
"Domestic express","Domestique express"
"Drop Box","Boîte de dépôt"
"Dropoff","Déposer"
"Easy shop","Achat facile"
"Economy select","Sélection éco"
"Empty response","Réponse vide"
"Enable Negotiated Rates","Activer les taux négociés"
"Enabled for Checkout","Activé pour commander"
"Enables/Disables SSL verification of Magento server by UPS.","Active/désactive la vérification SSL du server Magento par UPS."
"Error #%s : %s","Erreur n°%s : %s"
"Error #%s : %s (%s)","Erreur n°%s : %s (%s)"
"Error #%s: %s","Erreur n°%s : %s"
"Europack","Europack"
"Europe First Priority","Prioritaire Europe"
"Exchange rate %s (Base Currency) -> %s not found. DHL method %s skipped","Taux de change %s (devise de base) -> %s non trouvé. Mode DHL %s ignoré"
"Express","Express"
"Express 10:30","Express 10h30"
"Express 10:30 AM","Express 10:30 AM"
"Express 12:00","Express 12h00"
"Express 9:00","Express 9h00"
"Express Mail","Express Mail"
"Express Saturday","Samedi Express"
"Express Saver","Express économe"
"Express easy","Express facile"
"Express envelope","Enveloppe express"
"Express worldwide","Express monde"
"Failed to parse xml document: %s","Impossible de parser le document xml : %s"
"FedEx","FedEx"
"FedEx 10kg Box","Boîte 10kg FedEx"
"FedEx 25kg Box","Boîte 25kg FedEx"
"FedEx Box","Boîte FedEx"
"FedEx Envelope","Enveloppe FedEx"
"FedEx Pak","Pack FedEx"
"FedEx Tube","Tube FedEx"
"First Overnight","Lendemain"
"First-Class","First-Class"
"First-Class Mail International Large Envelope","First-Class Mail International Large Envelope"
"First-Class Mail International Letter","First-Class Mail International Letter"
"First-Class Mail International Postcard","First-Class Mail International Postcard"
"First-Class Mail Large Envelope","First-Class Mail Large Envelope"
"First-Class Mail Large Postcards","First-Class Mail Large Postcards"
"First-Class Mail Letter","First-Class Mail Letter"
"First-Class Mail Parcel","First-Class Mail Parcel"
"First-Class Mail Postcards","First-Class Mail Postcards"
"First-Class Package International Service","First-Class Package International Service"
"First-Class Package Service","First-Class Package Service"
"First-Class Package Service Hold For Pickup","First-Class Package Service Hold For Pickup"
"Flat","Plat"
"Flat-Rate Box","Boîte taux fixe"
"Flat-Rate Envelope","Enveloppe taux fixe"
"Free Method","Mode gratuit"
"Free Shipping with Minimum Order Amount","Livraison gratuite avec un montant de commande mini"
"Freight","Fret"
"Freight worldwide","Frêt monde"
"Gateway URL","URL de passerelle"
"Gateway XML URL","URL XML de passerelle"
"Gift","Cadeau"
"Girth","Circonférence"
"Global Express Guaranteed (GXG)","Global Express Guaranteed (GXG)"
"Global Express Guaranteed Document","Global Express Guaranteed Document"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Express Guaranteed Non-Document Non-Rectangular"
"Global Express Guaranteed Non-Document Rectangular","Global Express Guaranteed Non-Document Rectangular"
"Globalmail business","Globalmail business"
"Ground","Sol"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","Frais de dossier appliqués"
