"""%s"" is not available in the requested quantity. %s of the items will be backordered.","""%s"" is not available in the requested quantity. %s of the items will be backordered."
"%s is available for purchase in increments of %s only.","%s is available for purchase in increments of %s only."
"%s is not a correct comparsion method.","%s is not a correct comparsion method."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart."
"Add Minimum Qty","Add Minimum Qty"
"Allow Qty Below 0","אפשר כמות קטנה מ-0"
"Allow Qty Below 0 and Notify Customer","אפשר כמות קטנה מ-0 ועדכן לקוח"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Backorders","הזמנות בחוסר מלאי"
"By Fixed value","לפי ערך קבוע"
"By Percentage","לפי אחוזים"
"Cannot specify product identifier for the order item.","Cannot specify product identifier for the order item."
"Catalog Inventory","מצאי קטלוג"
"Decrease Stock When Order is Placed","הקטן מלאי עם קבלת הזמנה"
"Display Out of Stock Products","Display Out of Stock Products"
"Display products availability in stock in the frontend","Display products availability in stock in the frontend"
"Enable Qty Increments","Enable Qty Increments"
"In Stock","במלאי"
"Index Product Stock Status","Index Product Stock Status"
"Inventory","מצאי"
"Inventory API","מצאי API"
"Inventory Section","מדור מצאי"
"Manage Stock","נהל מלאי"
"Maximum Qty Allowed in Shopping Cart","כמות מקסימלית מורשית בסל הקניות"
"Minimum Qty","Minimum Qty"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המורשית בסל הקניות"
"Multi update product stock data","Multi update product stock data"
"No Backorders","אין הזמנות בחוסר מלאי"
"Not all products are available in the requested quantity","Not all products are available in the requested quantity"
"Notify for Quantity Below","התרע לכמות מתחת"
"Only X left Threshold","Only X left Threshold"
"Out of Stock","לא נמצא במלאי"
"Product Stock Options","אפשרויות מלאי מוצרים"
"Products will still be shown by direct product URLs.","Products will still be shown by direct product URLs."
"Qty Increments","Qty Increments"
"Qty for Item's Status to Become Out of Stock","Qty for Item's Status to Become Out of Stock"
"Retrieve stock data","שלוף מידע על מלאי"
"Retrieve stock data by product ids","שלוף מידע על מלאי לפי ID של מוצרים"
"Rule price","כלל מחיר"
"Set Items' Status to be In Stock When Order is Cancelled","קבע סטאטוס של פריט להיות במלאי כאשר הזמנה מבוטלת"
"Some of the products are currently out of stock.","Some of the products are currently out of stock."
"Some of the products cannot be ordered in requested quantity.","Some of the products cannot be ordered in requested quantity."
"Some of the products cannot be ordered in the requested quantity.","Some of the products cannot be ordered in the requested quantity."
"Stock Options","אפשרויות מלאי"
"Stock Status","Stock Status"
"The maximum quantity allowed for purchase is %s.","כמות מירבית ניתנת רכישה היא %s."
"The minimum quantity allowed for purchase is %s.","כמות מינימלית ניתנת רכישה היא %s."
"The requested quantity for ""%s"" is not available.","הכמות המבוקשת של ""%s"" אינה זמינה."
"The stock item for Product in option is not valid.","The stock item for Product in option is not valid."
"The stock item for Product is not valid.","The stock item for Product is not valid."
"This product is available for purchase in increments of %s only.","This product is available for purchase in increments of %s only."
"This product is currently out of stock.","מוצר זה כרגע לא נמצא במלאי."
"This product is not available in the requested quantity. %s of the items will be backordered.","מוצר זה לא זמין בכמות המבוקשת. %s מהפריטים יוזמנו בחוסר מלאי."
"To Fixed Value","To Fixed Value"
"To Percentage","To Percentage"
"Undefined product type.","Undefined product type."
"Update","עדכן"
"Update product stock data","עדכן מידע על מלאי מוצרים"
"Update the Product","עדכן מוצר"
