"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Catalog Price Rules based on ""%s"" attribute have been disabled."
"Actions","פעולות"
"Active","פעיל"
"Add New Rule","הוסף כלל חדש"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Apply","Apply"
"Apply Rules","הפעל כללים"
"Attribute Set","סט תכונות"
"By Fixed Amount","By Fixed Amount"
"By Percentage of the Original Price","By Percentage of the Original Price"
"Catalog","קטלוג"
"Catalog Price Rule","כלל תמחור לקטלוג"
"Catalog Price Rules","כללי תמחור לקטלוג"
"Category","קטגוריה"
"Conditions","תנאים"
"Conditions (leave blank for all products)","תנאים (השאר ריק עבור כל המוצרים)"
"Conditions Combination","שילוב תנאים"
"Customer Groups","קבוצות לקוחות"
"Date Expire","תאריך פג תוקף"
"Date From","מתאריך"
"Date Start","תאריך התחלה"
"Date To","עד תאריך"
"Description","תיאור"
"Discount Amount","Discount Amount"
"Edit Rule","ערוך כלל"
"Edit Rule '%s'","ערוך כלל '%s'"
"Enable Discount to Subproducts","Enable Discount to Subproducts"
"From Date","מתאריך"
"General Information","מידע כללי"
"ID","ID"
"Inactive","לא פעיל"
"New Rule","כלל חדש"
"No","לא"
"Options","אפשרויות"
"Priority","עדיפות"
"Product Attribute","תכונת מוצר"
"Promotions","מבצעים"
"Rule Information","מידע על חוק"
"Rule Name","שם כלל"
"Save and Apply","שמור והחל"
"Save and Continue Edit","שמור והמשך בעריכה"
"Status","מצב"
"Stop Further Rules Processing","Stop Further Rules Processing"
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"The rules have been applied.","The rules have been applied."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"This rule no longer exists.","This rule no longer exists."
"To Date","עד לתאריך"
"To Fixed Amount","To Fixed Value"
"To Percentage of the Original Price","To Percentage of the Original Price"
"Unable to apply rules.","Unable to apply rules."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update Prices Using the Following Information","Update Prices Using the Following Information"
"Update product's %s %s: %s","עדכן מוצר %s %s: %s"
"Website","אתר"
"Websites","אתרים"
"Wrong rule specified.","Wrong rule specified."
"Yes","כן"
