"%s and greater","%s ויותר"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Advanced Search","חיפוש מתקדם"
"Advanced Search Form","טופס חיפוש מתקדם"
"Advanced Search Result","תוצאת חיפוש מתקדם"
"All","הכל"
"Applies for ""Like"" search type only.","Applies for ""Like"" search type only."
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process."
"Autogenerated Site Map","Autogenerated Site Map"
"Catalog Advanced Search","חיפוש מתקדם בקטלוג"
"Catalog Search","חיפוש בקטלוג"
"Catalog Search Index","אינדקס חיפוש בקטלוג"
"Don't see what you're looking for?","לא רואה את מה שחיפשת?"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
"Go","חפש"
"Go to Home Page","חזור לדף ראשי"
"Grid","טבלה"
"Home","ראשי"
"List","רשימה"
"Maximum Query Length","אורך מירבי של שאילתת חיפוש"
"Maximum Query Words Count","מספר מירבי של מילים בשאילתת חיפוש"
"Maximum Search query length is %s. Your query was cut.","Maximum Search query length is %s. Your query was cut."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maximum words count is %1$s. In your search query was cut next part: %2$s."
"Minimal Query Length","אורך מנימלי של שאילתת חיפוש"
"Minimum Search query length is %s","אורך שאילתת חיפוש מינימלי הוא %s"
"Modify your search","שנה את החיפוש שלך"
"No","לא"
"No items were found using the following search criteria.","לא נמצאו תוצאות התואמות לקריטריוני החיפוש."
"Please specify at least one search term.","Please specify at least one search term."
"Popular Search Terms","מונחי חיפוש פופולריים"
"Quick Search Form","טופס חיפוש מהיר"
"Rebuild Catalog product fulltext search index","צור מחדש אינדקס חיפוש לטקטס מלא"
"Relevance","רלונטיות"
"Results","תוצאות"
"Search","חיפוש"
"Search Settings","הגדרות חיפוש"
"Search Terms","מילות חיפוש"
"Search Type","סוג החיפוש"
"Search entire store here...","חפש בכל החנות כאן..."
"Search results for '%s'","תוצאות חיפוש עבור '%s'"
"Search results for: '%s'","תוצאות חיפוש עבור: '%s'"
"Search:","חיפוש:"
"Specified date is invalid.","Specified date is invalid."
"Subscribe to Feed","הרשם להזנת RSS"
"There are no search terms available.","אין מונחי חיפוש זמינים"
"Yes","כן"
"Your search returns no results.","אין תוצאות לשאילתת חיפוש שלך"
"up to %s","עד ל %s"
