"%s was added to your shopping cart.","%s התווסף לעגלת הקניות."
"%s was updated in your shopping cart.","%s עודכן בעגלת הקניות ."
"* Required Fields","* שדות חובה"
"Add New Address","הוסף כתובת חדשה"
"Add New Condition","הוסף תנאי"
"Add coupon code for shopping cart","הוסף דוק קופון לעגלת קניות"
"Add gift messages to shopping cart","הוסף הודעת מתנה לעגלת קניות"
"Add product to shopping cart","הוסף מוצר לעגלת קניות"
"Add product(s) to shopping cart","הוסף מור(ים) לעגלת קניות"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוסף ל wishlist"
"Additional Product Info","מידע אודות הוספת מוצר"
"Address","כתובת"
"Address %s of %s","כתובת %s של %s"
"After Adding a Product Redirect to Shopping Cart","אחרי הוספת מוצר עבור לעגלת קניות"
"Allow Guest Checkout","אפשר יציאת אורח"
"Already registered?","האם הינך כבר רשום?"
"An error occurred in the process of payment","ארעה שגיאה בתהליך התשלום"
"An error occurred while deleting this condition.","ארעה שגיאה במהלך מחיקת התנאי"
"An error occurred while saving this condition.","ארעה שגיאה במהלך שמירת התנאי"
"Apply Coupon","ממש"
"Are you sure you would like to remove this item from the shopping cart?","האם אתה בטוח שברצונך להסיר מוצר זה מסל הקניות שלך?"
"Back","חזור"
"Back to Billing Information","חזור למידע חיוב"
"Back to Select Addresses","חזור לבחירת כתובת"
"Back to Shipping Information","חזור למידע אודות שילוח"
"Back to Shopping Cart","חזור לעגלת קניות"
"Based on your selection, you may be interested in the following items:","משתמשים אחרים שרכשו פריט זה, רכשו גם את הפריטים הבאים:"
"Billing Address","כתובת לחיוב"
"Billing Information","כתובת לחיוב"
"Billing Information - %s","פרטי תשלום - %s"
"Cancel Coupon","בטל קופון"
"Cannot add item to the shopping cart.","לא ניתן להוסיף מוצר לעגלת קניות"
"Cannot add the item to shopping cart","לא ניתן להוסיף מוצר לעגלת קניות"
"Cannot add the item to shopping cart.","לא ניתן להוסיף מוצר לעגלת קניות"
"Cannot apply the coupon code.","לא ניתן ליישם קוד קופון"
"Cannot configure product.","לא ניתן להתאים מוצר"
"Cannot open the overview page","לא ניתן לפתוח דף סקירה כללית"
"Cannot process the item.","לא ניתן לעבד את הפריט"
"Cannot remove the item.","לא ניתן להסיר את הפריט"
"Cannot update shopping cart.","לא ניתן לעדכן עגלת קניות"
"Cannot update the item.","לא ניתן לעדכן את הפריט"
"Card Verification Number Visual Reference","התייחסות לאישור מספר כרטיס ויזואלי "
"Cart Product API","ניהול מוצרי עגלת קניות"
"Cart Subtotal:","סיכום ביניים של העגלה"
"Change","שינוי"
"Change Billing Address","שנה כתובת לחיוב"
"Checkbox Text","טקסט תיבת צ'ק בוקס"
"Checkout","קופה"
"Checkout Conditions","תנאים למעבר לקופה"
"Checkout Method","פרטי משתמש"
"Checkout Options","אפשרויות צ'ק אאוט"
"Checkout Progress Wrapper","התקדמות צ'ק אאוט Wrapper"
"Checkout Section","איזור - מעבר לקופה"
"Checkout Terms and Conditions","תקנון למעבר לקופה"
"Checkout as Guest","שלם כאורח"
"Checkout as a Guest or Register","שלם כאורח או הירשם"
"Checkout with Multiple Addresses","בצע תשלום עבור מספר כתובות"
"City","עיר"
"Clear Shopping Cart","נקה סל קניות"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","לחץ <a href=""%s"" onclick=""this.target=\'_blank\'"">כאן כדי להדפיס</a>פרטי הזמנה."
"Click <a href=""%s"">here</a> to continue shopping.","לחץ <a href=""%s"">כאן</a> כדי להמשיך לקניות נוספות."
"Close","סגור"
"Company","חברה"
"Condition Name","תנאי - שם"
"Configurable Product Image","תמונת מוצר מותאם"
"Configure Cart Item","התאם פריט עגלת קניות"
"Confirm Password","אימות סיסמא"
"Content","תוכן"
"Content Height","גובה תוכן"
"Content Height (css)","גובה תוכן (css)"
"Continue","המשך"
"Continue Shopping","המשך בקניות"
"Continue to Billing Information","המשך להזין מידע לחיוב"
"Continue to Review Your Order","המשך לבחון את הזמנתך"
"Continue to Shipping Information","המשך למידע על משלוח"
"Country","ארץ"
"Coupon code ""%s"" is not valid.","קוד קופון ""%s"" אינו חוקי."
"Coupon code ""%s"" was applied.","קוד קופון ""%s"" הופעל."
"Coupon code was canceled.","קוד קופון בוטל"
"Create Billing Address","הגדר כתובת לחיוב"
"Create Shipping Address","צור כתובת למשלוח"
"Create an order from shopping cart","צור הזמנה מעגלת קניות"
"Create shopping cart","צור עגלת קניות"
"Customer Address is not valid.","כתובת הלקוח אינה תקינה"
"Customer Information","מידע לקוח"
"Customer's information","פרטי לקוח"
"Data saving problem","בעיית בשמירת נתונים"
"Default Billing","חיוב ברירת מחדל"
"Default Shipping","פרטי משלוח כברירת מחדל"
"Delete Condition","מחק תנאי"
"Details","פרטים"
"Disabled","כבוי/לא פעיל"
"Discount Codes","קודים להנחות"
"Display Cart Summary","הצג סיכום עגלת קניות"
"Display Shopping Cart Sidebar","הצג את עגלת הקניות בסרגל צידי"
"Display item quantities","הצג כמויות פריט"
"Display number of items in cart","הצג כמות פריטים בעגלה"
"Display number of items in wishlist","הצג מספר פריטים ברשימת משאלות"
"Easy access to your order history and status","גישה קלה להיסטוריית ההזמנות והסטאטוס"
"Edit","ערוך"
