"* Required Fields","*שדות חובה"
"Comment","הערה"
"Contact Form","Contact Form"
"Contact Information","Contact Information"
"Contact Us","Contact Us"
"Contact Us Form","Contact Us Form"
"Contacts","Contacts"
"Contacts Section","Contacts Section"
"Email","Email"
"Email Options","Email Options"
"Email Sender","דואר אלקטרוני השולח"
"Email Template","תבנית דואר אלקטרוני"
"Enable Contact Us","Enable Contact Us"
"Name","Name"
"Send Emails To","Send Emails To"
"Submit","שלח"
"Telephone","Telephone"
"Unable to submit your request. Please, try again later","Unable to submit your request. Please, try again later"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us."
