"'%value%' appears to be a DNS hostname but cannot extract TLD part","%value%' נראה כשם שרת  DNS אך לא מצליח לשלוף חלק TLD "
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","%value%' נראה כשם שרת DNS אבל לא תואם רשימות קיימות של  TLD "
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' נראה כשם שרת  DNS אבל לא תואם שמות שרת עבור  TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","%value%' נראה כשם שרת DNS אבל קיים מקף במקום לא תקין"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' נראה כשם שרת  DNS אבל קוד punycode לא ניתן לקידוד"
"'%value%' appears to be a local network name but local network names are not allowed","%value%' נראה כשם רשת מקומית אבל שמות רשתות מקומיות לא מאושרות לשימוש"
"'%value%' appears to be an IP address, but IP addresses are not allowed","%value%' נראה ככתובת  IP , אבל כתובות  IP לא מאושרות לשימוש"
"'%value%' does not appear to be a valid local network name","%value%' לא נראה כשם רשת מקומית תקין"
"* Required Fields","* שדות חובה"
"ALL GROUPS","כל הקבוצות"
"Account Dashboard","לוח ניהול"
"Account Information","מידע אודות חשבונך"
"Account Sharing Options","אופציות שיתוף חשבון"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","פרטי חשבון נדרשים, אנא בדקו את הדוא""ל לקבלת קישור אישור הרשמה. כדי לשלוח מייל אישור רישום מחדש <a href=""%s"">לחץ כאן</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","פרטי חשבון נדרשים, אנא בדקו את הדוא""ל לקבלת קישור אישור הרשמה. כדי לשלוח מייל אישור רישום מחדש <a href=""%s"">לחץ כאן</a>."
"Action","פעולה"
"Add New Address","הוסף כתובת חדשה"
"Add New Customer","לקוח חדש"
"Add New Customer Group","קבוצת לקוחות חדשה"
"Added From","נוסף מ"
"Additional Address Entries","שדות כתובת נוספים"
"Address","כתובת"
"Address Book","ספר כתובות"
"Address Books","ספר כתובות"
"Address Information","מידע אודות הכתובת"
"Address Templates","תבנית כתובת"
"Addresses","כתובות"
"Admin","ניהול"
"All","הכל"
"All Store Views","כל מבטי החנויות"
"All countries","כל הארצות"
"Always optional.","תמיד אופציונלי"
"Amount","כמות"
"An error occurred while deleting the address.","ארעה שגיאה במהלך מחיקת הכתובת"
"An error occurred while retrieving the option value: %s.","ארעה שגיאה במהלך אחזור ערף האפשרות: %s."
"An error occurred while saving the collection, aborting. Error: %s","ארעה שגיאה במהלך שמירת האוסף, מבטל. שגיאה: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","נבחרה אפשרות קוד ID לא תקינה עבור %s (%s), מדלג על הרשומה."
"Approved","מאושר"
"Are you sure that you want to remove this item?","אתה בטוח שברצונך להסיר פריט זה?"
"Are you sure you want to cancel adding of this address?","האם לבטל את הוספת הכתובת?"
"Are you sure you want to delete this address?","האם אתה רוצה למחוק כתובת זו?"
"Are you sure?","האם אתה בטוח?"
"Array of Entity collections is expected.","צפוי הצבת מערך של אוסף הגדרות בסיסיות."
"Assign a Customer Group","ייעד לקבוצת לקוחות"
"Average Sale","מכירה ממוצעת"
"Back","חזור"
"Back - link to the previously viewed page","לאחור- קישור לדף שניצפה אחרון"
"Back to Login","בחזרה ל'כניסה'"
"Bad request.","בקשה שגויה."
"Based on the VAT ID, the customer would belong to the Customer Group %s.",""
"Bill to Name","שלח חיוב לשם"
"Bought From","נקנה מ"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","ביצירת חשבון בחנות זו, תוכל לבצע תשלום בצורה מהירה יותר, להזין מספר כתובות למשלוח, לעקוב אחר הזמנותיך וכו'."
"CSV","CSV"
"Cancel","בטל"
"Cannot save a new password.","לא ניתן לשמור סיסמה חדשה."
"Cannot save address.","לא ניתן לשמור כתובת"
"Cannot save the customer.","לא ניתן לשמור את הלקוח"
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","לא ניתן לשתף חשבונות של לקוחות באופן גלובלי מכיוון שחלק מחשבונות הלקוחות קיימים במגוון אתרים ולא ניתן לאחדם"
"Change Account Password","שנה סיסמא לחשבון"
"Change Billing Address","שנה כתובת לחיוב"
"Change Password","שנה סיסמא"
"Change Shipping Address","שנה כתובת למשלוח"
"City","עיר"
"Company","חברה"
"Config","הגדרות"
"Configure","Configure"
"Confirm New Password","אשר סיסמא חדשה"
"Confirm Password","אימות סיסמא"
"Confirmation Link Email","דוא""ל אישור קישור"
"Confirmed","מאושר"
"Contact Information","מידע ליצירת קשר"
"Continue Shopping","המשך בקניות"
"Country","ארץ"
"Create","צור"
"Create New Account Options","יצירת חשבון חדש - אפשרויות"
"Create New Customer Account","צור חשבון לקוח חדש"
"Create Order","צור הזמנה"
"Create an Account","צור חשבון"
"Create customer","צור לקוח"
"Create customer address","צור כתובת לקוח"
"Current Password","סיסמא נוכחית"
"Customer","לקוח"
"Customer API","ממשק ניהול לקוחות"
"Customer Account Edit Form","טופס עריכת חשבון לקוח"
"Customer Account Login Form","טופס התחברות חשבון לקוח"
"Customer Account Logout Success","הצלחה בהתנתקות מחשבון לקוח"
"Customer Account Registration Form","טופס רישום לחשבון לקוח"
"Customer Addresses","כתובות לקוח"
"Customer Configuration","הגדרות הלקוח"
"Customer Forgot Password Form","טופס שכחתי סיסמא"
"Customer Group","קבוצת לקוח"
"Customer Groups","קבוצות לקוחות"
"Customer Information","מידע לקוח"
"Customer Login","כניסת לקוחות"
"Customer My Account (All Pages)","לקוח – החשבון שלי (כל הדפים)"
"Customer My Account Address Book","לקוח- החשבון שלי – ספר כתובות"
"Customer My Account Address Edit Form","לקוח- החשבון שלי – עריכת טופס כתובות"
"Customer My Account Dashboard","לקוח- החשבון שלי – ממשק ניהול"
"Customer Since","לקוח מתאריך"
"Customer View","מבט לקוח"
"Customer collection expected.","צפוי אוסף לקוחות"
"Customer email is required","כתובת דואר האלקטרוני של הלקוח הינה חובה"
"Customer website ID must be specified when using the website scope",""
"Customer will stay on the current page if ""No"" is selected.","הלקוחות ישארו בדף הנוכחי אם יבחרו ""לא"""
"Customers","לקוחות"
"Customers Only","לקוחות בלבד"
"Customers Section","איזור - לקוחות"
"DD","DD"
"Date","תאריך"
"Date Added","תאריך התווספות"
"Date of Birth","תאריך לידה"
"Day","יום"
"Days in Wishlist","ימים ברשימת החלומות"
"Default Addresses","כתובות ברירת המחדל"
"Default Billing Address","כתובת ברירת המחדל לחיוב"
"Default Email Domain","דומיין ברירת מחדל לאימייל"
"Default Group","קבוצת ברירת מחדל"
"Default Shipping Address","כתובת ברירת המחדל למשלוח"
"Default Value for Disable Automatic Group Changes Based on VAT ID",""
"Default Welcome Email","ברירת מחדל - אימייל ברוכים הבאים"
"Delete","מחק/מחיקה"
"Delete Address","מחק כתובת"
"Delete Customer","מחק לקוח"
"Delete Customer Group","מחק קבוצת לקוחות"
"Delete customer","מחק לקוח"
"Delete customer address","מחק כתובת לקוח"
"Deleted Stores","חנויות שנמחקו"
"Details","פרטים"
"Disabled","כבוי/לא פעיל"
"Edit","ערוך"
"Edit Account Info","ערוך פרטי חשבון"
"Edit Account Information","ערוך חשבון לקוח"
"Edit Address","ערוך כתובת"
"Edit Address Entry","ערוך רשומת כתובת"
"Edit Customer Group ""%s""","ערוך קבוצת לקוחות ""%s"""
"Edit Customer Groups","ערוך קבוצת לקוחות"
"Edit Customer's Address","ערוך כתובת לקוח"
"Edit Group","ערוך קבוצה"
"Edit Newsletters","ערוך ניוזלטרים"
"Email","מייל"
"Email Address","כתובת דוא&#34;ל"
"Email Sender","אימייל השולח/שלח אימייל לשולח"
"Email:","אימייל:"
"Enable Automatic Assignment to Customer Group",""
"Entity collection is expected.","צפויה אסיפת ישויות"
"Excel XML","Excel XML"
"Failed to confirm customer account.","נכשל באימות חשבון לקוח."
"Fax","טלפון נוסף"
"First Name","שם פרטי"
"Forgot Email Template","שחכתי אימייל - תבנית הודעה"
"Forgot Password","שכחתי סיסמה"
"Forgot Your Password","שכחת את סיסמתך"
"Forgot Your Password?","שכחתי סיסמא"
"Forgot and Remind Email Sender","שולח דואר אלקטרוני לנשכחים ואזכורים"
"Form Fields Before","קבצי טופס לפני"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","מלוח הניהול של החשבון שלך את/ה יכול לצפות בפעילות האחרונה שלך באתר ולעדכן פרטים. אנא בחר קישור מלמטה כדי לצפות/לערוך מידע."
"Gender","מין"
"Gender is required.",""
"General Subscription","הרשמה כללית"
"Generate Human-Friendly Customer ID","צור קוד ID לקוחות ידידותי למשתמשים"
"Global","גלובלי"
"Grand Total","סה""כ כללי"
"Group","קבוצה"
"Group Information","מידע קבוצה"
"Group Name","שם קבוצה"
"Group for Invalid VAT ID",""
"Group for Valid VAT ID - Domestic",""
"Group for Valid VAT ID - Intra-Union",""
"Guest","אורח"
"HTML","HTML"
"Hello, %s!","שלום, %s!"
"ID","קוד/ת.ז/זיהוי"
"IP Address","כתובת IP"
"If there is an account associated with %s you will receive an email with a link to reset your password.","הודעת איפוס סיסמא נשלחה לכתובת %s"
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you billing address for proper VAT calculation",""
"If you are a registered VAT customer, please click <a href=""%s"">here</a> to enter you shipping address for proper VAT calculation",""
"If you believe this is an error, please contact us at %s",""
"If you have an account with us, please log in.","אם אתה חבר רשום באתר שלנו,<br/>הכנס את פרטיך עכשיו"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","נבחרה אפשרות תכונה לא תקינה עבור התכונה %s (%s), מדלג על הרשומה"
"Invalid attribute set specified, skipping the record.","נבחר סט תכונות לא תקין, מדלג על הרשומה"
"Invalid billing address for (%s)",""
"Invalid current password","סיסמא נוכחית שגויה"
"Invalid customer data","נתוני לקוח לא תקניים"
"Invalid email address ""%s"".",""
"Invalid email address.","כתובת דוא""ל לא תקינה"
"Invalid login or password.","משתמש או סיסמא שגויים"
"Invalid password reset token.","Invalid password reset token."
"Invalid shipping address for (%s)",""
"Invalid store specified, skipping the record.","נבחרה חנות לא תקינה, מדלג על הרשומה"
"Invalid website, skipping the record, line: %s",""
"Last Activity","פעילות אחרונה"
"Last Date Subscribed","תאריך אחרון לרישום"
"Last Date Unsubscribed","תאריך אחרון לביטול הרשמה"
"Last Name","שם משפחה"
"Last URL","URL אחרון"
"Leave empty for default (15 minutes).","השאר ריק עבור ברירת מחדל (15 דקות)."
"Leave empty for default (2). Valid range: 1-4","השאר ריק עבור ברירת מחדל (2). טווח תקין: 1-4"
"Lifetime Sales","מכירות מכל הזמנים"
"Log In","כניסה"
"Log Out","יציאה"
"Login","כניסה"
"Login Information","פרטי כניסה"
"Login Options","אפשרויות התחברות"
"Login and password are required.","התחברות וסיסמה דרושים"
"Login or Create an Account","התחברי או צרי חשבון"
"MM","MM"
"Manage Addresses","ניהול כתובות"
"Manage Customers","ניהול לקוחות"
"Maximum length must be less then %s symbols",""
"Missing email, skipping the record, line: %s",""
"Missing email, skipping the record.","חסר דוא""ל , מדלג על הרשומה"
"Missing first name, skipping the record, line: %s",""
"Missing firstname, skipping the record.","חסר שם פרטי, מדלג על הרשומה"
"Missing last name, skipping the record, line: %s",""
"Missing lastname, skipping the record.","חסר שם משפחה, מדלג על הרשומה"
"Missing website, skipping the record, line: %s",""
"Month","חודש"
"My Account","חשבון שלי"
"My Account Wrapper","עורך החשבון שלי"
"My Dashboard","ממש הבקרה שלי"
"My Orders","ההזמנות שלי"
"Name","שם"
"Name and Address Options","אפשרויות שם וכתובת"
"Never","לעולם לא"
