"-- Please select --","-- בחר מהרשימה --"
"Allowed Currencies","Allowed Currencies"
"Base Currency","Base Currency"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Can\'t convert rate from ""%s-%s"".","Can\'t convert rate from ""%s-%s""."
"Cannot retrieve rate from %s.","Cannot retrieve rate from %s."
"Connection Timeout in Seconds","Connection Timeout in Seconds"
"Continue &raquo;","המשך &laquo;"
"Country","ארץ"
"Country API","Country API"
"Country and Format Type combination should be unique","שילוב של ארץ וסוג פורמט צריך להיות ייחודי"
"Currency","מטבע"
"Currency Options","מטבעות - אפשרויות"
"Currency Setup","מטבעות - הגדרות"
"Currency Update Warnings","אזהרות עדכון מטבע"
"Default Display Currency","Default Display Currency"
"Directory","Directory"
"Display not required State","Display not required State"
"Enabled","פעיל"
"Error Email Recipient","הנמען לקבלת הודעת שגיאה"
"Error Email Sender","השולח הודעת שגיאה"
"Error Email Template","תבנית של הודעת השגיאה"
"FATAL ERROR:","שגיאה חמורה:"
"Frequency","תדירות"
"Installed Currencies","מטבעות מותקנים"
"Invalid Import Service specified.","Invalid Import Service specified."
"Invalid country code: %s","קוד מדינה שגוי: %s"
"Invalid rates received","התקבלו שערים לא תקינים"
"Invalid target currency.","Invalid target currency."
"List of countries","רשימת ארצות"
"List of regions in specified country","רשימת אזורים בארצות בנבחרו"
"Postal Code is Optional for the following countries","המיקוד הינו אופציונאלי עבור מדינות הבאות"
"Region","אזור"
"Region API","Region API"
"Scheduled Import Settings","הגדרות ייבוא מתוזמנות"
"Select Your Currency","בחר מטבע שלך"
"Service","שירות"
"Start Time","שעת התחלה"
"State is required for","State is required for"
"State/Province","אזור/מחוז"
"States Options","States Options"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize the import model.","Unable to initialize the import model."
"Undefined rate from ""%s-%s"".","Undefined rate from ""%s-%s""."
"WARNING:","אזהרה:"
"Webservicex","Webservicex"
"Your current currency is: %s","המטבע הנוכחי שלך: %s"
