"Add","הוסף"
"Add New Row","הוסף שורה חדשה"
"Add links and samples to downloadable product","Add links and samples to downloadable product"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'."
"An error occurred while getting the requested content.","An error occurred while getting the requested content."
"An error occurred while getting the requested content. Please contact the store owner.","An error occurred while getting the requested content. Please contact the store owner."
"An error occurred while saving the file(s).","שגיאה התרחשה בעת שמירת הקובץ."
"Availability:","זמינות:"
"Back","חזור"
"Canceled","מבוטל"
"Cannot connect to remote host, error: %s.","Cannot connect to remote host, error: %s."
"Catalog Product View (Downloadable)","Catalog Product View (Downloadable)"
"Category API","API של קטגוריה"
"Customer My Account Downloadable Items","Customer My Account Downloadable Items"
"Date","תאריך"
"Default Link Title","ותרת ברירת מחדל של קישור"
"Default Maximum Number of Downloads","כמות מירבית ברירת מחדל של הורדות"
"Default Sample Title","כותרת להדגמה ברירת מחדל"
"Delete","Delete"
"Disable Guest Checkout if Cart Contains Downloadable Items","Disable Guest Checkout if Cart Contains Downloadable Items"
"Downloadable Information","פרטים על הורדות"
"Downloadable Product","מוצר ניתן להורדה"
"Downloadable Product Options","אפשרויות מוצר הניתן להורדה"
"Downloadable Product Section","Downloadable Product Section"
"Edit","ערוך"
"Edit item parameters","ערוך נתוני פריט"
"Excl. Tax","לא כולל מע""מ"
"File","קובץ"
"From:","מאת:"
"Gift Message","הודעת ברכה"
"Go to <a href=""%s"">My Downloadable Products</a>","עבור אל <a href=""%s"">הורדות שלי</a>"
"Guest checkout will only work with shareable.","Guest checkout will only work with shareable."
"In stock","במלאי"
"Incl. Tax","כולל מע""מ"
"Invalid download URL host.","Invalid download URL host."
"Invalid download URL scheme.","Invalid download URL scheme."
"Invalid download link type.","Invalid download link type."
"Invoiced","נשלחה חשבונית"
"Links can be purchased separately","ניתן לרכוש קישורים בנפרד"
"List","רשימה"
"Max. Downloads","מקסימום הורדות"
"Message:","הודעה:"
"Move","העבר"
"My Downloadable Products","ההורדות שלי"
"Open Links in New Window","פתח קישורים בחלון חדש"
"Order #","מספר הזמנה"
"Order Item Status to Enable Downloads","Order Item Status to Enable Downloads"
"Order id cannot be null","Order id cannot be null"
"Order item id cannot be null","Order item id cannot be null"
"Ordered","נרכש"
"Out of stock","חסר במלאי"
"Pending","בהמתנה"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Please log in to download your product or purchase <a href=""%s"">%s</a>."
"Please log in to download your product.","אנא התחבר כדי להוריד את המוצר שרכשת."
"Please set resource file and link type.","Please set resource file and link type."
"Please specify product link(s).","Please specify product link(s)."
"Price","מחיר"
"Product downloadable links","Product downloadable links"
"Qty","כמות"
"Refunded","זוכה"
"Remaining Downloads","יתרת הורדות"
"Remove","הסר"
"Remove Item","הסר פריט"
"Remove links and samples from downloadable product","Remove links and samples from downloadable product"
"Requested link does not exist.","Requested link does not exist."
"Retrieve links and samples list from downloadable product","Retrieve links and samples list from downloadable product"
"Sample","הדגמה"
"See price before order confirmation.","הצג מחיר לפני אישור ההזמנה."
"Shareable","משותף"
"Shipped","נשלח"
"Sorry, there was an error getting requested content. Please contact the store owner.","Sorry, there was an error getting requested content. Please contact the store owner."
"Sort Order","סדר מיון"
"Start Download","התחל הורדה"
"Status","סטאטוס"
"The file does not exist.","The file does not exist."
"The link has expired.","The link has expired."
"The link is not available.","The link is not available."
"There are files that were selected but not uploaded yet. Please upload or remove them first","There are files that were selected but not uploaded yet. Please upload or remove them first"
"Title","כותרת"
"To:","אל:"
"U","U"
"Unlimited","ללא הגבלה"
"Use Content-Disposition","Use Content-Disposition"
"Use Default Value","השתמש בערך ברירת המחדל"
"View Order","הצג הזמנה"
"What's this?","מה זה?"
"You have not purchased any downloadable products yet.","לא רכשת עדיין מוצרים להורדה."
"attachment","קובץ מצורף"
"download","הורדה"
"inline","inline"
"sample","הדגמה"
