"""%s"" contains not only digit characters.",""
"""%s"" does not fit the entered date format.",""
"""%s"" exceeds the allowed file size.",""
"""%s"" exceeds the allowed length.",""
"""%s"" has not only alphabetic and digit characters.",""
"""%s"" has not only alphabetic characters.",""
"""%s"" height exceeds allowed value of %s px.",""
"""%s"" invalid type entered.",""
"""%s"" is a required value.",""
"""%s"" is an empty string.",""
"""%s"" is not a valid URL.",""
"""%s"" is not a valid date.",""
"""%s"" is not a valid email address.",""
"""%s"" is not a valid file",""
"""%s"" is not a valid file extension.",""
"""%s"" is not a valid file.",""
"""%s"" is not a valid hostname.",""
"""%s"" is not a valid image format",""
"""%s"" length must be equal or greater than %s characters.",""
"""%s"" length must be equal or less than %s characters.",""
"""%s"" width exceeds allowed value of %s px.",""
"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' אינה כתובת דואר אלקטרוני תקינה"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' אינה כתובת דואר אלקטרוני תקינה"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' אינה כתובת דואר אלקטרוני תקינה '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' אינה כתובת דואר אלקטרוני תקינה"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' אינה כתובת דואר אלקטרוני תקינה"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' אינה כתובת דואר אלקטרוני תקינה"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' אינה כתובת דואר אלקטרוני תקינה"
"'%value%' does not appear to be a valid URI hostname",""
"'%value%' does not appear to be a valid local network name","'%value%' אינה כתובת דואר אלקטרוני תקינה"
"'%value%' does not match the expected structure for a DNS hostname",""
"A joint field with this alias (%s) is already declared",""
"Add Option","הוסף אופציה"
"An error occurred while loading a record, aborting. Error: %s",""
"An error occurred while loading the collection, aborting. Error: %s",""
"An error occurred while saving a record, aborting. Error: ",""
"Attempt to add an invalid object","Attempt to add an invalid object"
"Attribute '%s' used in configurable products",""
"Attribute Code","Attribute Code"
"Attribute Label","Attribute Label"
"Attribute Properties","Attribute Properties"
"Attribute object is undefined",""
"Attribute set with the ""%s"" name already exists.",""
"Attribute with the same code","Attribute with the same code"
"Can\'t create table: %s",""
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Current module EAV entity is undefined",""
"Current module pathname is undefined",""
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Date","תאריך"
"Decimal Number","מספר עשרוני"
"Default Product Listing Sort by not exists on Available Product Listing Sort By",""
"Default Value",""
"Default option value is not defined","ערך ברירת מחדל לא הוגדר"
"Delete","מחק"
"Dropdown","רשימת בחירה"
"Email","דואר אלקטרוני"
"Entity collection expected.",""
"Entity collections expected.",""
"Entity instance is not defined",""
"Entity is not initialized","Entity is not initialized"
"Entity object is undefined",""
"Failed to load node %s from config",""
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols",""
"Form Element with the same attribute","Form Element with the same attribute"
"Form Fieldset with the same code","Form Fieldset with the same code"
"Form Type with the same code","Form Type with the same code"
"Form code is not defined",""
"Frontend label is not defined","Frontend label is not defined"
"Input Validation for Store Owner","Input Validation for Store Owner"
"Integer Number","מספר שלם"
"Invalid EAV attribute.",""
"Invalid alias, already exists in joint attributes",""
"Invalid attribute name: %s","Invalid attribute name: %s"
"Invalid attribute requested: %s","Invalid attribute requested: %s"
"Invalid attribute type","Invalid attribute type"
"Invalid character encountered in increment ID: %s","Invalid character encountered in increment ID: %s"
"Invalid date",""
"Invalid default date",""
"Invalid default decimal value",""
"Invalid entity specified","Invalid entity specified"
"Invalid entity supplied.",""
"Invalid entity supplied: %s","Invalid entity supplied: %s"
"Invalid entity type","Invalid entity type"
"Invalid entity_id, skipping the record.",""
"Invalid entity_type specified: %s","Invalid entity_type specified: %s"
"Invalid foreign key","Invalid foreign key"
"Invalid form type.",""
"Invalid joint fields",""
"Invalid store specified","Invalid store specified"
"Invalid type given. String expected",""
"Joined field with this alias is already declared","Joined field with this alias is already declared"
"Joint field or attribute expression with this alias is already declared",""
"Letters","אותיות"
"Letters (a-z, A-Z) or Numbers (0-9)",""
"Loaded %d records","Loaded %d records"
"Maximum length of attribute code must be less then %s symbols",""
"Multiple Select","רשימת בחירה מרובה"
"No","לא"
"No options found in config node %s","No options found in config node %s"
"None","ללא"
"Not shared with other products","לא משותף עם מוצרים אחרים"
"Problem loading the collection, aborting. Error: %s","Problem loading the collection, aborting. Error: %s"
"Problem saving the collection, aborting. Error: %s","Problem saving the collection, aborting. Error: %s"
"Required","שדה חובה"
"Saved %d record(s).",""
"Source model ""%s"" not found for attribute ""%s""",""
"System","מערכת"
"Text Area","טקטס חופשי"
"Text Field","שורת טקסט"
"The attribute code \'%s\' is reserved by system. Please try another attribute code",""
"The value of attribute ""%s"" must be unique",""
"The value of attribute ""%s"" must be unique.",""
"This attribute is used in configurable products",""
"URL",""
"Unique Value",""
"Unique Value (not shared with other products)",""
"Unknown parameter","פרמטר לא ידוע"
"Values Required","ערכים נדרשים"
"Wrong attribute group ID","Wrong attribute group ID"
"Wrong attribute set ID","Wrong attribute set ID"
"Wrong entity ID","Wrong entity ID"
"Wrong type definition for %s",""
"Yes","כן"
"Yes/No","כן/לא"
