" Copy","העתק"
"Action","פעולה"
"Add New Template","הוסף תבנית חדשה"
"Add to Queue","הוסף לתור"
"Allow Guest Subscription","אפשר רישום אורח"
"An error occurred while saving your subscription.","ארעה תקלה בזמן שמירת רישומך."
"Are you sure that you want to delete this template?","אתה בטוח שאתה רוצה למחוק את התבנית הזאת?"
"Are you sure that you want to strip all tags?","האם אתה בטוח שברצנך להסיר את כל התגים?"
"Back","חזור"
"Cancel","בטל"
"Cancelled","בוטל"
"Cannot mark as received subscriber.","Cannot mark as received subscriber."
"Confirmation Email Sender","אישור דואר אלקטרוני השולח"
"Confirmation Email Template","תבנית אישור דואר אלקטרוני"
"Confirmation request has been sent.","בקשת אישור נשלחה."
"Convert to Plain Text","הפוך לטקסט פשוט"
"Create Newsletter Template","צור תבנית לניוזלטר"
"Customer","לקוח"
"Customer First Name","שם פרטי של לקוח"
"Customer Last Name","שם משפחה של הלקוח"
"Customer My Account Newsletter Subscriptions","Customer My Account Newsletter Subscriptions"
"Date Added","נוסף בתאריך"
"Date Updated","עדכון אחרון"
"Delete","מחק"
"Delete Selected Problems","מחק בעיות נבחרות"
"Delete Template","מחק תבנית"
"Do you really want to cancel the queue?","האם ברצונך לבטל את התור?"
"Duplicate template code.","שכפל קוד תבנית."
"Edit Newsletter","ערוך ניוזלטר"
"Edit Newsletter Template","ערוך תבנית ניוזלטר"
"Edit Queue","ערוך תור"
"Edit Template","ערוך תבנית"
"Email","דואר אלקטרוני"
"Enter your email address","הכנס כתובת דואר אלקטרוני שלך"
"Error Code","קוד שגיאה"
"Error Text","טקסט שגיאה"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","קישור כניסה להרשמה  <!-- This tag is for unsubscribe link --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","אורח"
"ID","ID"
"Invalid queue selected.","התור שנבחר אינו תקף."
"Invalid subscription ID.","זהות נרשם אינו תקף."
"Invalid subscription confirmation code.","קוד אישור רישום אינו תקף."
"Message","הודעה"
"Need to Confirm","נדרש אישור"
"New Newsletter Template","תבנית ניוזלטר חדשה"
"New Template","תבנתי חדשה"
"Newsletter","ניוזלטר"
"Newsletter Message Preview","הודעת ניוזלטר - תצוגה מקדימה"
"Newsletter Problem Reports","ניוזלטר - דוחות תקולים"
"Newsletter Queue","ניוזלטר - תור"
"Newsletter Section","מדור ניוזלטר"
"Newsletter Sign-up:","עדכנו אותי:"
"Newsletter Styles","סגנונות ניוזלטר"
"Newsletter Subscribers","ניוזלטר - מנויים"
"Newsletter Subscription","ניוזלטר - רישום"
"Newsletter Subscription Form Before","טופס הרשמה לניוזלטר לפני"
"Newsletter Subscriptions","עדכנו אותי"
"Newsletter Templates","תבניות לניוזלטר"
"Newsletter subscription confirmation","ניוזלטר - אישור הרשמה"
"Newsletter subscription success","ניוזלטר - הרישום הצליח"
"Newsletter unsubscription success","ניוזלטר - הסרת המנוי הצליחה"
"No Templates Found","לא נמצאה תבנית"
"No problems found.","לא נמצאה בעיה."
"No subscribers selected.","לא נבחרו נרשמים."
"Not Activated","לא הופעל"
"Not Sent","לא נשלח"
"Pause","עצור"
"Paused","עצר/נעצר"
"Please enter a valid email address.","נא מלא כתובת אימייל תקינה."
"Please enter new template name","הקלד שם תבנית חדשה"
"Please refer to exeption.log","Please refer to exeption.log"
"Please select subscriber(s)","בחר מנוי(ים)"
"Preview","תצוגה מקדימה"
"Preview Template","תבנית - תצוגה מקדימה"
"Processed","מעובד"
"Queue Date Start","תאריך תחילת תור"
"Queue Finish","סיום תור"
"Queue Information","תור - מידע"
"Queue Newsletter...","Queue Newsletter..."
"Queue Start","תור - התחלה"
"Queue Subject","תור - נושא"
"Recipients","נמענים/מקבלים"
"Reset","התחל מחדש"
"Resume","המשך פעולה"
"Return HTML Version","חזור לגרסת HTML"
"Save As","שמירה בשם"
"Save Newsletter","שמור ניוזלטר"
"Save Template","שמור תבנית"
"Save and Resume","שמור והמשך"
"Selected problem subscribers have been unsubscribed.","Selected problem subscribers have been unsubscribed."
"Selected problems have been deleted.","בעיות נבחרות נמחקו."
"Sender","שולח"
"Sender Email","דואר אלקטרוני של השולח"
"Sender Name","שם השולח"
"Sending","שולח"
"Sent","נשלח"
"Sign Up for Our Newsletter:","הירשם לניוזלטר שלנו:"
"Sign up for our newsletter","הירשמי לניוזלטר שלנו"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>."
"Start","התחל"
"Status","מצב"
"Store","חנות"
"Store View","מבט חנות"
"Subject","נושא"
"Submit","שלח"
"Subscribe","הירשם"
"Subscribed","נרשם"
"Subscriber","מנוי"
"Subscribers","מנוים"
"Subscribers From","מנויים מ"
"Subscription Options","אפשרויות מנוי"
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Template Content","תוכן תבנית"
"Template Information","מידע תבנית"
"Template Name","שם תבנית"
"Template Styles","תבנית - סגנונות"
"Template Subject","תבנית - נושא"
"Template Type","סוג תבנית"
"Thank you for your subscription.","אנו מודים על הרשמתך"
"The subscription has been removed.","ההרשמה הוסרה."
"The subscription has been saved.","ההרשמה נשמרה."
"There was a problem with the subscription.","אירעה בעיה עם ההרשמה."
"There was a problem with the subscription: %s","ארעה בעיה ברישום: %s"
"There was a problem with the un-subscription.","ארעה בעיה בהסרת המינוי"
"This email address is already assigned to another user.","כתובת הדואר האלקטרוני כבר קיימת במערכת."
"Type","סוג"
"Unconfirmed","לא אושר"
"Unsubscribe","בטל מנוי"
"Unsubscribe Selected","הסר רישום מנבחרים"
"Unsubscribed","לא נרשם"
"Unsubscription Email Sender","שולח הודעה על הסרה מניוזלטר"
"Unsubscription Email Template","הסרת רישום - תבנית דואר אלקטרוני"
"View Newsletter","הצג ניוזלטר"
"Website","אתר"
"You have been unsubscribed.","הוסרת מההרשמה."
"Your subscription has been confirmed.","הרשמתך אושרה."
