"Abandoned Carts","סלים נתושים"
"Abandoned carts","סלים נטושים"
"Action","Action"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוסף לרשימת המשאלות"
"Any","כלשהו"
"Applied Coupon","קופון שמומש"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation."
"Are you sure?","האם אתה בטוח?"
"Avg. Approved Rating","Avg. Approved Rating"
"Avg. Rating","Avg. Rating"
"Bestsellers","רבי מכר"
"Bought from wishlists","נקנה מרשימת המשאלות"
"CSV","CSV"
"Carts","סלים"
"Catalog Category (Without Subcategories)","קטגוריית קטלוג (ללא תת-קטגוריות)"
"Compared Products Grid Template","תצוגת מוצרים להשוואה בטבלה"
"Compared Products List Template","תצוגת מוצרים להשוואה ברשימה"
"Coupons","קופונים"
"Coupons Usage Report","דוח שימוש בקופונים"
"Created At","נוצר בתאריך"
"Current Month Starts","Current Month Starts"
"Customer","לקוח"
"Customer Name","שם הלקוח"
"Customer Tags","תגיות הלקוח"
"Customers","לקוחות"
"Customers Report","דוח לקוחות"
"Customers Reviews","חוות דעת לקוחות"
"Customers Tags","תגיות הלקוחות"
"Customers by Number of Orders","לקוחות לפי מספר הזמנות"
"Customers by Orders Total","לקוחות לפי סה""כ של הזמנות"
"Customers by number of orders","לקוחות ע""פ כמות הזמנות"
"Customers by orders total","לקוחות ע""פ ערך הזמנה"
"Customers that have wishlist: %s%","לקוחות עם רשימת משאלות: %s%"
"Dashboard","לוח הבקרה"
"Day","יום"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Description","תיאור"
"Detail","פירוט/פרטים"
"Downloads","הורדות"
"Email","דואר אלקטרוני"
"Empty Rows","שורות ריקות"
"Excel XML","Excel XML"
"Filter","מסנן"
"First Name","שם פרטי"
"From","מאת"
"Guest","אורח"
"Hits","צפיות"
"ID","ID"
"IP Address","כתובת IP"
"Index model name must be defined","Index model name must be defined"
"Invalid date specified.","Invalid date specified."
"Invoiced","נרשם בחשבונית"
"Items in Cart","פריטים בסל הקניות"
"Last Name","שם משפחה"
"Last Review","חוות דעת אחרונה"
"Link","קישור"
"List of Products Recently Compared and Removed from the Compare List by Visitor","רשימת מוצרים אשר הושוו לאחרונה והוסרו מרשימת ההשוואה על ידי גולש"
"List of Products Recently Viewed by Visitor","רשימת מוצרים שנצפו לאחרונה על ידי גולש"
"Low Stock","מלאי אוזל"
"Low stock","מלאי נמוך"
"Match Period To","Match Period To"
"Month","חודש"
"Most Viewed","נצפים ביותר"
"Name","שם"
"New Accounts","חשבונות חדשים"
"No","No"
"Number Added","כמות שהוספה"
"Number Fulfilled","כמות שהוגשמה"
"Number Of Reviews","כמות חוות דעת"
"Number Purchased","כמות נרכשים"
"Number Viewed","כמות נצפים"
"Number of Items","כמות פריטים"
"Number of New Accounts","כמות חשבונות חדשים"
"Number of Products to display","מספר מוצרים להצגה"
"Number of Reviews","כמות חוות דעת"
"Number of Times Deleted","Number of Times Deleted"
"Number of Total Tags","סך הכל תגיות"
"Number of Unique Tags","כמות תגיות יחודיות"
"Number of Views","כמות צפיות"
"Number of items bought from a wishlist: %s","כמות פריטים שנקנתה מרשימת המשאלות: %s"
"Number of times wishlists have been shared (emailed): %s","כמות הפעמים שרשימת המשאלות שותפה (בדואר אלקטרוני): %s"
"Number of wishlist conversions: %s","כמות המרות של רשימת משאלות: %s"
"Number of wishlist referrals: %s","כמות הפניות לרשימת המשאלות: %s"
"Number of wishlists: %s","כמות רשימות משאלות: %s"
"Order Status","סטטוס ההזמנה"
"Order Taxes Report Grouped by Tax Rate","דוח מע""מ של הזמנות מקובץ על פי תעריף מע""מ"
"Orders","הזמנות"
"Out of stock","חסר במלאי"
"Period","תקופה"
"Poducts Report","דוח מוצרים"
"Popular Tags","תגיות פופולאריות"
"Popularity","פופולריות"
"Price","מחיר"
"Product Name","שם המוצר"
"Product Reviews","חוות דעת המוצר"
"Product SKU","מק""ט המוצר"
"Product Tags","תגיות המוצר"
"Products","מוצרים"
"Products Ordered","מוצרים שהוזמנו"
"Products Report","דוח מוצרים"
"Products Reviews","חוות דעת מוצרים"
"Products Tags","תגיות המוצרים"
"Products in carts","מוצרים בסלים"
"Purchases","רכישות"
"Quantity Ordered","כמות מוזמנת"
"Quantity of Items","כמות פריטים"
"Recently Compared","הושוו לאחרונה"
"Recently Compared Products","מוצרים שהושוו לאחרונה"
"Recently Viewed","נצפו לאחרונה"
"Recently Viewed Products","מוצרים שצפיתי בהם לאחרונה"
"Recently Viewed/Compared Products","מוצרים שנצפו/הושוו לאחרונה"
"Refresh Lifetime Statistics","רענן סטטיסטיקות של כל התקופות"
"Refresh Statistics","רענן סטטיסטיקות"
"Refresh Statistics for the Last Day","Refresh Statistics for the Last Day"
"Refunds","זיכוים"
"Report","דו""ח"
"Reports","דו""חות"
"Results","תוצאות"
"Revenue","הכנסה"
"Review","חוות דעת"
"Reviews","חוות דעת"
"Reviews for %s","חוות דעת עבור %s"
"Sales","מכירות"
"Sales Report","דו""ח מכירות"
"Search Query","שאילתת חיפוש"
"Search Terms","מונחי חיפוש"
"Select day of the month.","Select day of the month."
"Shipping","משלוח"
"Shopping Cart","סל קניות"
"Shopping Cart Price Rule","כלל למחיר סל הקניות"
"Show Actual Values","Show Actual Values"
"Show Report","הצג דו""ח"
"Show for Current","הצג לנוכחי"
"Specified","מוגדר"
"Statistics","Statistics"
"Stock Qty","כמות מלאי"
"Submitted In","הוגש ב"
"Submitted On","הוגש בתאריך"
"Subtotal","סכום ביניים"
"Tag","תגית"
"Tag ""%s"" details","פרטי תגית ""%s"""
"Tag Detail","פרטי התגית"
"Tag Name","שם התגית"
"Tag Use","Tag Use"
"Tags Submitted by %s","Tags Submitted by %s"
"Tags submitted to %s","תגיות הוגשו עבור %s"
"Tax","מע""מ"
"Title","כותרת"
"To","עבור"
"Total","סה""כ"
"Total Invoiced vs. Paid Report","Total Invoiced vs. Paid Report"
"Total Ordered Report","דו""ח סה""כ הזמנות"
"Total Refunded Report","דו""ח סה""כ זיכוים"
"Total Shipped Report","דו""ח סה""כ משלוחים"
"Total Tags","סה""כ תגיות"
"Total invoiced","סה""כ חשבוניות שהופקו"
"Total refunded","סה""כ זיכוים"
"Updated At","עודכן בתאריך"
"Viewed Products Grid Template","תצוגת מוצרים שנצפו בטבלה"
"Viewed Products List Template","תצוגת מוצרים שנצפו ברשימה"
"Visible In","גלוי ב"
"Wishlist Report","דוח רשימת המשאלות"
"Wishlist vs. Regular Order","רשימת משאלות מול הזמנה רגילה"
"Wishlists","רשימות משאלות"
"Year","שנה"
"Year-To-Date Starts","Year-To-Date Starts"
"Yes","Yes"
"Your Recently Compared","השוואות אחרונות"
"Your Recently Viewed","מוצרים נצפים לאחרונה"
"undefined","undefined"
