"ALL","הכל"
"ANY","כלשהו"
"Add","הוסף"
"Apply","החל"
"Conditions Combination","שילוב תנאים"
"Customer Groups must be specified.","Customer Groups must be specified."
"End Date must be greater than Start Date.","End Date must be greater than Start Date."
"FALSE","לא נכון"
"If %s of these conditions are %s:","עם %s מהתנאים האלה הם %s:"
"Invalid discount amount.","כמות הנחה שגויה."
"Open Chooser","Open Chooser"
"Perform following actions","בצע פעולות הבאות"
"Please choose a condition to add...","אנא בחר תנאי להוסיף..."
"Please choose an action to add...","אנא בחר פעולה להוסיף"
"Remove","הסר"
"TRUE","נכון"
"There is no information about associated entity type ""%s"".","There is no information about associated entity type ""%s""."
"Websites must be specified.","Websites must be specified."
"by","לפי"
"contains","מכיל"
"does not contain","אינו מכיל"
"equals or greater than","שווה או גדול מ"
"equals or less than","שווה או קטן מ"
"greater than","גדול מ"
"is","הוא"
"is not","הוא לא"
"is not one of","אינו אחד מתוך"
"is one of","הנו אחד תוך"
"less than","קטן מ"
"to","to"
