"""%s"" coupon code is not valid.","קוד הקופון ""%s"" פג תוקף."
"%s","%s"
"%s / %s rate:","%s / %s דירוג:"
"%s for %s","%s עבור %s"
"%s order(s) cannot be canceled","%s הזמנה(ות) לא ניתן לבטל"
"%s order(s) have been canceled.","%s הזמנה(ות) בוטלו."
"%s order(s) have been put on hold.","%s הזמנה(ות) הושהו."
"%s order(s) have been released from holding status.","%s הזמנה(ות) שוחררו מסטטוס ההשהיה."
"%s order(s) were not put on hold.","%s order(s) were not put on hold."
"%s order(s) were not released from holding status.","%s order(s) were not released from holding status."
"* - Enter custom price excluding tax","* - הזן מחיר מותאם אישית ללא מע""מ"
"* - Enter custom price including tax","* - הזן מחיר מותאם אישית כולל מע""מ"
"* Required Fields","* Required Fields"
"-- Please Select --","-- אנא בחר --"
"-- Please Select Billing Agreement--","-- אנא בחר הוראת קבע--"
"About This Order:","פרטי הזמנה זו:"
"About This Profile:","אודות פרופיל זה:"
"About Your Invoice","אודות החשבונית שלך"
"About Your Order","פרטי הזמנתך"
"About Your Refund","אודות הזיכוי שלך"
"About Your Shipment","אודות המשלוח שלך"
"Accept Payment","קבל תשלום"
"Accept or Deny Payment","קבל ודחה תשלום"
"Account Information","פרטי חשבון"
"Action","פעולה"
"Actions","פעולות"
"Activate","הפעיל"
"Active","פעיל"
"Add","הוסף"
"Add New Address","הוסף כתובת חדשה"
"Add Order Comments","הוסף הערות להזמנה"
"Add Package","הוסף חבילה"
"Add Products","הוסף מוצרים"
"Add Selected Product(s) to Option","הוסף מוצר(ים) שנבחרו לאופציה"
"Add Selected Product(s) to Order","הוסף מוצר(ים) נבחר(ים) להזמנה"
"Add Selected Product(s) to Package","הוסף מוצר(ים) שנבחרו לחבילה"
"Add To Order","הוסף להזמנה"
"Add Tracking Number","הוסף מספר מעקב"
"Add comment to order","הוסף הערה להזמנה"
"Add new comment to credit memo","הוסף הערה לחשבונית זיכוי"
"Add new comment to shipment","הוסף הערה חדשה לתעודת משלוח"
"Add new tracking number","הוסף מספר מעקב חדש"
"Add to Cart","הוסף לסל"
"Additional Product Info","מידע נוסף על מוצר"
"Address","כתובת"
"Address model is not defined.","מודל הכתובת לא הוגדר."
"Adjustment Fee","עמלת התאמה"
"Adjustment Refund","החזר התאמה"
"Agreement Information","פרטי ההסכם"
"Allow Reorder","אפשר הזמנה מחדש"
"Amount","סכום"
"Amount: %s.","סכום: %s."
"An error occurred while assigning order status. Status has not been assigned.","An error occurred while assigning order status. Status has not been assigned."
"An error occurred while creating shipping label.","An error occurred while creating shipping label."
"An error occurred while saving order status. The status has not been added.","An error occurred while saving order status. The status has not been added."
"An error occurred while unassigning order status.","An error occurred while unassigning order status."
"An error occurred while updating the order address. The address has not been changed.","An error occurred while updating the order address. The address has not been changed."
"An item option with code %s already exists.","An item option with code %s already exists."
"Anchor Custom Title","כותרת מותאמת אישית לעוגן"
"Append Comments","הוסף הערות"
"Apply","החל"
"Apply Coupon Code","הפעל קוד קופון"
"Approved the payment online.","Approved the payment online."
"Are you sure you want to accept this payment?","האם אתה בטוח שברצונך לקבל תשלום זה?"
"Are you sure you want to cancel this order?","האם לבטל את ההזמנה?"
"Are you sure you want to delete all items from shopping cart?","Are you sure you want to delete all items from shopping cart?"
"Are you sure you want to deny this payment?","האם אתה בטוח שברצונך לדחות תשלום זה?"
"Are you sure you want to do this?","אתה בטוח שאתה רוצה לעשות זאת?"
"Are you sure you want to send Creditmemo email to customer?","האם אתה בטוח שברצונך לשלוח הודעת זיכוי ללקוח?"
"Are you sure you want to send Invoice email to customer?","האם אתה בטוח שברצונך לשלוח חשבונית ללקוח?"
"Are you sure you want to send Shipment email to customer?","האם אתה בטוח שברצונך לשלוח תעודת משלוח ללקוח?"
"Are you sure you want to send order email to customer?","האם אתה בטוח שברצונך לשלוח הודעת הזמנה ללקוח?"
"Are you sure you want to void the payment?","האם אתה בטוח שברצונך לבטל את התשלום?"
"Are you sure?","האם אתה בטוח?"
"Are you sure? This order will be canceled and a new one will be created instead","Are you sure? This order will be canceled and a new one will be created instead"
"Assign Order Status to State","שייך סטטוס ההזמנה למצב"
"Assign Status to State","שייך סטטוס למצב"
"Assignment Information","פרטי השיוך"
"At least a payment ID must be set.","לפחות מספר מזהה של התשלום חייב להיות מוגדר."
"Authorization","הרשאה"
"Authorized amount of %s.","כמות המאושרת של %s."
"Authorizing amount of %s is pending approval on gateway.","Authorizing amount of %s is pending approval on gateway."
"Back","חזור"
"Back to Billing Agreements","חזור להוראות קבע"
"Back to My Orders","חזור להזמנות שלי"
"Back to Recurring Profiles","חזור לפרופילים מתחדשים"
"Backordered","הוזמן כהזמנת חוסר מלאי"
"Bestsellers","רבי מכר"
"Bill to Name","פרטי חיוב - שם"
"Billing","פרטי החיוב"
"Billing Address","כתובת החיוב"
"Billing Agreement","הוראת קבע"
"Billing Agreement # %s","הוראת קבע מס' %s"
"Billing Agreement #%s","הוראת קבע #%s"
"Billing Agreement View","תצוגת הוראת קבע"
"Billing Agreements","הוראות קבע"
"Billing Last Name","שם משפחה של המזמין"
"Billing ZIP Code","מיקוד של המזמין"
"Buy %s for price %s","קנה %s במחיר של %s"
"CSV","CSV"
"Cancel","בטל"
"Cancel credit memo","בטל חשבונית זיכוי"
"Cancel invoice","בטל חשבונית"
"Cancel order","בטל הזמנה"
"Canceled","מבוטל"
"Canceled order offline.","Canceled order offline."
"Canceled order online.","Canceled order online."
"Cannot add order history.","לא ניתן להוסיף היסטוריה להזמנה."
"Cannot create an empty shipment.","לא ניתן ליצור תעודת משלוח ריקה."
"Cannot determine the field name.","לא ניתן לקבוע שם השדה."
"Cannot do invoice for order.","לא ניתן להפיק חשבונית להזמנה"
"Cannot do shipment for order.","לא יכול לעשות שילוח להזמנה."
"Cannot get order instance","Cannot get order instance"
"Cannot get the order instance.","Cannot get the order instance."
