"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled."
"%s Coupon(s) have been generated","%s Coupon(s) have been generated"
"Actions","פעולות"
"Active","פעיל"
"Add New Rule","הוסף כלל"
"Alphabetical","Alphabetical"
"Alphanumeric","Alphanumeric"
"An error occurred while generating coupons. Please review the log and try again.","An error occurred while generating coupons. Please review the log and try again."
"Apply","החל"
"Apply To","החל ל"
"Apply the rule only if the following conditions are met (leave blank for all products)","החל את כלל רק אם התנאים הבאים מתקיימים (השאר ריק להפעלה על כל המוצרים)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","החל כלל על פריטי הסל שתואמים את התנאים הבאים (השאר ריק להפעלה על כל הפריטים)"
"Apply the rule to cart items matching the following conditions","החל כלל על פריטי הסל שתואמים את התנאים הבאים"
"Apply to Shipping Amount","החל על כמות המשלוח"
"Are you sure you want to delete the selected coupon(s)?","Are you sure you want to delete the selected coupon(s)?"
"Auto","Auto"
"Auto Generated Specific Coupon Codes","Auto Generated Specific Coupon Codes"
"Buy X get Y free (discount amount is Y)","קנה X קבל Y חינם (גובה הנחה היא Y)"
"By Fixed value","לפי ערך קבוע"
"By Percentage","לפי אחוזים"
"Can\'t acquire coupon.","Can\'t acquire coupon."
"Cart Attribute","תכונות סל קניות"
"Catalog","קטלוג"
"Code Format","Code Format"
"Code Length","Code Length"
"Code Prefix","Code Prefix"
"Code Suffix","Code Suffix"
"Conditions","תנאים"
"Conditions combination","שילוב תנאים"
"Coupon","Coupon"
"Coupon Code","קוד קופון"
"Coupon Qty","Coupon Qty"
"Coupon with the same code","Coupon with the same code"
"Coupons Information","Coupons Information"
"Created On","נוצר ב"
"Customer Groups","קבוצות לקוחות"
"Dash Every X Characters","Dash Every X Characters"
"Date Expire","תאריך פג תוקף"
"Date Start","תאריך התחלה"
"Default Label","כותרת ברירת מחדל"
"Default Rule Label for All Store Views","כותרת הכלל ברירת מחדל לכל תצוגות החנויות"
"Description","תיאור"
"Discount Amount","גובה הנחה"
"Discount Qty Step (Buy X)","מדרגת הנחה לכמות (קנה X)"
"Edit Rule","ערוך כלל"
"Edit Rule '%s'","ערוך חוק '%s'"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"FOUND","FOUND"
