" for more information or "," for more information or "
"# of Items (and above)","# פריטים (ומעל)"
"# of Items vs. Destination","מספר פריטים ביחס ליעד"
"Allow Shipping to Multiple Addresses","Allow Shipping to Multiple Addresses"
"An error occurred while import table rates.","An error occurred while import table rates."
"Calculate Handling Fee","חשב עלות טיפול"
"Carrier:","מוביל"
"City","עיר"
"Close Window","סגור חלון"
"Condition","תנאי"
"Country","ארץ"
"Custom Value","Custom Value"
"Date","תאריך"
"Delivered on:","נמסר ב:"
"Delivered to:","נמסר ל:"
"Description","תיאור"
"Displayed Error Message","הודעת שגיאה מוצגת"
"Divide to equal weight (one request)","Divide to equal weight (one request)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")."
"Enabled","פעיל"
"Error:","שגיאה:"
"Export","ייצוא"
"File has not been imported. See the following list of errors: %s","File has not been imported. See the following list of errors: %s"
"Fixed","קבוע"
"Flat Rate","תעריף אחיד"
"Free Shipping","משלוח חינם"
"Google Sitemap Section","Google Sitemap Section"
"Handling Fee","דמי טיפול"
"Import","ייבוא"
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Info:","פרטים:"
"Invalid %s ""%s"" in the Row #%s.","Invalid %s ""%s"" in the Row #%s."
"Invalid Country ""%s"" in the Row #%s.","Invalid Country ""%s"" in the Row #%s."
"Invalid Region/State ""%s"" in the Row #%s.","Invalid Region/State ""%s"" in the Row #%s."
"Invalid Shipping Price ""%s"" in the Row #%s.","Invalid Shipping Price ""%s"" in the Row #%s."
"Invalid Table Rate code for type %s: %s","שקלול סוג הקוד בטבלא שגוי %s: %s"
"Invalid Table Rate code type: %s","שקלול סוג הקוד בטבלא שגוי: %s"
"Invalid Table Rates File Format","Invalid Table Rates File Format"
"Invalid Table Rates format in the Row #%s","Invalid Table Rates format in the Row #%s"
"Local Time","שעה מקומית"
"Location","מיקום/אתר"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximum Qty Allowed for Shipping to Multiple Addresses"
"Method Name","Method Name"
"Minimum Order Amount","כמות מינימלית להזמנה"
"N/A","לא זמין"
"None","ללא"
"Options","אפשרויות"
"Order Subtotal (and above)","סכום ביניים להזמנה (ומעליו)"
"Origin","מקור"
"Per Order","להזמנה"
"Per Package","לחבילה"
"Percent","אחוז"
"Price","מחיר"
"Price vs. Destination","מחיר כנגד היעד"
"Region/State","איזור/מדינה"
"Service Type:","סוג שירות:"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Shipment #","תעודת משלוח מס'"
"Shipment Tracking Popup","Shipment Tracking Popup"
"Shipped or billed on:","Shipped or billed on:"
"Shipping Methods","שיטות משלוח"
"Shipping Methods Section","מדור שיטות שילוח"
"Shipping Settings","שילוח - הגדרות"
"Shipping Settings Section","מדור הגדרות שילוח"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Signed by:","נחתם ע""י:"
"Sort Order","סדר תצוגה"
"Status:","סטטוס:"
"Store Pickup","איסוף עצמי מהחנות"
"Street Address","Street Address"
"Street Address Line 2","Street Address Line 2"
"Table Rates","Table Rates"
"The shipping module is not available for selected delivery country.","The shipping module is not available for selected delivery country."
"The shipping module is not available.","The shipping module is not available."
"There is no tracking available for this shipment.","אין מעקב זמין למשלוח זה."
"There is no tracking available.","אין מעקב זמין."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","שיטת שילוח זו לא זמינה כעת. אם ברצונך להשתמש בה לשילוח אנא צור קשר."
"This shipping method is not available, please specify ZIP-code","This shipping method is not available, please specify ZIP-code"
"Title","כותרת"
"Track:","איתור:"
"Tracking Information","Tracking Information"
"Tracking Number:","מספר איתור/מעקב:"
"Tracking information is currently not available. Please ","מידע האיתור אינו זמין כרגע. בבקשה"
"Tracking information is currently unavailable.","מידע האיתור אינו זמין כרגע."
"Type","סוג"
"Use origin weight (few requests)","Use origin weight (few requests)"
"Weight (and above)","משקל (ומעליו)"
"Weight vs. Destination","משקל ביחס ליעד"
"Weight:","משקל:"
"ZIP/Postal Code","מיקוד"
"contact us","contact us"
"email us at ","email us at "
