"Action","פעולה"
"Add Sitemap","הוסף מפת אתר"
"Always","תמיד"
"CMS Pages Options","מע' ניהול תוכן - אפשרויות עמודים"
"Categories Options","אפשריות קטגוריות"
"Daily","מדי יום"
"Edit Sitemap","ערוך מפת אתר"
"Enabled","פעיל"
"Error Email Recipient","הנמען לקבלת הודעת שגיאה"
"Error Email Sender","השולח הודעת שגיאה"
"Error Email Template","תבנית של הודעת השגיאה"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","לא ניתן לשמור קובץ ""%s"". אנא וודא כי תיקיית ""%s"" כתיבה בשרת."
"Filename","שם קובץ"
"Frequency","תדירות"
"Generate","צור"
"Generation Settings","הגדרות יצירת מפת אתר"
"Google Sitemap","מפת אתר Google"
"Hourly","מידי שעה"
"ID","ID"
"Last Time Generated","זמן אתחול/יצירה אחרונה"
"Link for Google","קישור עבור גוגל"
"Monthly","מדי חודש"
"Never","לעולם לא"
"New Sitemap","מפת אחר חדשה"
"Path","נתיב"
"Please create the specified folder ""%s"" before saving the sitemap.","אנא צור תיקיה ""%s"" לפני יצירת מפת אתר."
"Please define correct path","Please define correct path"
"Please make sure that ""%s"" is writable by web-server.","Please make sure that ""%s"" is writable by web-server."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed."
"Priority","עדיפות"
"Products Options","אפשרויות מוצרים"
"Sitemap","מפת אתר"
"Sitemap generate Warnings","אזהרות שנוצרו ממפת האתר"
"Start Time","שעת התחלה"
"Store View","תצוגת חנות"
"The priority must be between 0 and 1.","The priority must be between 0 and 1."
"The sitemap ""%s"" has been generated.","The sitemap ""%s"" has been generated."
"The sitemap has been deleted.","The sitemap has been deleted."
"The sitemap has been saved.","The sitemap has been saved."
"This sitemap no longer exists.","This sitemap no longer exists."
"Unable to find a sitemap to delete.","Unable to find a sitemap to delete."
"Unable to find a sitemap to generate.","Unable to find a sitemap to generate."
"Unable to generate the sitemap.","Unable to generate the sitemap."
"Valid values range: from 0.0 to 1.0.","Valid values range: from 0.0 to 1.0."
"Weekly","מדי שבוע"
"Yearly","מדי שנה"
