"%s","%s"
"-- Please Select --","-- בחר מהרשימה --"
"Actions","פעולות"
"Add Layout Update","הוסף עדכון תצורה"
"Add New Widget Instance","הוסף וידג'ט חדש"
"All","הכל"
"All Pages","כל הדפים"
"All Product Types","כל סוגי המוצרים"
"Anchor Categories","עגן קטגוריות"
"Apply","החל"
"Assign to Store Views","שייך לתצוגות חנות"
"Big Image","תמונה גדולה"
"Block Reference","Block Reference"
"CMS","תוכן"
"Categories","קטגוריות"
"Choose...","בחר..."
"Close","סגור"
"Continue","המשך"
"Default Template","תבנית ברירת מחדל"
"Delete","מחק"
"Design Package/Theme","Design Package/Theme"
"Export to:","ייצא ל:"
"Frontend Properties","מאפייני אתר"
"Generic Pages","דפים גנריים"
"Images","תמונות"
"Insert Widget","הוסף וידג'ט"
"Insert Widget...","Insert Widget..."
"Layout Updates","עדכוני תצורה"
"Manage Widget Instances","Manage Widget Instances"
"New Instance","New Instance"
"New Widget Instance","New Widget Instance"
"Next page","דף הבא"
"Non-Anchor Categories","Non-Anchor Categories"
"Not Selected","לא נבחר"
"Open Chooser","Open Chooser"
"Page","דף"
"Please Select Block Reference First","Please Select Block Reference First"
"Previous page","דף קודם"
"Products","מוצרים"
"Remove Layout Update","Remove Layout Update"
"Save and Continue Edit","שמור והמשך בעריכה"
"Select All","בחר הכל"
"Select Visible","בחר גלוים"
"Settings","הגדרות"
"Sort Order","סדר מיון"
"Sort Order of widget instances in the same block reference","Sort Order of widget instances in the same block reference"
"Specific %s","%s מוגדר"
"Specified Page","דף מוגדר"
"Template","תבנית"
"The information in this tab has been changed.","The information in this tab has been changed."
"The widget instance has been deleted.","The widget instance has been deleted."
"The widget instance has been saved.","The widget instance has been saved."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Thumbnail","תמונה מתקדימה"
"Total %d records found","נמצאו סה""כ %d רשומות"
"Type","סוג"
"Unselect All","בטל בחירה"
"Unselect Visible","בטל בחירת הגלוים"
"View","הצג"
"Widget","וידג'ט"
"Widget ""%s""","וידג'ט ""%s"""
"Widget ID","וידג'ט ID"
"Widget Insertion","Widget Insertion"
"Widget Instance","Widget Instance"
"Widget Instance Title","Widget Instance Title"
"Widget Options","אפשרויות וידג'ט"
"Widget Type","סוג וידג'ט"
"Widget Type is not specified","סוג הוידג'ט לא הוגדר"
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widgets","וידג'טים"
"Wrong widget instance specified.","Wrong widget instance specified."
"items selected","פריטים נבחרו"
"of %s pages","מתוך %s דפים"
"per page","לדף"
