"%1$s has been updated in your wishlist.","%1$s עודכן ברשימת המשאלות שלך."
"%d product(s) have been added to shopping cart: %s.","%d מוצר(ים) נוספו לסל הקניות: %s."
"%s for ""%s"".","%s עבור ""%s""."
"%s has been moved to wishlist %s","%s הועבר לרשימת המשאלות %s"
"%s's Wishlist","רשימת המשאלות של %s"
"* Required Fields","* שדות חובה"
"Add All to Cart","הוסף הכל לסל"
"Add to Cart","הוסף לסל"
"Add to Compare","הוסף להשוואה"
"Add to Wishlist","הוסף לרשימת המשאלות"
"Added From","הוסף מ"
"An error occurred while adding item to wishlist.","אירעה שגיאה בעת הוספת הפריט לרשימת המשאלות."
"An error occurred while adding item to wishlist: %s","אירעה שגיאה בעת הוספת הפריט לרשימת המשאלות: %s"
"An error occurred while deleting the item from wishlist.","אירעה שגיאה בעת מחיקת הפריט לרשימת המשאלות."
"An error occurred while deleting the item from wishlist: %s","אירעה שגיאה בעת מחיקת הפריט לרשימת המשאלות: %s"
"An error occurred while updating wishlist.","אירעה שגיאה בעת עדכון רשימת המשאלות."
"Are you sure you want to remove this product from your wishlist?","האם הנך בטוח שברצונך להסיר את המוצר מרשימת המשאלות שלך?"
"Are you sure you would like to remove this item from the wishlist?","האם הנך בטוח שברצונך להסיר פריט זה מרשימת המשאלות?"
"Back","חזור"
"Can\'t delete item from wishlist","לא ניתן למחוק את הפריט מרשימת המשאלות."
"Can\'t save description %s","לא ניתן לשמור תיאור %s"
"Can\'t update wishlist","לא ניתן לעדכן את רשימת המשאלות"
"Cannot add item to shopping cart","לא ניתן להוסיף פריט לעגלת הקניות"
"Cannot add the following product(s) to shopping cart: %s.","Cannot add the following product(s) to shopping cart: %s."
"Cannot add the item to shopping cart.","לא ניתן להוסיף פריט לעגלת הקניות."
"Cannot configure product","לא ניתן להגדיר את המוצר"
"Cannot load wishlist item","לא ניתן לטעון את הפריט מרשימת המשאלות"
"Cannot move item to wishlist","לא ניתן להעביר את הפריט לרשימת המשאלות"
"Cannot specify product.","לא ניתן להגדיר מוצר."
"Cannot specify wishlist item.","לא ניתן להגדיר פריט מרשימת המשאלות."
"Cannot specify wishlist.","לא ניתן להגדיר רשימת משאלות."
"Cannot update wishlist","לא ניתן לעדכן את רשימת המשאלות."
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","סמן אם ברצונך להוסיף קישור ל- RSS של רשימת המשאלות"
"Click for price","הקלק לקבלת מחיר"
"Comment","הערה"
"Comment:","תגובה: "
"Configure Wishlist Item","הגדר פריט של רשימת המשאלות"
"Configured Price:","הגדר מחיר:"
"Could not find such wishlist","Could not find such wishlist"
"Could not find wishlist","לא ניתן למצוא את רשימת המשאלות."
"Customer My Account My Wishlist","לקוח החשבון שלי רשימת המשאלות שלי"
"Customer My Account Wishlist Sharing Form","לקוח החשבון שלי רשימת המשאלות שלי טופס שיתוף"
"Customer Shared Wishlist View","הלקוח שיתף את רשימת המשאלות שלו"
"Date Added","המידע נוסף"
"Days in Wishlist","ימים ברשימת המשאלות"
"Display Wishlist Summary","הצג תקציר של רשימת המשאלות"
"Edit","ערוך"
"Email Sender","דואר אלקטרוני השולח"
"Email Template","תבנית דואר אלקטרוני"
"Email address can\'t be empty.","כתובת המייל הינה חובה."
"Email addresses, separated by commas","כתובות דואר אלקטרוני, מופרדות בפסיק"
"Enabled","פעיל"
"General Options","אפשרויות כלליות"
"Go to Wishlist","עבור לרשימת המשאלות"
"Helper for wishlist options rendering doesn't implement required interface.","Helper for wishlist options rendering doesn't implement required interface."
"In stock","במלאי"
"Last Added Items","פריטים שנוספו לאחרונה"
"Message","הודעה"
"My Wishlist","רשימת המשאלות שלי"
"My Wishlist (%d item)","רשימת המשאלות שלי (%d פריט)"
"My Wishlist (%d items)","רשימת המשאלות שלי (%d פריטים)"
"My Wishlist <small>(%d)</small>","המשאלות שלי <small>(%d)</small>"
"My Wishlist Link","קישור לרשימת המשאלות שלי"
"Options Details","מידע על האפשרויות"
"Out of stock","לא במלאי"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","הכנס כתובות דואר אלקטרוני תקינות, מופרדות בפסיק, לדוגמא johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","הזן כתובת מייל חוקית."
"Please, enter your comments...","הכנס הערה בבקשה..."
"Product","מוצר"
"Product Details and Comment","מידע ותגובה של המוצר"
"Product(s) %s have required options. Each of them can be added to cart separately only.","למוצר(ים) %s יש אפשרויות חובה. כל אחד מהם יכול להתווסף לעגלת הקניות בנפרד."
"Product(s) %s have required options. Each product can only be added individually.","Product(s) %s have required options. Each product can only be added individually."
"RSS Feed","הזנת RSS"
"RSS link to %s's wishlist","קישור RSS לרשימת המשאלות של %s"
"Remove Item","הסר פריט"
"Remove This Item","הסר את הפריט"
"Remove item","הסר פריט"
"Requested cart item doesn't exist","הפריט המבוקש מתוך עגלת הקניות אינו קיים"
"Requested wishlist doesn't exist","רשימת המשאלות המבוקשת אינה קיימת"
"Share Options","אפשרויות שיתוף"
"Share Wishlist","שתף רשימת המשאלות"
"Share Your Wishlist","שתף רשימת המשאלות שלך"
"Sharing Information","פרטי השיתוף"
"This Wishlist has no Items","לרשימת המשאלות הזו אין פריטים"
"This product(s) is currently out of stock","המוצר(ים) אינם במלאים"
"Unable to add the following product(s) to shopping cart: %s.","לא ניתן להוסיף את המוצר(ים) הבאים לעגלת הקניות:  %s."
"Update Wishlist","עדכן רשימת המשאלות"
"User Description","User Description"
"View Details","הצג פרטים"
"View Product","צפה במוצר"
"What's this?","מה זה?"
"Wishlist","רשימת המשאלות"
"Wishlist Section","מדור רשימות המשאלות"
"Wishlist Sharing","שיתוף רשימת המשאלות"
"Wishlist could not be created.","לא ניתן ליצור את רשימת המשאלות."
"Wishlist is empty now.","רשימת המשאלות ריקה כעת."
"You have no items in your wishlist.","אין פריטים ברשימת המשאלות שלך."
"Your Wishlist has been shared.","רשימת המשאלות שלך שותפה."
