"Actions","Azioni"
"An error occurred while marking notification as read.","Si è verificato un errore segnando come letta la notifica."
"An error occurred while marking the messages as read.","Si è verificato un errore segnando come letti i messaggi."
"An error occurred while removing messages.","Si è verificato un errore durante la rimozione dei messaggi."
"An error occurred while removing the message.","Si è verificato un errore durante la rimozione del messaggio."
"Are you sure?","Sei sicuro?"
"Date Added","Data Aggiunta "
"Last Update","Ultimo Aggiornamento "
"Mark as Read","Segna come Letto "
"Mark as read","Marca come letto "
"Message","Messaggio "
"Messages Inbox","Casella Messaggi "
"Notifications","Notifiche "
"Please select messages.","Prego seleziona messaggi "
"Read Details","Leggi Dettagli "
"Remove","Rimuovi "
"Severity","Severità"
"Show List","Mostra Lista "
"Show Toolbar","Mostra Barra degli Strumenti "
"The message has been marked as read.","Il messaggio è stato segnato come letto "
"The message has been removed.","Il messaggio è stato rimosso."
"Total of %d record(s) have been marked as read.","Totale di %d record(s) sono stati segnati come letti."
"Total of %d record(s) have been removed.","Totale di %d record(s) sono stati rimossi."
"Unable to proceed. Please, try again.","Impossibile continuare. Prego, prova di nuovo."
"Update Frequency","Frequenza Aggiornamento "
"Use HTTPS to Get Feed","Usa HTTPS per ottenere Feed"
"Wrong message type","Tipo di messaggio errato "
"critical","Critico "
"major","Maggiore "
"minor","Minore "
"notice","Avviso "
